Title,Publishing Date,Source
The Universal Antidote - Chlorine Dioxide Documentary (Video) ,"Feb 6, 2021",https://beforeitsnews.com/health/2021/02/the-universal-antidote-chlorine-dioxide-documentary-video-3037669.html
You Should Never Use Coffee Creamers Here's The Awful Truth Nobody Talks About (Video) ,"Feb 2, 2020",https://beforeitsnews.com/health/2020/02/you-should-never-use-coffee-creamers-heres-the-awful-truth-nobody-talks-about-video-3005723.html
Stay Away From Vaccinated People! Vaccine Shedding To Others! - Must Video ,"Apr 23, 2021",https://beforeitsnews.com/health/2021/04/stay-away-from-vaccinated-people-vaccine-shedding-to-others-must-video-3039080.html
Dr. Sherri Tenpenny Explains How the Depopulation COVID Vaccines Will Start Working in 3-6 Months! - Must Video ,"Feb 11, 2021",https://beforeitsnews.com/health/2021/02/dr-sherri-tenpenny-explains-how-the-depopulation-covid-vaccines-will-start-working-in-3-6-months-must-video-3037796.html
"Alert The ""Vaccine"" Is a Bioweapon - 5 Doctors Testify ","Apr 26, 2021",https://beforeitsnews.com/healthcare/2021/04/alert-the-vaccine-is-a-bioweapon-5-doctors-testify-2539811.html
"W.H.O. Concedes the Covid Virus Is Just Like the Common Flu! 500,000 Americans Dead From Vaccine! - A Must Video ","Aug 5, 2021",https://beforeitsnews.com/health/2021/08/w-h-o-concedes-the-covid-virus-is-just-like-the-common-flu-500000-americans-dead-from-vaccine-a-must-video-3040923.html
Diabetes Improvements Worth Knowing  ,"Feb 10, 2021",https://beforeitsnews.com/health/2021/02/diabetes-improvements-worth-knowing-3037779.html
Healthy Habits Every Adult Man Must Have ,"Jul 1, 2021",https://beforeitsnews.com/health/2021/07/healthy-habits-every-adult-man-must-have-3040350.html
Catherine Austin Fitts Unravels the Real Covid Agenda (Highwire) ,"Aug 13, 2021",https://beforeitsnews.com/health/2021/08/catherine-austin-fitts-unravels-the-real-covid-agenda-highwire-3041064.html
"Backup Comms for Natural News & The Health Ranger: Emergency IP Backup Site, Telegram, Brighteon! - Mike Adams +Must Video ","Jan 10, 2021",https://beforeitsnews.com/opinion-conservative/2021/01/backup-comms-for-natural-news-the-health-ranger-emergency-ip-backup-site-telegram-brighteon-mike-adams-must-video-3560967.html
Drinking Cow Urine Is Good For You? ,"Jan 15, 2014",https://beforeitsnews.com/health/2014/01/drinking-cow-urine-is-good-for-you-2519044.html
