Title,Len,Content
Government Healthcare Bullies Americans Into Giant SNAFU,1744,"Warshington, DC – As the tentacles of Obamacare grow deeper into what’s left of the American Dream, citizens are being coerced into compliance with a most unpopular law. President Obama initially blamed the Obamacare website glitches on exceptionally high interest in the newly overhauled health insurance marketplace. Apparently all the problems being encountered at www.Healthcare.gov are because of an unanticipated surge of web traffic from a high demand by people seeking to buy coverage under the new law. Some may have forgotten that the high level of interest in Obamacare might, instead, be due to the fact that Americans are being mandated to buy government health insurance under the threat of serious fines, tax penalties, and imprisonment. Being forced into buying something while being threatened is quite different than deciding on your own to make a purchase of your own free will. Not surprisingly, the day after all the website problems were blamed on high volumes of interest in Obamacare, the government admitted that the problems may have been due to faulty website design and software problems. Instead of exceptionally high levels of interest being the culprit, it was determined that the www.Healthcare.gov website is troubled by sloppy software problems and flaws in the basic architectural design of the system. In the name of transparency, the Obamadministration has declined to say the total number of enrollees in the new Obamacare system. To help test the new website, please go to www.Healthcare.gov often and leave it up on all of your browsers for long periods of time, so they can see if their website server capacity is adequate to handle all the “interest” in getting signed up for government-run healthcare."
Bernie Sanders Waves Good-Bye To Humanity As He Leaves To Become The First President Of Mars,867,"Mars, Milky Way – Shortly after suspending his 2020 presidential campaign, Bernie Sanders waved to everyone on Earth as he boarded his plane for Mars. “This is a bittersweet moment. Bitter because Joe Biden looks to be the Democrat nominee for president. Sweet because I look forward to being the first president of Mars,” said Vermont Senator Bernie Sanders as he climbed aboard his plane which was being prepared for the long flight to Mars. Pundits opined that Mars might be a good testing ground for some of the Bernie Sanders plans and programs that the seemingly radical Senator wanted to implement here on Earth. In his final good-bye to his supporters, Bernie said: “I bid you all farewell, and if you want Medicare For All, please come visit us on Mars, where healthcare shall be a human right, along with free college, and free everything, for that matter.”"
Executive Directors Named For Fargo’s New Combo Church/Hospital,836,"Fargo, ND – The new Amen Church Hospital has named Peter and Paul Christianson as executive directors as the project moves forward toward final fruition. The Amen Church Hospital will be the first of its kind in the nation: A fully functioning hospital which also has all the normal underpinnings of a full-blown church. The new co-executive directors are two brothers, each of whom are both pastors and physicians, as were each of their parents. Peter and Paul Christianson explain it like this: “What could be better than having full communion with your entire congregation while you are literally being prepared for a colonoscopy during the Lord’s Prayer?” If you would like to attend the Amen Church Hospital, please show up for either the church worship service or get admitted to the hospital, which are basically one in the same."
FMO Hiring Day Will Be A Week From Next Month,899,"West Fargo, ND – Yes, once again it’s almost Hiring Day at the FM Observer! Because we’ve lost some impotent associates during this last hectically wonderful year, we’ll be looking to fill some key vacancies in our team line-up, including: Assistant Vice President, Assistant to the Vice President, Rogue Reporter #2, Field Reporter #3, Head Sous Chef, Numerologist, Executive Psychic, Domestic Engineer, Drone Specialist, Press Secretariat, Safety Council Chairman, Assistant Paralegologist, Research Coordinator, Verbal Judo Bouncer, and Dog Whisperer. Benefits of joining the FMO Team: 1. Free doggy daycare. 2. No pay and no bonuses. 3. Non-flexible schedules. 4. Team meeting inclusion. 5. No healthcare insurance. 6. Self Esteem booster shots. 7. Free coffee from 5:30-6:00 AM. 8. Focus and Purpose to your life. 9. English as a first language classes. 10. Joy from having found your Last Job."
Super Moon Proves It’s Moving Closer To Earth,1100,"Moon Unit, USA – The recent full super beaver moon is proof positive for many that the Moon is indeed moving closer to Earth. Experts say that if the current rate continues, the Moon should be just a few miles away from Earth by the year 2035. This process is what moonologists are calling Global Mooning. Vladimir Johnson, who has been studying this topic for many moons, strongly believes that the Moon will eventually park itself just a few miles away from Miami, Florida. This is believed to be the reason for the famous song: Moon Over Miami which was recently made famous by Ray Charles. With our Moon soon basically permanently parked over southern Florida, this will open up a whole new world of possibilities for: 1. Moon living, 2. getting away from your in-laws, and 3. setting up an alternative society with its own new government. If you would like to join the list of people who want to get away from it all (but don’t want to move to Canada), simply go to Healthcare.Gov and sign up! Please indicate what your current name is and then what name you would like to be called on the Moon."
Edible Cricket Farming Providing Many Fargo Families Extra Income During Sluggish Obama Economy,1186,"Fargo, ND – With healthcare costs becoming more and more unaffordable due to increasing premiums and deductibles under the UnAffordable Care Act, many Fargo families have turned to edible cricket farming in an effort to help make ends meet. Edible cricket farmer Torok Kadosa believes his new cricket farming business will allow Santa to bring at least one nice present to each of his four children for Christmas this year, in spite of what Obamacare has done to slow our once-roaring economy to a meow. Mr. Kadosa and his family have also become quite fond of cooking and eating crickets, as have many green restaurants to which edible cricket farmers sell most of their crickets. Torok says “you can boil them, broil them, bake them, or saute the little guys.” He has even tried cricket-kabobs, cricket creole, and cricket gumbo. Some restaurants have been successfully serving pan fried crickets, deep fried crickets, and even spicy stir fried crickets. Mr. Kodosa also suggests making cricket soup, cricket stew, and cricket burgers. If you would like more information on starting your own edible cricket farm, simply go to Start A Cricket Farm and enter promo code “Cricket To Me!”"
Fargo’s New Hospital To Treat Dogs And Cats,1006,"Fargo, ND – The new Sanford Mega-Hospital being built along I-94 has just announced that one entire wing will be devoted to providing healthcare for pets. “Because of the recent pet population explosion, especially in the West Fargo area, we’ve decided that one of the four hospital wings will be exclusively for dogs and cats”, says Sanford spokesperson Pat Wingnut. The new “Sanfurd Pawspital” (which the Pet Wing will affectionately be called) will honor both Peticare and Peticaid, as is mandated by Obamacare. Sanford’s new Pet Hospital will have an indoor Petting Zoo, a No Barking Zone, along with a state-of-the-art I. C. U. and U. C. Me. For any local cat emergencies, simply call Sanfurd Pawspital’s FeLine which is 8888-FELINE. For doggy problems, call the Canine Hot-Line which is 8888-ARF-ARF. For Level One pet emergencies, the Flight-of-Life helicopter will pick up and lovingly bring your sick and wounded pets back to the HeliPad for immediate affordable care, as is mandated by Obamacare."
Many Considering Getting A Shingle Shot Opting For A Double Shot Instead,597,"Fargo, ND – To avoid a reactivation of the chickenpox virus, many people are being encouraged to go get a shingle shot from their healthcare provider. Even though the vaccine could cause a reaction, most doctors say it’s worth the risk as opposed to suffering from the painful rash and blisters associated with getting shingles. In the Fargo area, a majority of people at risk are choosing to go have a double shot instead of getting the shingle shot. Markus Wolf is one of them: “Immediately after my double shot, I felt better. I would recommend having a double shot at your favorite local pub.”"
Government To Begin Grouping People Into “Sick Camps” By What Diseases We Have,831,"Washington, DC – With the help of the CDC (Centre for Disease Control), Big Government will soon be organizing communities into groups of people based on what diseases we have. Since Big Government already has access to all of your private medical records, the group you will be in has already been decided upon by your local community organizing Obamacare Navigator. People with similar disease profiles will eventually all be bussed to a special Sick Camp specifically designed just for that group, where they will be provided afforable healthcare based on their income levels and past voting records. So, as the new year approaches, make sure your bags are all packed and that you and your other family members are all ready to be separated for an “undetermined amount of time” so that Big Government can help you help yourself."
New Green Shoes Designed To Lessen Carbon Footprints,782,"Greenspring, PA – The Federal Government, secretly working in conjunction with Algore, has designed a new Green Shoe to help lessen each person’s carbon footprints. Here are some important facts you need to know about Algore’s New Green Shoes: Scientifically designed by Algore to reduce carbon footprints Guaranteed to save Planet Earth from Global Warming Wearing these shoes will show you care about important issues Styled for both men, women, and transexuals One size fits all All shoes are either made in America or China No persons with Ebola have touched these shoes Price per pair is $200 for Democratics and Independents Price per pair is $350 for rich Republicans Mandatory purchase date is January 1, 2017 Sign up for your pair at Healthcare.Gov to avoid stiff penalties"
Koi Ponds Provide Hungry Families With Unlimited Fish,1525,"Fishtrap, Kentucky – Vegetable gardens are a great way for budget-conscious families to reduce their food costs, which have been on the rise lately due to increasing governmental regulations. Another great way to save money, and which is quickly gaining popularity around the country, is to build your own koi pond. Koi are Japanese carp which are known for their beauty and taste. “Having your very own koi pond in your backyard is a wonderful idea” says Ms. Sue Dohnim, president of the National Carp Foundation. “If you have a well-stocked koi pond, you are smart. If you don’t, you’re stupid.” Just imagine being able to go out and fish for fish for dinner. And there are so many different ways to prepare the slimy suckers: carp cakes, carp salad, carp sandwich, carp in beer, deep fried carp chips, poached carp, pickled carp, carp gumbo, steamed carp, carp fries, grilled cheese carp, buttermilk carpjacks, carp chowder, carp burgers, sweet and sour carp, carpsicles, spicy cold carp soup, serbian carp, baked carp, carp sausage, carp milkshakes, river carp tacos, northern carp stew, southern carpuppies, eastern carp sushi rolls, and midwest carp casserole. If that’s not enough to make you hungry, try fasting for three days and then walking by your neighbors backyard after they just finished stocking their brand new koi pond with twenty multi-colored koi fish. For more information on building your own koi pond, call 1-800-KOI-POND, or simply click on healthcare.gov and ask to speak with a convicted navigator."
Johnnny’s 100th Post Retrospective,372,"Since 100 is such a nice round number, I decided to use the occasion of my 100th post to take a trip down memory lane. It’s time to look back on my first 99 posts on FMObserver. All posts are listed as hyperlinks in chronological order. About half of them will have a bonus link indicated as “(pic)” which will show the post’s associated picture, in its full glory. Enjoy!"
Get Your Ass To The Moon Soon,2491,"Los Angeles, CA – At the swanky home of Sir Ashton Kutcher, plans are well underway to begin the Earthification of the Moon. Ashton Kutcher and Buzz Aldrin are self-appointed co-chairmen of the Moon Earthification Project. Even tho they don’t agree on every detail of Project Moon, one thing they do agree on is: “Once we’ve established a McDonald’s restaurant on the McMoon, then everything else can build off of that. As long as early Moon workers can go get a few McNuggets and a McFries, things should start to seem Earthly” said General Kutcher to the Moon Project Groupies. Red-eyed Buzz Aldrin then went on to describe some of the other exciting plans: He will be opening a large moon bar called “Just Buzzed”. His friend, Neil Armstrong, along with the Michael Jackson Neverland Foundation, will be building the Moon Walk Mall, which Donald Trump says “will be fabulous”. Moon Unit Zappa, daughter of the late great Frank Zappa, will be naming each new community Moon Unit #1, Moon Unit #2, and so on, and so forth. The Chinese have already begun construction of an exciting series of Olympic-style Ping Pong Parks all connected by a nexus of smog-free bike paths. Iran is building multiple nuclear reactors which will supposedly only be used for generating power, according to Secretary John Kerry, who will be personally doing monthly verificational inspections. Affordable ObamaCare Health Centers will be available for anyone who has recently lost their health insurance due to ObamaCare, and whose combined annual income is less than $23,000, and who has voted Democratically in the last six election cycles. Ashton Kutcher sums it all up like this: “The Earthification of the Moon has begun and is now unstoppable. The more we can make the Moon like Earth, the more people are going to want to make the move to the Moon, which will result in less people on Earth, which should hopefully slow down global warming due to the build-up of extremely toxic gases such as Carbon Dioxide.” When axed what role he would like to play in all this, Ashton Kutcher thoughtfully admits that he wants his main goal to be the minimization of the sexploitation of minors on the Moon, by such heinous groups as the Catholic Church, and the nefarious Sexaholic Politicians Anonymous. If you would like more information about getting YOUR ass to the Moon, please go to www.Healthcare.gov and simply click on the “Moon Unit” icon, near the top of the page. Don’t forget to enter the passcode: BUZZ."
