Title,Len,Content
US CONGRESS AGREES TO ADOPT CARRY ON STYLE HEALTHCARE SYSTEM,831,"President Barack Obama is today celebrating the news that Congress has agreed to support his proposals to establish an NHS style healthcare programme in the US, on the proviso it closely resembles the Carry On films. After persuading Congress to watch Carry On Doctor, Carry On Nurse and Carry On Matron, Obama’s plans finally won over his critics. ‘I saw one man who’d had an operation on a very private area just days before leap out of bed when a young nurse came to check on him. And the level of attention some of the male doctors were giving their female patients was unparalleled,’ commented Republican Congressman Joe Wilson. ‘I’m booking myself in for appendectomy and started practising double entendres already. We’ll have to wait to see how the system ‘goes down’ with the American people. Ooh no! Matron!” he chuckled."
‘SELFLESS GENEROSITY’ AS VACCINE LEFTOVERS TO GO TO POOR INSTEAD OF THE BIN,788,"In an act of selfless generosity the world’s richest countries have decided to donate their unwanted, leftover vaccines to poor countries instead of just binning them. This selfless act will of course come after all men, women, children, dogs, cats and hamsters have received at least three doses of the vaccine at which point the world’s poorest can have a go at protecting their elderly and vulnerable. Kindness and sacrifice on this scale will surely bode well for any future discussions with poorer nations around climate change targets, explains Boris Johnson: ‘What more proof is needed that we are all in it together?’ Poorer nations are yet to comment as they are a little busy trying to stop people dying, stop the virus spreading and prop up their inadequate healthcare systems."
£4 BILLION CUT TO FOREIGN AID ‘100% JUSTIFIED’ AS BORIS NEEDS NEW DOWNSTAIRS TOILET,1127,"Countries around the world have united in their support of the government’s £4 billion foreign aid cut, since Boris has explained his downstairs lav needs “a bit of a revamp”. Despite some initial reservations – which saw some ‘doom-mongers’ point out that many of the world’s poorest countries are still in the grip of a deadly pandemic and lack even the most basic life saving necessities like oxygen and sanitation – once Boris explained the next stage of his thrilling home improvements plan all criticism was silenced. Head of Healthcare and Hospitals in India told us: ‘I was sceptical at first but now I cannot believe how closed minded I was. Yes, people are dying every few minutes here, yes, a little cash would have been useful to ensure our poorest children survived to adulthood….but my word, when I heard BoJo needed a new bog, I took it all back. The man needs the best. I don’t care where that money comes from.’ Various public sector employees, including nurses, teachers and care workers, have now offered to take a 50% pay cut as there is some indication Boris may also want to ‘do up’ the east-wing lav too."
“NO WAY! I DON’T BELIEVE IT!”: REACTION TO SHOCKING NEWS TORIES ARE ALL CORRUPT,1066,"The general public have voiced their complete and utter shock at the revelation that quite a lot of Tory MPs are liars and only interested in helping themselves. Julie, a lifelong Cameron supporter, told us: “I just broke down in tears when I heard about Greensill, I couldn’t believe it was happening. Dave always seemed like such a top bloke, his referendum on Brexit was obviously a great idea and panned out superbly. He did a fab job with the NHS – it was clear we needed to divert money away from healthcare and towards tax breaks for the super-rich. He was your typical humble, trustworthy, down to earth Etonian.” Shockwaves have reverberated across the UK with many now saying they will think twice about voting Tory next time, though will definitely still vote Tory in the end. Despite her shock and sadness, Julie says she still believes the conservatives are the right party to lead Britain in the years to come. “It’s not as though the current government are anything like the others – BoJo, Hancock, Patel – you couldn’t find a more trustworthy bunch.”"
JOHNSON AND STARMER ANNOUNCE MUCH ANTICIPATED ENGAGEMENT,1334,"Wedding bells and cash registers are set to ring out, as the Prime Minister and The Leader of the Opposition look set to seal the knot and tighten the noose. They have finally decided to be joined in holy matrimony and mutual hatred of the unions; while they are already joined together by exactly the same policies and the same levels of ineptitude. The Johnson family said: ‘Boris may have played the field in his day, but only Keir has screwed the entire Labour membership’. Relatives of Starmer confirmed: ‘We are so lucky to welcome a Tory into the family and its great to have Boris join us as well Previously they had clashed in the Commons over their handling of the NHS crisis, labelled by the public as Captain Hindsight and Major Disaster – although both men take their orders from an enlisted soldier called Private Healthcare. Yet from those early disagreements a passion was kindled, a passion for Brexit and closing all zoos. Their top priorities are 1) an unwavering loyalty to Rupert Murdoch and 2) see 1). In fact, they have so much in common – be it their success in the fight against male pattern baldness or that they both think Blacks Lives Matter was just for Christmas. Asked if they had already consummated the marriage, a spokeswoman confirmed that Keir had been letting Boris have his wicked way for months."
RUSSIAN HEALTH STAFF SHORTAGE SEES COVID JABS ADMINISTERED BY RE-TRAINED ASSASSINS,1753,"In an effort to save the roll-out of a ‘world-beating’ corona-virus vaccine program threatened by a lack of qualified healthcare professionals, Russia is re-deploying secret-agents to make up the short-fall. “Originally our reputation as champions of humanitarian causes didn’t translate into the demand for vaccinations we expected. Until the intervention of the KGB, the population was bewilderingly reluctant to subject themselves to State-sponsored mass injections. But, now we’re a victim of our own success,” laughed Rosa Klebb, Chief of the newly-made ‘Directorate of Not Killing People’. “Serendipitously, these same…er…public sector workers are highly-trained and have a set of transferable skills ideally suited to their new role as community vaccinators” said “For a single dose, after a period of covert tracking, we’ll either sneak up and inject the vaccine from behind with a vaccine-tipped umbrella, or put it in their tea or Widow’s Kiss cocktail when they’re not looking, leaving what’s left in a park bench to inoculate an unsuspecting child, amorous couple or police-officer. “Alternatively we apply it to the door-knob of their front door, or sneak it in pellet-form under their car-seat. “In a case where two doses are needed, we use two agents running up from either side, each opening a briefcase full of pressurised vaccine spray while the victim…er, I mean patient…is distracted. “Our agents also have excellent bedside manner, able to put people at ease regaling them with stories of their travels to Salisbury cathedral, or else with nerve-gas. “Yes, yes, as you imagine we do occasionally confuse the vaccine with novachok, with hilarious results. This is regrettable but will save time later during the forthcoming ‘purge’.”"
GREATEST GENERATION APOLOGISES TO MILLENNIALS FOR FATHERING BOOMERS,2083,"Britain’s Greatest Generation of 1910-1924, which went through six years of brutal warfare to defeat Nazi Germany and continued to endure food rationing for eight more, has admitted – in most cases posthumously – that it did rather drop a bollock when it came to producing its long-term replacement. ‘Our bad. We meant well but we got it wrong,’ admitted the ghost of Private Sidney Dobson (1919-1995), a cheery former dock labourer from Dagenham. During the war, Dobson spent five days being strafed by German planes on the beaches of Dunkirk before being evacuated and was later injured by a mortar bomb at the Anzio bridgehead, before finally returning home in 1945. ‘We wanted our kids to be proud of us of course but we also wanted them to grow up with free healthcare and not to have to go through another war like we did. Now, when I look down and see my son Colin wearing a poppy the size of Oxfordshire every year and banging on about the Battle of Britain like he was manning the Spitfires himself, it does boil my piss a bit,’ Dobson said. ‘You were born in 1947, you little twerp. You grew up with the welfare state; you got a well-paid job at Ford’s, despite being as thick as two short planks; you got given a four-bed council house, which you later bought for threepence-ha’penny; and now you’re sitting on your comfortably retired arse all day, moaning about youngsters spending what little they have left after paying their rent on milky coffee, while repeatedly voting to take their whole future from them. Muppet.’ Added Dobson’s father Reginald (1898-1919), from the ‘Lost Generation’ of 1883-1900: ‘You think Sid’s lot had it bad? I was shot through the thigh at the Somme, patched up and sent out to get gassed at Passchendaele and when I got home, I found my wife was pregnant by another bloke. Before I could even work out what to do, I died of the Spanish Flu and I never even got to meet my ‘son’. Oh yeah, sorry Sid, that was you actually…’ Dobson’s cousin Albert (1934-2014), from the ‘Silent Generation’ of 1925-1945, was invited to comment but declined."
AMERICA’S POPULATION ‘TOO SMALL’ TO SUSTAIN HIGH-QUALITY PRESIDENTIAL CANDIDATES,1641,"It’s a problem familiar to sports fan across the globe. Surinam just doesn’t have enough professional baseball players to make the World Series; Cambodia’s footballers have never made the World Cup finals; Trinidad & Tobago struggles every four years to qualify for the Winter Olympics. A similar phenomenon has been found in politics. The United States of America, despite its plucky bravado and excellent teeth, simply doesn’t have enough people to be able to put two high-calibre opponents together every four years for an election. ‘It’s just a numbers thing,’ said weirdly coiffed pollster Frank Luntz. ‘To be able to find two candidates, each with intelligence, charisma, normal-sized hands, human hair and the ability to stay awake for long periods, you’d need a population of, ooh, let me think, about a trillion? Trillion sounds about right.’ This November will see a particularly dismal competition, with an orange fascist competing with a narcoleptic pensioner. It’s America’s version of tramp-fighting – two losers slugging it out to be crowned the Least Bad Candidate. It wasn’t always like this. In the 1960s America was highly regarded for putting men on the moon and hosing down protesters with water cannons. Those were the Golden Years, when beautiful women would sleep with the President voluntarily. Since then the picture has soured. Most Americans don’t have basic healthcare provision, half the population is so poorly educated that they think Jesus spoke English and Piers Morgan is taken seriously. ‘Whatever the outcome in November, one thing is certain,’ Luntz said. ‘We’re all as f*cked as a Bill Clinton intern.’"
"TO COMMUTE, OR NOT TO COMMUTE?",1640,"To commute, or not to commute, that is the question:
Whether ’tis nobler on the train to suffer
The hacks and hawks of outrageous coughing,
Or to take hankie against a sea of phlegm
And by flapping, deflect it. To succumb- to mask,
Ever more; and by masking up to with relief end
The frowns and the thousand accusatory stares
That unmasked face is subject to: ’tis an approbation
To be shared on Facebook. To snooze on the 7:44, to sleep;
To sleep, perchance to snore- ay, there’s mortification:
For in that sleep of commuting what drool may come,
When we have shuffled along this crowded platform,
Must give us hives- ah, there’s the replacement bus service
That makes calamity of so futile an expedition.
For who would bear the crush and germs of rush-hour,
The timetable’s wrong, the ticket office’s snub,
The mind the gap, the door’s delay,
The un-distancing of the office, and the self-control
That patient reloading of the Zoom call takes,
When who themselves might risk to mute it
For a sweary tirade? Who would Tescos bear,
To grunt and sweat under bagfuls of shopping,
But that the dread of something akin to Leicester,
The locked-down city, into whose centre
No workers go, stifles the grumbles,
And makes us rather bear those idiots we have
Than vote in others that lie and soundbite less?
Thus Twitter does make hypocrites of us all,
And thus the native character of stiff upper lip
Is papered o’er with the alluring opiate of furlough,
And healthcare workers of great sacrifice and dedication
With wicked disregard their cabinet ministers turn away
And forfeit any respect and integrity. Bonnet-tip and apologies to Shakespeare"
HOMEOWNERS TO RECEIVE £5K IF THEY PRETEND TORIES HAVE DONE A GOOD JOB WITH COVID-19,1818,"Hundreds of thousands of homeowners across England are set to receive vouchers of up to £5K if they are willing to pretend that the government have done a great job tackling the Coronavirus, with the most sceptical receiving an additional £5k to help them overcome their cynicism. Chancellor Rishi Sunak is due to set out plans for the £2bn grant scheme and will confirm that homeowners will be able to spend the money on new loft insulation, solar panels or just piss it all up against the wall at a local boozer. ‘This is an exciting new initiative that will help the public take a more considered view of our handling of the Covid-19 healthcare crisis’ said Sunak. ‘This money shouldn’t be considered as a bribe, we’re just inviting people who have been critical of the government’s approach to reassess their view while picturing themselves lying on a beach on the Costa Del Sol getting slowly pissed on taxpayers cash’. The move has been broadly welcomed by the public. ‘I’ve been super-critical of the government’s disastrous handling of the Covid-19 crisis’ says York man Fenton Barnes. ‘I was ranting on Twitter just the other day about their piss-poor performance – 65000 excess deaths, lack of proper PPE and a complete absence of accountability. Then Rishi Sunak offered me five grand and I began to realise that they’ve probably done their best in very difficult circumstances and maybe I should give them the benefit of the doubt’. ‘I mean who amongst us can honestly say that they haven’t caused tens of thousands of avoidable deaths through gross incompetence? Not me. I’ll certainly give it some more thought while the family and I are on the flight to Disneyland next month’. ‘We wanted to take mum with us but she died in her care home last week. Bloody government… oops, I mean bloody care workers’."
LIFELONG FRIENDSHIP DESTROYED BY PAIN-IN-THE-ARSE FACEBOOK UPDATES,2344,"A woman from Harlow has seen all feelings of warmth and friendship for a childhood friend corrode into disdain, disgust and hatred due to his incessant inane and pompous Facebook updates. ‘I’ve known Ben since I was eight, and have always enjoyed a trip to the pub with him,’ explained Stephanie Crowe, 27. ‘But ever since I’ve been looking at his Facebook page I can’t even look at him face to face without wanting to glass the up-his-own-arse fucker. See how he’d like to ‘share’ checking in to local A & E with 314 of his closest friends and family.’ Ben Simm’s offences are said to include expressing pseudo-sincere concern for repressed bloggers in countries he couldn’t even locate on a Lonely Planet ‘Places I Pretend I’d love to Visit One Day’ app, posting iPhone photos of ‘well, anything’, and taking football news from BBC Sport much too seriously. But most of Crowe’s venom is reserved for the updates that express Simm’s love and admiration for his wife. ‘Yes they may well have gone to the Fat Duck, but he neglected to mention they only went to try and patch things up after she shagged the barman at her local karaoke. He didn’t mention he hasn’t been able to get it up for two years either, which might explain a few things and all.’ But Crowe is not restricting her bile to people on Facebook she knows well, identifying a much wider circle of Facebook friends who cause her pelvic floor to tighten in fury and disgust. ‘Vague acquaintances who think they’re an intellectual match for Stephen Fucking Fry because they know some basic grammar and can spot when some other halfwit has used it incorrectly, they can fuck right off. Oh and Stephen Fucking Fry too, but that’s more of a Twitter loathing, and I don’t really want to get distracted from the cockwittery of Facebook users. And their pets. Their stupid, stupid, stupid pets.’ When suggested to Crowe that much of the rage in her life could be alleviated by simply not using the social network, the healthcare worker sighed and admitted that she’s not sure there’s an aspect of her personality left that isn’t fed by the hatred of others on the internet. ‘Sometimes the only thing that keeps me going is the idea that one day I’ll see that fanny-dribble Simms’ profile frozen as an In Memoriam page,’ she confessed, ‘Stephanie will really fucking like that.’ Dr Turmoil"
