Title,Publishing Date,Source
US CONGRESS AGREES TO ADOPT CARRY ON STYLE HEALTHCARE SYSTEM,"SEPTEMBER 16, 2009",http://www.newsbiscuit.com/2009/09/16/us-congress-agrees-to-adopt-carry-on-style-healthcare-system/
‘SELFLESS GENEROSITY’ AS VACCINE LEFTOVERS TO GO TO POOR INSTEAD OF THE BIN,"JUNE 15, 2021",http://www.newsbiscuit.com/2021/06/15/selfless-generosity-as-vaccine-leftovers-to-go-to-poor-instead-of-the-bin/
£4 BILLION CUT TO FOREIGN AID ‘100% JUSTIFIED’ AS BORIS NEEDS NEW DOWNSTAIRS TOILET,"APRIL 30, 2021",http://www.newsbiscuit.com/2021/04/30/4-billion-cut-to-foreign-aid-100-justified-as-boris-needs-new-downstairs-toilet/
“NO WAY! I DON’T BELIEVE IT!”: REACTION TO SHOCKING NEWS TORIES ARE ALL CORRUPT,"APRIL 16, 2021",http://www.newsbiscuit.com/2021/04/16/no-way-i-dont-believe-it-reaction-to-shocking-news-tories-are-all-corrupt/
JOHNSON AND STARMER ANNOUNCE MUCH ANTICIPATED ENGAGEMENT,"JANUARY 6, 2021",http://www.newsbiscuit.com/2021/01/06/johnson-and-starmer-announce-much-anticipated-engagement/
RUSSIAN HEALTH STAFF SHORTAGE SEES COVID JABS ADMINISTERED BY RE-TRAINED ASSASSINS,"NOVEMBER 26, 2020",http://www.newsbiscuit.com/2020/11/26/russian-health-staff-shortage-sees-covid-jabs-administered-by-re-trained-assassins/
GREATEST GENERATION APOLOGISES TO MILLENNIALS FOR FATHERING BOOMERS,"OCTOBER 28, 2020",http://www.newsbiscuit.com/2020/10/28/greatest-generation-apologises-to-millennials-for-fathering-boomers/
AMERICA’S POPULATION ‘TOO SMALL’ TO SUSTAIN HIGH-QUALITY PRESIDENTIAL CANDIDATES,"SEPTEMBER 13, 2020",http://www.newsbiscuit.com/2020/09/13/americas-population-too-small-to-sustain-high-quality-presidential-candidates/
"TO COMMUTE, OR NOT TO COMMUTE?","JULY 18, 2020",http://www.newsbiscuit.com/2020/07/18/to-commute-or-not-to-commute/
HOMEOWNERS TO RECEIVE £5K IF THEY PRETEND TORIES HAVE DONE A GOOD JOB WITH COVID-19,"JULY 8, 2020",http://www.newsbiscuit.com/2020/07/08/homeowners-to-receive-5k-if-they-pretend-tories-have-done-a-good-job-with-covid-19/
LIFELONG FRIENDSHIP DESTROYED BY PAIN-IN-THE-ARSE FACEBOOK UPDATES,"APRIL 30, 2020",http://www.newsbiscuit.com/2020/04/30/lifelong-friendship-destroyed-by-pain-in-the-arse-facebook-updates/
CATHOLICISM FALLS IN TO ADMINISTRATION,"APRIL 29, 2020",http://www.newsbiscuit.com/2020/04/29/catholicism-falls-in-to-administration/
RACE TO DEVELOP VACCINE BEFORE KEY WORKERS CAN NEGOTIATE PAY RISE,"APRIL 7, 2020",http://www.newsbiscuit.com/2020/04/07/race-to-develop-vaccine-before-key-workers-can-negotiate-pay-rise/
ALL HOUSEHOLDS WILL BE ISSUED WITH FOUR PIECES OF LAVVY PAPER PER DAY,"MARCH 10, 2020",http://www.newsbiscuit.com/2020/03/10/all-households-will-be-issued-with-four-pieces-of-lavvy-paper-per-day/
BRITAIN BRACES ITSELF FOR POST-BREXIT WAVE OF SCROUNGING EX-PATS,"JANUARY 30, 2020",http://www.newsbiscuit.com/2020/01/30/britain-braces-itself-for-post-brexit-wave-of-scrounging-ex-pats/
‘A CATALOGUE OF ERRORS’ GETS PUBLICATION DATE,"JANUARY 15, 2020",http://www.newsbiscuit.com/2020/01/15/a-catalogue-of-errors-gets-publication-date/
GREAT ORMOND STREET DRIVE-THROUGH HOSPITAL AND BOWLING ALLEY PLANS UNTRUE SAYS BORIS,"NOVEMBER 28, 2019",http://www.newsbiscuit.com/2019/11/28/great-ormond-street-drive-through-hospital-and-bowling-alley-plans-untrue-says-boris/
WOMAN ON BENEFITS WELCOMES BORIS CASH GIVEAWAY,"NOVEMBER 22, 2019",http://www.newsbiscuit.com/2019/11/22/woman-on-benefits-welcomes-boris-cash-giveaway/
"US OPIOD CRISIS TO FUND THE NHS – REBRANDED JOHNSON, JOHNSON & JOHNSON","AUGUST 30, 2019",http://www.newsbiscuit.com/2019/08/30/us-opiod-crisis-to-fund-the-nhs-rebranded-johnson-johnson-johnson/
HOW TO SURVIVE PROROGATION,"AUGUST 28, 2019",http://www.newsbiscuit.com/2019/08/28/how-to-survive-prorogation/
PENSIONER ACCIDENTALLY VOTED IN AS PM,"JULY 18, 2019",http://www.newsbiscuit.com/2019/07/18/pensioner-accidentally-voted-in-as-pm/
ZUCKERBERG LAUNCHES “FACEBLOOD” ‘PURELY TO HELP HAEMOPHILIACS’,"JUNE 20, 2019",http://www.newsbiscuit.com/2019/06/20/zuckerberg-launches-faceblood-purely-to-help-haemophiliacs/
NHS JEALOUS OF NORTH KOREA,"SEPTEMBER 15, 2018",http://www.newsbiscuit.com/2018/09/15/nhs-jealous-of-north-korea/
POLICE TO INTRODUCE CONTROVERSIAL ‘STOP AND DEPORT’,"APRIL 19, 2018",http://www.newsbiscuit.com/2018/04/19/police-to-introduce-controversial-stop-and-deport/
DISAFFECTED UK EXTREMISTS ‘MAY NOT BE ALLOWED TO RE-JOIN THE CONSERVATIVE PARTY’,"NOVEMBER 25, 2017",http://www.newsbiscuit.com/2017/11/25/disaffected-uk-extremists-may-not-be-allowed-to-re-join-the-conservative-party/
JEREMY HUNT TO OPEN WORLD’S FIRST PLACEBO HOSPITAL,"OCTOBER 25, 2017",http://www.newsbiscuit.com/2017/10/25/jeremy-hunt-to-open-world%e2%80%99s-first-placebo-hospital/
TORIES TO PUT THE ‘C’ BACK INTO ‘DAS KAPITAL’,"MAY 18, 2017",http://www.newsbiscuit.com/2017/05/18/tories-to-put-the-c-back-into-das-kapital/
"WELL DUH, BBC TELLS VIEWERS CONNED BY SHOW ABOUT CONMEN","FEBRUARY 22, 2017",http://www.newsbiscuit.com/2017/02/22/well-duh-bbc-tells-viewers-conned-by-show-about-conmen/
JK ROWLING UNVEILS 2017 REWRITES OF HARRY POTTER SERIES,"JANUARY 29, 2017",http://www.newsbiscuit.com/2017/01/29/chinese-chef-striving-for-better-woklife-balance/
TRUMP DECLARES OBAMA PRESIDENCY WAS JUST FAKE NEWS,"JANUARY 25, 2017",http://www.newsbiscuit.com/2017/01/25/trump-declares-obama-presidency-was-just-fake-news/
HAMMOND’S AUTUMN STATEMENT MAKES BOOKER FICTION LIST,"NOVEMBER 24, 2016",http://www.newsbiscuit.com/2016/11/24/hammonds-autumn-statement-makes-booker-fiction-list/
"MAD HATTER, DORMOUSE ELECTED TO CONGRESS IN TEA PARTY LANDSLIDE","SEPTEMBER 18, 2016",http://www.newsbiscuit.com/2016/09/18/mad-hatter-dormouse-elected-to-congress-in-tea-party-landslide/
US REPUBLICANS DISBAND AFTER VOTERS STILL DON’T GET THE JOKE,"SEPTEMBER 14, 2016",http://www.newsbiscuit.com/2016/09/14/us-republicans-disband-after-voters-still-dont-get-the-joke/
FAT PEOPLE ‘NOT THAT FUNNY’ SAYS OBESITY EXPERT,"JULY 16, 2016",http://www.newsbiscuit.com/2016/07/16/fat-people-%e2%80%98not-that-funny%e2%80%99-says-obesity-expert/
"£3,000 ‘BIRTH BUDGETS’ COULD FUND SPA WEEKEND","MARCH 7, 2016",http://www.newsbiscuit.com/2016/03/07/3000-birth-budgets-could-fund-spa-weekend/
HILLARY CLINTON STILL FAVOURITE TO PRESENT QI,"OCTOBER 14, 2015",http://www.newsbiscuit.com/2015/10/14/hillary-clinton-still-favourite-to-present-qi/
SWARM OF BRITISH MIGRANTS ‘RUINING’ GREEK ISLAND,"AUGUST 17, 2015",http://www.newsbiscuit.com/2015/08/17/swarm-of-british-migrants-%e2%80%98ruining%e2%80%99-greek-island/
NHS TO BE REBRANDED AS ‘BRITAIN’S GOT ILLNESS’,"JUNE 19, 2015",http://www.newsbiscuit.com/2015/06/19/nhs-to-be-rebranded-as-britains-got-illness/
"THE ECONOMY IS STUPID, AGREE POLITICAL LEADERS","APRIL 3, 2015",http://www.newsbiscuit.com/2015/04/03/the-economy-is-stupid-agree-political-leaders/
SHEPHERD’S BUSH TO RUN AS US PRESIDENTIAL CANDIDATE,"DECEMBER 28, 2014",http://www.newsbiscuit.com/2014/12/28/shepherd%e2%80%99s-bush-to-run-as-us-presidential-candidate/
PRIVATE SCHOOLS MUST BE MORE PATRONISING TO KEEP TAX RELIEF,"DECEMBER 8, 2014",http://www.newsbiscuit.com/2014/12/08/private-schools-must-be-more-patronising-to-keep-tax-relief/
AMATEUR BRUSHERS BANNED FROM USING ORAL B PRO-EXPERT TOOTHPASTE,"NOVEMBER 12, 2014",http://www.newsbiscuit.com/2014/11/12/amateur-brushers-banned-from-using-oral-b-pro-expert-toothpaste/
"‘LOOK, CAN WE ALL JUST FOCUS ON THE POVERTY?’ SAYS BRAZIL","JULY 9, 2014",http://www.newsbiscuit.com/2014/07/09/look-can-we-all-just-focus-on-the-poverty-says-brazil/
‘BIRTHERS’ CONFLICTED AFTER OBAMA’S BIRTH CERTIFICATE PROVES HE IS SON OF GOD,"APRIL 19, 2014",http://www.newsbiscuit.com/2014/04/19/%e2%80%98birthers%e2%80%99-conflicted-after-obama%e2%80%99s-birth-certificate-proves-he-is-son-of-god/
THE VERVE ACCUSED OF PEDDLING INADEQUATE FLU-REMEDY,"APRIL 12, 2014",http://www.newsbiscuit.com/2014/04/12/the-verve-accused-of-peddling-inadequate-flu-remedy/
JEREMY HUNT TRIALS NEW HI-TECH ‘CONTACTLESS’ NHS,"MARCH 4, 2014",http://www.newsbiscuit.com/2014/03/04/jeremy-hunt-trials-new-hi-tech-%e2%80%98contactless%e2%80%99-nhs/
US PUBLIC SECTOR WORKERS READY TO BEGIN FIRST DVD BOX-SET BINGE FOR 17 YEARS,"OCTOBER 1, 2013",http://www.newsbiscuit.com/2013/10/01/us-public-sector-workers-ready-to-begin-first-dvd-box-set-binge-for-17-years/
SPANISH A&E MANNED BY BON JOVI‏,"MAY 30, 2013",http://www.newsbiscuit.com/2013/05/30/spanish-ae-manned-by-bon-jovi%e2%80%8f/
US BABY KISSING RING EXPOSED,"NOVEMBER 5, 2012",http://www.newsbiscuit.com/2012/11/05/us-baby-kissing-ring-exposed/
US ELECTION MAINLY ABOUT BUM SEX,"NOVEMBER 4, 2012",http://www.newsbiscuit.com/2012/11/04/us-election-mainly-about-bum-sex/
CLASH BETWEEN LIB-DEM DELEGATES AND BRIGHTON GUARDIAN READERS LEAVES TWO SAD,"SEPTEMBER 24, 2012",http://www.newsbiscuit.com/2012/09/24/49330/
‘BONSAI BABIES’ – THIS YEAR’S MUST-HAVE ACCESSORY FOR THE BOOZY TEEN SMOKER,"JULY 22, 2011",http://www.newsbiscuit.com/2011/07/22/%e2%80%98bonsai-babies%e2%80%99-%e2%80%93-this-year%e2%80%99s-must-have-accessory-for-the-boozy-teen-smoker/
AMERICAN CHILDREN DRESSING UP AS OBAMA THIS HALLOWE’EN,"OCTOBER 30, 2010",http://www.newsbiscuit.com/2010/10/30/american-children-dressing-up-as-obama-this-halloween/
BILLIONS POUR IN FOR INAUGURAL WORLD MONEY-THROWING CHAMPIONSHIPS,"FEBRUARY 15, 2010",http://www.newsbiscuit.com/2010/02/15/billions-pour-in-for-inaugural-world-money-throwing-championships/
US ‘MAY TAKE MILITARY ACTION’ TO LIBERATE BRITAIN FROM THE NHS,"AUGUST 18, 2009",http://www.newsbiscuit.com/2009/08/18/us-%e2%80%98may-take-military-action%e2%80%99-to-liberate-britain-from-the-nhs/
WAITING-ROOM MAN INSISTS ‘I SHALL FINISH READING THIS MAGAZINE ARTICLE FIRST’,"AUGUST 13, 2009",http://www.newsbiscuit.com/2009/08/13/waiting-room-man-insists-i-shall-finish-reading-this-magazine-article-first/
