Title,Publishing Date,Len,Content
Apologetic Nurse Informs Man Having Heart Attack There’s About An Hour Wait Until Next Covid Patient Dies,8/26/21,1078,"GAINESVILLE, FL—Promising to let him know as soon as something becomes available, nurse Janae Howager informed a man having a heart attack Thursday that there was about an hour wait until the next Covid-19 patient died. “Sorry, we just had a couple large groups of infected people come in, so it could be anywhere from an hour to a couple days depending on how long they can hold on,” said Howager, revealing that something would definitely open up due to the virus’s high fatality rate, adding that he was more than welcome to sit in the lobby and have some complementary aspirin to keep his blood from clotting until it does. “If you can’t wait, there are a few other hospitals in the area that you can try, but most places have overbooked their ICUs. Now, there are just a couple of people who were in a car accident and a gunshot victim ahead of you, but a few of our Covid patients’ oxygen levels are pretty low, so there could be a quick turnaround.” At press time, Howager was wheeling the man’s gurney into the emergency room early after someone died ahead of schedule.
"
"‘Rise Up, Patriots!’ Rand Paul Calls To Intubated Patients Lying Unconscious In Hospital ICU",8/10/21,1183,"WASHINGTON—Rallying patients lying unconscious in the intensive care unit of George Washington University Hospital, Sen. Rand Paul (R-KY) called on those intubated due to Covid-19 to rise up from their hospital beds and choose freedom, sources confirmed Tuesday. “To all you brave patriots who have been imprisoned in this ICU, I say join me and your fellow countrymen in rebelling against this despotic medical system!” shouted Paul, a non-board-certified ophthalmologist who represents a state in which more than 1,000 people are hospitalized with Covid, before going on to urge every patient with acute respiratory failure to join arm-in-arm and cast off the tyrannical yoke of fear and propaganda. “Don’t you see? Those ventilators aren’t there to save you, they’re meant to enslave you. They may look like innocent, artificial breathing devices intended to provide you with you a steady supply of oxygen, but they are the shackles of your oppressor. Rip out your breathing tube and join the resistance!” At press time, dozens of Covid patients had reportedly died after Paul attempted to reenact the Boston Tea Party by dumping their discolored, hypoxic bodies into the Potomac."
Chipmunks In Lake Tahoe Test Positive For Bubonic Plague,8/10/21,230,"Officials have closed areas around Lake Tahoe after discovering chipmunks infected with Bubonic plague, a disease that killed 25 million people in the 14th century pandemic but is now treatable with antibiotics. What do you think?"
"‘I’ll Wait Until It Passes The CDC, DCC, CCD, FAD, AFD, FDA, BIA, AIB, BFI, FIB, FBI,’ Announces Vaccine Skeptic",8/09/21,1509,"CANTON, MS—Calling the likely FDA approval of the Covid-19 vaccine an important first step, local vaccine skeptic Martin Graham announced Monday that he still would not be receiving a jab “until it passes the CDC, DCC, CCD, FAD, AFD, FDA, BIA, AIB, BFI, FIB, FBI” and all other combinations of three letters to better ensure that what’s in it is truly safe. “The CDC wants you to believe that they have all the answers, but I’m curious as to what the DCC, AUD, and IUD have to say as well,” said Graham, 53, adding that if the FCS, XQJ, or SUV were also set to rule on the safety and effectiveness of the inoculations this week, “then that would be a whole different story.” “I’m tired of everyone taking the WHO and FDA at their word, when we aren’t seeing the research carried out by, say, the MLS—let alone agencies we know and trust like the MLB, NBA, NHL, or NFL. For instance, what does the head of the CSI think of it? Is it even on their radar yet? I tell you what—give me a call when the CIA, CSI, MLM, CCC, DDD, DDS, BIB, NIB, LIN, WQH, XYZ, PPE, SAM, HAT, LLC, LOL, FIG, SNI, SNL, MOM, CVC, FMS, XMI, LAN, NLA, SAU, FSU, OMG, GMO, ENL, WUI, ZZZ, CFO, KLO, PQR, GNC, DND, JHJ, STD, BUB, WEL, VIV, NIN, VHS, RFT, DOC, PDF, HUM, SKO, HIU, UUT, FML, DRB, CCT, MEK, BIL, UTW, and the GMT all grant their blessing, and I’ll run out and get the shot as fast as you can say TTV.” At press time, Graham dutifully crossed out the FDA from his master list of 17,576 organizations he was waiting to hear from.
"
"Man Hides Under Bed, Covers Mouth As Enormous Delta Variant Virus Tears Through House",8/05/21,970,"JACKSONVILLE, FL—Awaking with a jolt to the sound of the enraged virus rampaging around his kitchen, local man Chris Turner reportedly hid under his bed and covered his mouth in terror Thursday as an enormous Delta coronavirus variant tore through his house. “Please, God, I’ll do anything, just make this mutation go away,” whispered a panicked Turner, who held his breath beneath his bed frame and watched helplessly as the gargantuan virus ripped through his belongings, tearing shelves out of his closet and throwing his dresser against the wall before pausing over his mattress and using its five-inch-long spike proteins to sniff for blood. “Don’t panic, don’t panic. Maybe if I just stay very quiet, it will think I’m dead. Plus, I’m young and healthy. It might not even want anything to do with me. Oh God.” At press time, Turner had pulled out his phone to contact the Centers for Disease Control, only to gasp in terror when the device began loudly vibrating.
"
Bored Vaccination Worker Spends Afternoon With No Patients Stabbing Syringe Between Fingers,7/29/21,1196,"HUNTSVILLE, AL—In an effort to make it through a long day with nothing to do, bored vaccination worker Ray Gately told reporters Thursday he had spent an afternoon with no patients stabbing a syringe back and forth between his splayed-out fingers. “With no vaccine appointments all day, I’ve actually gotten pretty good at putting my outstretched hand on this table and seeing how fast I can slam down a hypodermic needle without piercing my flesh,” said the local 33-year-old, listening to a podcast as he tried, once again, to break his personal record for “the ol’ five-finger fillet” with a syringe full of Moderna’s Covid-19 vaccine. “Almost no one comes in here, so we’re constantly looking for new ways to kill time. When we got tired of using the surplus doses to give each other booster shots, we started playing darts with the syringes. But after a couple months, you get to where you can hit the bull’s-eye every time, and it gets pretty dull. You know what? I’m gonna try this left-handed.” At press time, a yawning Gately was seen putting the finishing touches on a detailed scale model of the Taj Mahal constructed entirely of unopened, expired vials of the Pfizer-BioNTech vaccine."
CDC Director Alarmed After Googling ‘Covid Cases’ For First Time in Weeks,7/28/21,867,"ATLANTA—Admitting that she was caught off guard by the resurgent threat, CDC director Rochelle Wolensky expressed alarm Wednesday after Googling “Covid cases” for the first time in weeks. “Holy shit, I haven’t been checking in on the coronavirus because I thought we’d turned a corner, but damn, this looks really bad,” said Wolensky, holding up her phone for the press to show the rapidly escalating graphs of caseloads and deaths displayed on the search engine before asking if anyone else had seen this. “And the more I’m looking at this, does the Johnson & Johnson one have a different effect on the delta variant than the mRNA ones? Jesus, I see why I’ve been avoiding it now. This is just super depressing.” Wolensky added that she would probably ignore hospitalization data for the next month and hope things leveled off before her upcoming vacation to Hawaii."
How Organizers Plan To Keep The Tokyo Olympics Safe,7/21/21,3819,"All athletes will be required to thoroughly wash their hands once before attending the games. Just the gold ones. If they really cared about their health, the silver and bronze winners should have tried harder. Gymnasts will be asked to present vaccination documentation before their feet will be permitted to make contact with the mat. The 15-foot-deep pool will be used to store the thousands of saliva samples gathered every day for Covid testing, though the pool will still be used in competition. Nobody come, let’s just call it a 200-way tie. Slipping one of these padded, nylon muscle suits onto every Olympian before their events will prevent skin-to-skin contact while still allowing viewers to get an idea of the impressive athletic physiques that lie below. Tokyo police have strategically placed marksmen around the city with orders of “shoot to kill” when they spot anyone exhibiting Covid symptoms. This measure alone could reduce the Covid risk by 50%. A 6-foot gap will prevent these athletes from grappling, forcing them to swing their arms wildly in an effort to pin their opponents with air currents. To dissuade athletes from interacting with one another, each will be given nearly four gigabytes of MP4 videos of gangbangs, orgies, and fuckfests in either live action or hentai form. Medalists representing countries with an immunization rate below 50% will be forced to stand in shameful silence and think about how their homeland has failed. While ultimately useless in convincing attendees to stay “one dolphin apart,” “four dancing penguins apart,” or “3.5 armadillos apart,” these complete wastes of single-use plastic will humorlessly take up every square inch of wallspace in the Tokyo metropolitan area. While the balls may end up shriveled and no longer buoyant, they’ll be completely free of germs. Following the success of eradicating germs in the water polo, swimming, and diving arenas, officials have opted to fill complimentary Gatorade coolers with the powerful disinfectant and place them around the Olympic grounds for wide-scale dousing. Good job, guys! In order to keep everyone safe, events will be operating at 30% capacity to allow for social distancing. Athletes must reserve their spot the morning of the competition with a credit card on file. Although it’s one of the games’ most beloved events, the organizers decided it was just too dangerous this year. Athletes will eat in carefully controlled cafeterias and will no longer be able to line up for all-you-can-eat roast beef and fried shrimp alongside the outermost lane. The Tokyo Olympics Committee has hired a stern German nurse who will be in charge of going around making sure everyone adheres to the health protocols. Athletic events including gymnastics, swimming, diving, and marathon running will feature several doctors competing as athletes in order to keep tabs on potentially contagious individuals. All javelins will be replaced with 8-foot nose swabs and aimed at volunteers who have potentially been exposed to the novel coronavirus. We’re talking wiping down surfaces, small air filtration devices, spraying things with disinfectant—you know, all the stuff that doesn’t really move the needle, safety-wise. By banning all athletes from attending and simply hosting an empty stadium without anything happening in it for several years, Tokyo organizers have ensured virtually no chance of coronavirus transmission.
 Your new relationship may seem perfect, but the reality is, the human brain is remarkably good at excusing egregious… This should never happen, period. If someone feels nothing after losing a family member or friend, they are a psychopath, and you can say whatever you… Why should your relationship lack romance just because you can’t touch, feel, or experience your partner in the same…"
Knee To Hurt For Rest Of Life After 30-Year-Old Woman Sits Awkwardly For 2 Minutes,6/08/21,933,"SAVANNAH, GA—Completely oblivious of the implications of her body’s positioning, Rebecca Branagan, 30, reportedly began a lifetime of chronic knee pain by sitting awkwardly for two minutes Tuesday. According to sources, Branagan’s slight five millimeter shift of bodyweight while her knee was folded oddly underneath her for a little over a minute caused irreparable damage to the ligaments that would plague her for the next four or five decades. Several reports confirmed that the suffering triggered by the brief unnatural positioning that would force her to try multiple pain medications to alleviate the agonizing spasms she would get from the moment she woke up until she went to sleep at night would never go away and more likely only worsen until the day she died. At press time, Branagan had stood up from the weird position and started stretching and shaking out her legs to get the strange feeling in her knee to go away.
"
Coronavirus Variant Excited To Compete With World’s Top Mutations In Tokyo This Summer,5/27/21,1030,"LONDON—Having prepared for months to make its mark at this year’s Olympics, coronavirus variant B.1.525—a U.K. native best known for its skillful weakening of antibody responses—confirmed Thursday that it was excited to compete in Tokyo against top mutations from across the globe. “I can’t wait to travel to Japan this July and show the whole world what I’m capable of,” said the highly transmissible permutation of the SARS-CoV-2 virus, recounting how it had honed its spike proteins and vaccine resistance in anticipation of the international gathering of deadly pathogens. “I know South Africa, Brazil, and India will be bringing the heat, but I’m planning to have a big breakout moment myself. And if I’m not a household name by the closing ceremonies, well, there’s always the 2021 Sturgis Motorcycle Rally later in the summer.” Olympic bookmakers, observing that the United States is overdue to produce a highly lethal mutation, are reported to have the young California variants B.1.427 and B.1.429 favored in the spread.
"
