Title,Tags,Source
Apologetic Nurse Informs Man Having Heart Attack There’s About An Hour Wait Until Next Covid Patient Dies,NEWS IN BRIEF,https://www.theonion.com/apologetic-nurse-informs-man-having-heart-attack-there-1847564246
"‘Rise Up, Patriots!’ Rand Paul Calls To Intubated Patients Lying Unconscious In Hospital ICU",NEWS IN BRIEF,https://www.theonion.com/rise-up-patriots-rand-paul-calls-to-intubated-patie-1847451937
Chipmunks In Lake Tahoe Test Positive For Bubonic Plague,AMERICAN VOICES,https://www.theonion.com/chipmunks-in-lake-tahoe-test-positive-for-bubonic-plagu-1847452621
"‘I’ll Wait Until It Passes The CDC, DCC, CCD, FAD, AFD, FDA, BIA, AIB, BFI, FIB, FBI,’ Announces Vaccine Skeptic",NEWS IN BRIEF,https://www.theonion.com/i-ll-wait-until-it-passes-the-cdc-dcc-ccd-fad-afd-1847451973
"Man Hides Under Bed, Covers Mouth As Enormous Delta Variant Virus Tears Through House",NEWS IN BRIEF,https://www.theonion.com/man-hides-under-bed-covers-mouth-as-enormous-delta-var-1847421933
Posh Restaurant Has Cucumber Slices Floating In Jug Of Hand Sanitizer,NEWS IN PHOTOS,https://www.theonion.com/posh-restaurant-has-cucumber-slices-floating-in-jug-of-1847408256
Bored Vaccination Worker Spends Afternoon With No Patients Stabbing Syringe Between Fingers,NEWS IN BRIEF,https://www.theonion.com/bored-vaccination-worker-spends-afternoon-with-no-patie-1847370193
CDC Director Alarmed After Googling ‘Covid Cases’ For First Time in Weeks,NEWS IN BRIEF,https://www.theonion.com/cdc-director-alarmed-after-googling-covid-cases-for-f-1847378739
How Organizers Plan To Keep The Tokyo Olympics Safe,SLIDESHOW,https://www.theonion.com/how-organizers-plan-to-keep-the-tokyo-olympics-safe-1847331360
5 Things To Know About The New FDA-Approved Alzheimer Drug,BREAKING NEWS,https://www.theonion.com/5-things-to-know-about-the-new-fda-approved-alzheimer-d-1847070526
Knee To Hurt For Rest Of Life After 30-Year-Old Woman Sits Awkwardly For 2 Minutes,NEWS IN BRIEF,https://www.theonion.com/knee-to-hurt-for-rest-of-life-after-30-year-old-woman-s-1847055269
Coronavirus Variant Excited To Compete With World’s Top Mutations In Tokyo This Summer,SPORTS,https://www.theonion.com/coronavirus-variant-excited-to-compete-with-world-s-top-1846974422
New Program Encourages Americans To Get Vaccine To Prevent It From Going To Foreigners,NEWS IN BRIEF,https://www.theonion.com/new-program-encourages-americans-to-get-vaccine-to-prev-1846871503
Mother Assures Daughter It Perfectly Natural To Spray Geyser Of Period Blood All Over Classroom,NEWS IN BRIEF,https://www.theonion.com/mother-assures-daughter-it-perfectly-natural-to-spray-g-1846846343
Birth Control: Myth Vs. Fact,INFOGRAPHIC,https://www.theonion.com/birth-control-myth-vs-fact-1846677607
Russia Registers First Covid-19 Vaccine For Animals,AMERICAN VOICES,https://www.theonion.com/russia-registers-first-covid-19-vaccine-for-animals-1846618129
Vaccine Dose Reminds Sedentary Man What Muscle Soreness Feels Like,LOCAL,https://www.theonion.com/vaccine-dose-reminds-sedentary-man-what-muscle-soreness-1846607300
Pros And Cons Of Vaccine Passports,INFOGRAPHIC,https://www.theonion.com/pros-and-cons-of-vaccine-passports-1846600866
CDC Announces It Kind Of Embarrassing To Get Coronavirus This Late In Pandemic,NEWS IN BRIEF,https://www.theonion.com/cdc-announces-it-kind-of-embarrassing-to-get-coronaviru-1846583345
CDC Concludes U.S. Not Prepared For Potential Pandemic Following Year-Long Simulation Drill,NEWS IN BRIEF,https://www.theonion.com/cdc-concludes-u-s-not-prepared-for-potential-pandemic-1846564507
CDC Places Star Stickers On Bulletin Board Next To Names Of Americans Who Followed Rules Whole Pandemic,NEWS IN BRIEF,https://www.theonion.com/cdc-places-star-stickers-on-bulletin-board-next-to-name-1846536447
Senator Can’t Believe It’s Already Been A Year Since He Boosted Stock Portfolio With Classified Coronavirus Information,NEWS IN BRIEF,https://www.theonion.com/senator-can-t-believe-it-s-already-been-a-year-since-he-1846465927
Alaska First State To Expand Vaccine Eligibility To 16 And Older,AMERICAN VOICES,https://www.theonion.com/alaska-first-state-to-expand-vaccine-eligibility-to-16-1846458457
CDC Guidelines For Fully Vaccinated People,ONION INFO CLIPS,https://www.theonion.com/cdc-guidelines-for-fully-vaccinated-people-1846450754
CDC Guidelines Allow Fully Vaccinated People To Gather Indoors With Curtains Drawn To Reduce Spread Of Jealousy,NEWS IN BRIEF,https://www.theonion.com/cdc-guidelines-allow-fully-vaccinated-people-to-gather-1846439832
CDC Launches Ad Campaign Featuring Racist Mascot In Effort To Get More Conservatives Vaccinated,NEWS IN BRIEF,https://www.theonion.com/cdc-launches-ad-campaign-featuring-racist-mascot-in-eff-1846439799
Researchers Warn Of New Giant Covid-19 Variant Large Enough To Swallow Grown Man Whole,NEWS IN BRIEF,https://www.theonion.com/researchers-warn-of-new-giant-covid-19-variant-large-en-1846402091
Trump Secretly Received Covid-19 Vaccine Before Leaving White House,AMERICAN VOICES,https://www.theonion.com/trump-secretly-received-covid-19-vaccine-before-leaving-1846399599
FDA Approves First Single-Dunk Coronavirus Vaccine,NEWS IN PHOTOS,https://www.theonion.com/fda-approves-first-single-dunk-coronavirus-vaccine-1846348997
Cruise Ship Waiting Out 1918 Influenza Pandemic Wondering If It's Okay To Dock At Port Now,NEWS IN PHOTOS,https://www.theonion.com/cruise-ship-waiting-out-1918-influenza-pandemic-wonderi-1846260967
"‘Witness All, The End Of Your So-Called Society,’ Says Covid Particle Taking Over Super Bowl Sound System",SPORTS,https://www.theonion.com/witness-all-the-end-of-your-so-called-society-says-1846202243
CDC Warns About More Deadly Covid Variants After Virus Mutates Into Serial Killer Richard Ramirez,NEWS IN BRIEF,https://www.theonion.com/cdc-warns-about-more-deadly-covid-variants-after-virus-1846133432
CDC Announces Country On Track To Chuck 1 Million Expired Vaccines Per Day,NEWS IN BRIEF,https://www.theonion.com/cdc-announces-country-on-track-to-chuck-1-million-expir-1846128841
43 Deaths Linked To Novelty Inflatable Heart Implant,NEWS IN PHOTOS,https://www.theonion.com/43-deaths-linked-to-novelty-inflatable-heart-implant-1846008750
State-By-State Covid-19 Restrictions,ENTERTAINMENT,https://www.theonion.com/state-by-state-covid-19-restrictions-1845906521
Study Finds Adults Over 50 Should Get Colonoscopy To Determine Whether Aliens Are Controlling You From The Inside,THE TOPICAL,https://www.theonion.com/study-finds-adults-over-50-should-get-colonoscopy-to-de-1845798860
Herd Of Crossfitters Stampeding Down Sidewalk Like Startled Wild Boars,LOCAL,https://www.theonion.com/herd-of-crossfitters-stampeding-down-sidewalk-like-star-1845789917
"Looking Back On The Onion’s First 15,000 Years Of Coronavirus Coverage",ENTERTAINMENT,https://www.theonion.com/looking-back-on-the-onion-s-first-15-000-years-of-coron-1845432140
How To Fight Sugar Cravings,ONION INFO CLIPS,https://www.theonion.com/how-to-fight-sugar-cravings-1845630317
Health Experts Determine College Social Distancing Guidelines Still No Match For The Jasonator,THE TOPICAL,https://www.theonion.com/health-experts-determine-college-social-distancing-guid-1845461223
Label Of Prescription Shampoo Shamefully Turned To Face Wall,LOCAL,https://www.theonion.com/label-of-prescription-shampoo-shamefully-turned-to-face-1845411147
Tub Of Almonds Bought In Case Woman Becomes Completely Different Person Overnight,LOCAL,https://www.theonion.com/tub-of-almonds-bought-in-case-woman-becomes-completely-1845213482
"Woman’s Face Deteriorates Into Grey, Cracked Husk After Missing Single Day Of Skincare Routine",LOCAL,https://www.theonion.com/woman-s-face-deteriorates-into-grey-cracked-husk-after-1845076701
Public Health Experts Claim It’s Safe To Reopen Weird Little Private Schools Where They Have Class In Barn,NEWS IN BRIEF,https://www.theonion.com/public-health-experts-claim-it-s-safe-to-reopen-weird-l-1844999763
5 Things To Know About Wearing Masks,BREAKING NEWS,https://www.theonion.com/5-things-to-know-about-wearing-masks-1844555896
5 Common Workout Mistakes,ONION INFO CLIPS,https://www.theonion.com/5-common-workout-mistakes-1844486260
Man Unaware Majority Of His Life’s Failures Directly Caused By Getting Only 80% Daily Recommended Thiamine,LOCAL,https://www.theonion.com/man-unaware-majority-of-his-life-s-failures-directly-ca-1844455228
Sleep: Myth Vs. Fact,INFOGRAPHIC,https://www.theonion.com/sleep-myth-vs-fact-1844258744
Single Thick Black Hair Wondering Where It Made Wrong Turn After Popping Out Of Woman’s Chin Again,LOCAL,https://www.theonion.com/single-thick-black-hair-wondering-where-it-made-wrong-t-1844146460
Weight Watchers Debuts New Ad Asking If You Remember Time Grandma Said ‘Someone Got Heavy’ In Front Of Everybody,NEWS IN BRIEF,https://www.theonion.com/weight-watchers-debuts-new-ad-asking-if-you-remember-ti-1844049653
"On Top Of Everything, Man’s Allergies Also Acting Up",LOCAL,https://www.theonion.com/on-top-of-everything-man-s-allergies-also-acting-up-1843906195
Tips For Avoiding Vision Loss,ONION INFO CLIPS,https://www.theonion.com/tips-for-avoiding-vision-loss-1843589844
Most Popular Sleep Aids,ONION INFO CLIPS,https://www.theonion.com/most-popular-sleep-aids-1843463540
God Pins Up Hunky Shot Of Mesopotamian Hunting Deity As Inspiration To Start Working Out,NEWS IN BRIEF,https://www.theonion.com/god-pins-up-hunky-shot-of-mesopotamian-hunting-deity-as-1843107675
10 ‘Healthy’ Foods That Are Actually Bad For You,ENTERTAINMENT,https://www.theonion.com/10-healthy-foods-that-are-actually-bad-for-you-1843107583
"Los Angeles Mayor Urges Residents To Wear Face Masks, Lose 15 Pounds, Maybe Go Brunette",NEWS IN PHOTOS,https://www.theonion.com/los-angeles-mayor-urges-residents-to-wear-face-masks-l-1842649916
British Man Astounded To Hear How Much It Would Cost To Get Mustard Jar Removed From Rectum Under U.S. Healthcare System,LOCAL,https://www.theonion.com/british-man-astounded-to-hear-how-much-it-would-cost-to-1842508566
Health Experts Worry Coronavirus Will Overwhelm America’s GoFundMe System,NEWS IN BRIEF,https://www.theonion.com/health-experts-worry-coronavirus-will-overwhelm-america-1842314132
‘New York Times’ Offering Free Access To Obituaries During Coronavirus Outbreak,NEWS IN PHOTOS,https://www.theonion.com/new-york-times-offering-free-access-to-obituaries-dur-1842312029
Best Methods For Staying Safe From Coronavirus,ENTERTAINMENT,https://www.theonion.com/best-methods-for-staying-safe-from-coronavirus-1842272448
Panicked WHO Officials Not Sure How To Respond After Coronavirus Brings 12 People Back To Life,NEWS IN BRIEF,https://www.theonion.com/panicked-who-officials-not-sure-how-to-respond-after-co-1842060711
"Weighted Blanket Sure To Succeed Where CBD, Salt Lamp, Oil Diffuser, Acupressure Mat, Bath Bombs, And White Noise Machine Failed",LOCAL,https://www.theonion.com/weighted-blanket-sure-to-succeed-where-cbd-salt-lamp-1842015748
Pros And Cons Of Banning Peanuts In Schools,INFOGRAPHIC,https://www.theonion.com/pros-and-cons-of-banning-peanuts-in-schools-1841830011
Resigned Nutritionists Now Recommend Eating 3 Servings A Day Of Mice Or Bark Or Whatever,NEWS IN BRIEF,https://www.theonion.com/resigned-nutritionists-now-recommend-eating-3-servings-1841645170
Health Officials Warn It Is Impossible To Tell If American Cruise Ship Passengers Suffering From Coronavirus Or Just Like That,NEWS IN BRIEF,https://www.theonion.com/health-officials-warn-it-is-impossible-to-tell-if-ameri-1841582160
Study Finds Leading Cause Of Childhood Obesity Witches Fattening Up Children To Be Eaten,NEWS IN BRIEF,https://www.theonion.com/study-finds-leading-cause-of-childhood-obesity-witches-1841573981
5 Things To Know About The Coronavirus,BREAKING NEWS,https://www.theonion.com/5-things-to-know-about-the-coronavirus-1841330338
10 Easy Exercises You Can Do At The Office,ENTERTAINMENT,https://www.theonion.com/10-easy-exercises-you-can-do-at-the-office-1841310301
Xi Jinping Vows To Combat Coronavirus By Making It Illegal To Mention Within A Week,NEWS IN BRIEF,https://www.theonion.com/xi-jinping-vows-to-combat-coronavirus-by-making-it-ille-1841274319
CDC Urges Americans To Just Say No If Friend Offers Them Coronavirus,NEWS IN BRIEF,https://www.theonion.com/cdc-urges-americans-to-just-say-no-if-friend-offers-the-1841261840
Canadian Man Wishes There Was Some Way To Pay His Doctor For All The Hard Work He Did,LOCAL,https://www.theonion.com/canadian-man-wishes-there-was-some-way-to-pay-his-docto-1841134326
Ravages Of Age Claim Formerly Perky Beer Gut,LOCAL,https://www.theonion.com/ravages-of-age-claim-formerly-perky-beer-gut-1840832127
Jimmy Carter Devotes Rest Of Life To Raising Awareness Of Fact That Men Get UTIs Too,POLITICS,https://www.theonion.com/jimmy-carter-devotes-rest-of-life-to-raising-awareness-1840243893
Tips For Staying Healthy During The Holiday Season,ONION INFO CLIPS,https://www.theonion.com/tips-for-staying-healthy-during-the-holiday-season-1840048752
