Title,Publishing Date,Source
Minority-Run Austin Health Dept Keeps Covid Vaccines From White People For White Privilege,"February 2, 2021",https://prntly.com/2021/02/02/minority-run-austin-health-dept-keeps-covid-vaccines-from-white-people-for-white-privilege/
Italy And Iran’s Free Healthcare System Causing Mass Deaths From Coronavirus,"March 2, 2020",https://prntly.com/2020/03/02/italy-and-irans-free-healthcare-system-causing-mass-deaths-from-coronavirus/
Bernie advances socialist healthcare even as it fails coronavirus patients worldwide,"February 28, 2020",https://prntly.com/2020/02/28/bernie-advances-socialist-healthcare-even-as-it-fails-coronavirus-patients-worldwide/
Highest Coronavirus Fatality Rates? Countries With “free” Healthcare,"February 28, 2020",https://prntly.com/2020/02/28/highest-coronavirus-fatality-rates-countries-with-free-healthcare/
American Healthcare handling Coronavirus way better than foreign socialist healthcare,"February 28, 2020",https://prntly.com/2020/02/28/american-healthcare-handling-coronavirus-way-better-than-foreign-socialist-healthcare/
Bernie wants to take away private healthcare in middle of possible pandemic,"February 28, 2020",https://prntly.com/2020/02/28/bernie-wants-to-take-away-private-healthcare-in-middle-of-possible-pandemic/
"So far, Capitalist Healthcare is beating socialist healthcare easy on Coronavirus","February 28, 2020",https://prntly.com/2020/02/28/so-far-capitalist-healthcare-is-beating-socialist-healthcare-easy-on-coronavirus/
90 Yr Old Man ‘BEGS’ For Hospital Bed For Dying Wife As Irish Public Health System Crumbles,"February 21, 2020",https://prntly.com/2020/02/21/90-yr-old-man-begs-for-hospital-bed-for-dying-wife-as-irish-public-health-system-crumbles/
Ireland Considers State Of Emergency As It’s Free Healthcare System Crumbles,"February 21, 2020",https://prntly.com/2020/02/21/ireland-considers-state-of-emergency-as-its-free-healthcare-system-crumbles/
WATCH: Bloomberg Says 95 year olds with health problems Should go die,"February 18, 2020",https://prntly.com/2020/02/18/watch-bloomberg-says-95-year-olds-with-health-problems-should-go-die/
Bernie’s healthcare plan would cost $70 trillion annually,"February 13, 2020",https://prntly.com/2020/02/13/bernies-healthcare-plan-would-cost-70-trillion-annually/
Bernie Sanders said that he’ll raise taxes on the middle class for “free” healthcare,"February 13, 2020",https://prntly.com/2020/02/13/bernie-sanders-said-that-hell-raise-taxes-on-the-middle-class-for-free-healthcare/
Bernie Sanders said that he’ll raise taxes to the middle class for “free” healthcare,"February 13, 2020",https://prntly.com/2020/02/13/bernie-sanders-said-that-hell-raise-taxes-to-the-middle-class-for-free-healthcare/
The Democrats Want To Run Our Healthcare But Can’t Even Run Their Caucus,"February 4, 2020",https://prntly.com/2020/02/04/the-democrats-want-to-run-our-healthcare-but-cant-even-run-their-caucus/
Number Of Working Dialysis Machines in Venezuela Plummet As Healthcare System Falls Apart,"January 29, 2020",https://prntly.com/2020/01/29/number-of-working-dialysis-machines-in-venezuela-plummet-as-healthcare-system-falls-apart/
Shock: UK’s Socialist Healthcare Czar Dies Waiting for Surgery From Her Own Hospital,"January 23, 2020",https://prntly.com/2020/01/23/shock-uks-socialist-healthcare-czar-dies-waiting-for-surgery-from-her-own-hospital/
Study Suggests Most Democrats Not Breastfed As Babies,"June 2, 2021",https://prntly.com/2021/06/02/study-suggests-most-democrats-not-breastfed-as-babies/
Empire Falls: How Trying Socialism Destroyed A Capitalist Success Story,"March 11, 2021",https://prntly.com/2021/03/11/empire-falls-how-trying-socialism-destroyed-a-capitalist-success-story/
Places That Don’t Lockdown Have No Difference In Covid Deaths Than Those That Do,"February 20, 2021",https://prntly.com/2021/02/20/places-that-dont-lockdown-have-no-difference-in-covid-deaths-than-those-that-do/
Nicolás Maduro’s regime admitted that it cannot buy vaccines against the coronavirus,"February 20, 2021",https://prntly.com/2021/02/20/nicolas-maduros-regime-admitted-that-it-cannot-buy-vaccines-against-the-coronavirus/
Philly Plans Possible ‘City-Wide’ Hard Lockdown. No Recounts Possible,"November 10, 2020",https://prntly.com/2020/11/10/philly-plans-possible-city-wide-hard-lockdown-no-recounts-possible/
Trump Is Stacking White House With Loyalists This Week As Media Gets Nervous He’ll Keep Office,"November 10, 2020",https://prntly.com/2020/11/10/trump-is-stacking-white-house-with-loyalists-this-week-as-media-gets-nervous-hell-keep-office/
"Media Claims Trump Rallies Spread Covid, BLM Riots Stop It","November 3, 2020",https://prntly.com/2020/11/03/media-claims-trump-rallies-spread-covid-blm-riots-stop-it/
"When Covid Hit, Nurses Needed Masks. So Big Tech Banned Their Sale And Made It Worse","August 13, 2020",https://prntly.com/2020/08/13/when-covid-hit-nurses-needed-masks-so-big-tech-banned-their-sale-and-made-it-worse/
"Alyssa Milano Wore A Mask All The Time, Tests Positive For Covid-19 Anyway","August 7, 2020",https://prntly.com/2020/08/07/alyssa-milano-wore-a-mask-all-the-time-tests-positive-for-covid-19-anyway/
Blacks Were Told By Democrats To Protest. Now They’re Seeing A Covid-19 Surge,"July 14, 2020",https://prntly.com/2020/07/14/blacks-were-told-by-democrats-to-protest-now-theyre-seeing-a-covid-19-surge/
WHO Director Calls For Americas To Go Back Into Hard Lockdown,"July 13, 2020",https://prntly.com/2020/07/13/who-director-calls-for-americas-to-go-back-into-hard-lockdown/
North Korea Says It’s Only Country To Never Have A Covid Case,"July 7, 2020",https://prntly.com/2020/07/07/north-korea-says-its-only-country-to-never-have-a-covid-case/
North Korea Claims Victory Against Covid-19 Being The Only Country With 0 Cases,"July 7, 2020",https://prntly.com/2020/07/07/north-korea-claims-victory-against-covid-19-being-the-only-country-with-0-cases/
CHAZ Undercover,"June 23, 2020",https://prntly.com/2020/06/23/chaz-undercover/
Antifa Members with Active Covid plot to Infiltrate Tulsa Trump Rally,"June 21, 2020",https://prntly.com/2020/06/21/antifa-members-with-active-covid-plot-to-infiltrate-tulsa-trump-rally/
Seattle Occupiers Change Name To Branch Covidians,"June 17, 2020",https://prntly.com/2020/06/17/seattle-occupiers-change-name-to-branch-covidians/
The Lockdown Made Absolutely No Sense,"June 9, 2020",https://prntly.com/2020/06/09/the-lockdown-made-absolutely-no-sense/
"Democrats Ban Social gatherings Of over 12 people, unless its protesters","June 6, 2020",https://prntly.com/2020/06/06/democrats-ban-social-gatherings-of-over-12-people-unless-its-protesters/
Vegas Father Murder-Suicides Family As Lockdown Begins To Take Toll,"March 29, 2020",https://prntly.com/2020/03/29/vegas-father-murder-suicides-family-as-lockdown-begins-to-take-toll/
Dr. Ron Paul: Don’t buy the coronavirus hype,"March 16, 2020",https://prntly.com/2020/03/16/dr-ron-paul-dont-buy-the-coronavirus-hype/
Suspicious Suicides Surrounding Hillary Still Outnumber Coronavirus Victims,"March 3, 2020",https://prntly.com/2020/03/03/suspicious-suicides-surrounding-hillary-still-outnumber-coronavirus-victims/
Flashback: Obama waited 6 months to call Swine Flu an emergency after thousands died,"February 29, 2020",https://prntly.com/2020/02/29/flashback-obama-waited-6-months-to-call-swine-flu-an-emergency-after-thousands-died/
2nd mystery coronavirus patient in California. Unknown Carrier infecting bystanders,"February 29, 2020",https://prntly.com/2020/02/29/2nd-mystery-coronavirus-patient-in-california-unknown-carrier-infecting-bystanders/
BREAKING: Coronavirus in Oregon For First Time,"February 29, 2020",https://prntly.com/2020/02/29/breaking-coronavirus-in-oregon-for-first-time/
"As Coronavirus rages, Bernie wants to open the border","February 28, 2020",https://prntly.com/2020/02/28/as-coronavirus-rages-bernie-wants-to-open-the-border/
