Title,Len,Content,Publishing Date
Mental Healthcare Remembered as Another Silly Quarantine Project,1672,"At a recent gathering, friends Tanya, Fred, and Monique recounted the various fun little hobbies and endeavors they tried out during lockdown, including attending to their mental health for the first time in their adult lives.   “I tried telehealth therapy since my job was offering it for free,” Tanya said. “It really was cool talking for a while and working through attachment issues I never realized I had. Then I also tried digital painting and baking sourdough! But now I can go to bars again, so, obviously, that’s all over.”   Others similarly skidded around the seriousness and absolute need for mental healthcare.   “Oh my god, I totally did that too!” said Fred. “I was in my childhood bedroom talking about how depressed I felt for like three months straight! But that got a little too intense after a while so I went straight into jigsaw puzzles and video games to smooth the brain.”   Fred quietly stared off into the distance after he finished speaking. Monique had similarly taken up taking care of her mental health as a silly quarantine project, but for her, this was one of the hobbies that stuck.   “I feel you guys, I have been going to therapy for a while now. It’s been over a year!” Monique said. “I guess this is my permanent quirky little hobby now, lol.”   The other two were puzzled by this.   “Didn’t you want to move on to other hobbies? Did you try watching Love is Blind?” Tanya asked.   “Yes, but I had a lot of time. I did some hiking. But therapy really works for me!” Monique replied.   At press time, the other two were quietly sipping their drinks until Fred insisted unprompted that his intrusive thoughts were “definitely gone now”.","Jun 30, 2021"
I Was Denied Treatment Because Our Healthcare System is Broken and Also My Nurse Was Filming a TikTok,2065,"If one thing is clear, it’s that our country’s healthcare system is a mess. Healthcare costs are rising, insurance options are more complicated than ever, and implicit bias still affects who receives adequate treatment. So it is with incredible frustration that I was denied treatment at a recent doctor’s visit – due to our profoundly broken system, and that my nurse and others were shooting a complex TikTok dance all in one take.   You see, my doctor had asked me to return to her office to have an abscess drained. But when I got there, the nurse was saying something about how my insurance wouldn’t cover the procedure, but I could pay for it out-of-pocket. Also she was dancing in front of the phone at the time.   I tried to ask her why my insurance wouldn’t cover this basic procedure but she just kept shaking her hips and pointing her fingers at imaginary things in the air.   It wasn’t until my friend texted me later, “Is this you in the background with the IV drip?” that I saw what was going on. The nurse had been filming a TikTok to the song “Dance Monkey” by Stripped Back. And in the video she was playfully brushing the hair back from both sides of her face pointing to word bubbles that popped up individually to spell out “check” “your” “coverage” “before” “you” “get” “to” “your” “doctor’s” “office.” Then she put her hands on both hips and posed before moving her head back and forth to make room for more words that popped up on the screen reading, “you” “may” “need” “prior” “authorization” “before” “your” “visit”.   I felt so embarrassed and also my abscess was still throbbing. What is this world where a person can’t receive treatment and also must be mocked on it via an account that somehow has seventy THOUSAND followers?!     I still haven’t been able to sort this issue out with my insurance provider. And nurse Jenny is still racking up views. And I don’t appreciate the part at the end where she sassily raises her eyebrow and nods back at me.   Our collective inability to solve this problem hurts. And my abscess really hurts.","Jan 16, 2020"
How to Heal Yourself With Guns When You Don’t Have Access to Healthcare,2802,"Lately the threat of losing healthcare has been looming over millions of Americans. While access to affordable healthcare may be at risk, guns remain widely accessible to anyone and everyone. Since they’re so bountiful, you may want to try a gun in an emergency rather than resort to our healthcare system for safe and affordable care. Here’s how to heal yourself with guns when you don’t have access to any of that stuff any more.   Apply a gun to the wound. When you’re wounded and can’t afford the massive fees of a hospital visit, simply apply a gun to the wound. If you don’t already own a gun, no worries! Buying a gun costs way less than seeking medical attention and works almost as well. Hold the gun against your wound until bleeding stops or until you receive another gun, in which case you can hold two guns against your wounds instead of one. For severe bleeding, you can fire the gun and press the hot barrel of the gun against your wound to cauterize it. You’ll heal in no time.   Take a bullet like a pill. Take a bullet like a pill if you require life-saving prescription meds but can’t afford them. Bullets come in all shapes and sizes, so you can buy hundreds of bullets and store them in a big bottle to replicate the look and feel of your meds. Though they’re not actual medicine, they’re what you have right now and you can make them work! They’re made of metal and that is strong! Your body should start healing at any moment.   Perform gun-based surgery. If the six-figure cost of an emergency room visit would bankrupt you, but you need immediate surgery to live, perform gun-based surgery – a type of surgical procedure executed with and by a gun. Gun-based surgery is completely free minus the cost of the gun, which you can buy at most Wal-mart for under $100. Ideally, you will perform the surgery with a bayonet or some type of gun with a sharp point, although really any gun will do. This surgery has a 3% survival rate, which is better than the not surgery you have access to without healthcare. Guns can heal you, and that’s why we protect them more than the human right to accessible healthcare!     Become a gun. When all other options fail, become a gun, or at least a half-woman, half-gun cyborg. You can do this simply by turning yourself into a metal tool designed to hurt others, and within minutes legislation should be signed to protect your existence. The only downside is that you will have to live the rest of your life as a weapon rather than a person, but under this administration, that might not be so bad!   If you’ve already lost healthcare or are at risk of losing healthcare, don’t panic! At least you will always have access to guns, so follow these gun-based healing tips to ensure you stay healthy. Sometimes you just have to use what you’ve got!","May 10, 2017"
Trans Patient With Broken Arm Spends Half of ER Intake Answering Questions About Gender Identity,2402,"After a cycling accident last Thursday, Julian Berton spent half of their ER intake answering questions about their trans gender identity while awaiting medical assistance for their badly broken arm.   “I had to mark my birth sex on the intake, which was already difficult because I’m right-handed, and had shattered multiple bones in my right arm,” says Julian. “But it also brought an onslaught of clarifying questions about my gender identity.”   “I think they were actually trying to be sensitive and inclusive,” Julian adds. “But they also seemed deeply confused, plus it was hard to give answers as I gritted my teeth to endure the pain of my smashed and neglected bones.”   Before Julian was able to see a doctor, they first filled a nurse in on everything that was going on with their genitals, hormones, sexuality, and gender identity.   “She read me a list of ten genders she could mark down, and when I said transgender man was fine, she asked me what that was,” Julian says. “I don’t think her intentions were bad, but it was sort of frustrating because my snapped radius had pierced through my skin and I was bleeding a lot on my shirt.”   Once Julian made it through intake, they answered roughly the same set of questions for the ER doctor who was treating them.   “These matters aren’t irrelevant,” says Dr. Kendall Jared. “When [redacted] told me [redacted] was on testosterone, I was concerned. You see, testosterone can be very dangerous if you’re planning to regularly get car doored while biking through the city and snap your arm bones clean in half.”   But Julian doesn’t see it that way.   “My gender and trans healthcare just didn’t seem that relevant to them putting my bones back inside of my body instead of outside of it,” they insist. “At first, when they were asking me all these questions about my preferred name and identity, I guess I thought that meant they were going to respect those things, but that wasn’t the case either, so I’m not sure what it was for.”   In fairness to the medical team, Julian reports the pain of being addressed as “Ms. [redacted]” for the duration of their hospital stay paled in comparison to that of their absolutely fucked to pieces radius and ulna.     “Thankfully I have a cast now,” Julian says. “So I can grab a sharpie and write up some FAQs on it about my trans gender identity for follow-up visits.”   Now that’s good healthcare!","Aug 26, 2021"
Man’s Insurance Plan Only Covers Free Therapy From Girlfriend,1998,"In the United States, good health insurance is hard to come by, but one man found an option that actually works for him. After days of searching for an affordable and reliable therapist, 27-year-old Chicago resident Sam Mulligan discovered that his insurance plan only covers free therapy from his girlfriend Becca Oden.   “It’s so great. Now I don’t have to worry about copays or booking any appointments. I just have to send a vague text about my day and I get a session that same day,” says Sam. “Plus, it’s free!”   Becca gave reporters more insight into their practice.   “Every Friday Sam and I reflect on his week and talk about anything that’s bothering him. This helps us open up a clear line of communication,” Becca says. “My friends and therapist keep telling me that I need to draw a boundary to pay attention to my own feelings but these talks help me feel closer to him. Plus he really couldn’t find anyone he liked in network.”   Sources clarify that Sam was not the one who searched for an affordable and reliable therapist; Becca also provided that service free of charge, and he vetoed all of the options for reasons such as “same age as my mom” or “weird glasses frames”.   “I’m so glad that I have her in my life,” says Sam. “Without her I’d probably be paying an arm and a leg just for a diagnosis. God, our healthcare system is really so messed up. I think I want to talk more about that in our next session.”   “I don’t think it’s healthy,” says Fernanda, a mutual friend. “I get that couples are supposed to help each other through emotional stuff but Sam literally calls Becca at random times throughout the day expecting her to drop everything and console him. Also I don’t think you’re supposed to be having sex with your therapist.”   “I think people are jealous of just how close we are,” Sam explains., “I’ve never felt closer to someone before and I can feel my mental health improving each week.”   Becca confirms her therapy bill has skyrocketed since meeting Sam.","Aug 16, 2021"
"It’s Not Illegal to Get an Abortion, It’s Just Impossible Because of Laws",2929,"While many Americans are distressed by the multi-state ongoing effort to challenge and ultimately overturn Roe v. Wade, analysis shows that the federally protected right to have an abortion is not illegal, it’s just impossible because of, you know, laws.   In this nation, everyone has a right to individual privacy and bodily autonomy, and by extension, women can terminate pre-viabable pregnancies for any reason. Texas signed a new legislation that bans abortion if the heartbeat of the fetus can be heard, which can happen as early as six weeks into pregnancy. But, hey, that doesn’t mean that it’s illegal to get an abortion. You just have a really tight window for abortion. Like, you have to get it before almost anyone would know they were pregnant, so be sure to stay on top of that if you want to have the right that you totally do have.   Alabama signed legislation in 2019 that banned abortion all together, with the punishment of life in prison for doctors who perform one. The good news is, it’s currently unenforceable because it so blatantly violates the constitution. So if you’re in Alabama, rest assured that your right to an abortion has not been taken; your government is just working very hard to take it. But if they do succeed that’s no big deal, because people can just travel to another state! Just probably not Texas because of that heartbeat rule that they have.   People who need to get an abortion should also probably avoid Kentucky, Mississippi, Missouri, North Dakota, South Dakota and West Virginia too, because each of them reportedly only have one abortion clinic left in each respective state. One legal inaccessible, insufficient, underfunded clinic.   There are also eighteen states that currently have government-mandated delays before abortion, including Alabama, Arkansas, Idaho, Indiana, Kansas, Kentucky, Louisiana, Michigan, Mississippi, Nebraska, North Dakota, Ohio, Pennsylvania, South Carolina, South Dakota, Utah, Virginia, and Wisconsin.   In these states, people are forced to delay their abortions for at least 24 hours while they receive state-mandated anti-abortion information, and in a few states, patients are also required to make two trips to the clinic: one to receive anti-choice information and then another one the next day for their actual abortion. But, again, this emotional warfare and waste of time doesn’t mean abortion is illegal! It’s just so taxing and out of reach that it’s insane to think that this is the reality of this country’s reproductive healthcare system.   So despite popular misbelief, abortions are totally legal, (unless Alabama has anything to say about it — and then if they succeed, the floodgates are open!) And they are totally easy to get as long as you have insurance, live in a state without anti-abortion mandates, and you’re able to schedule an appointment before six weeks of pregnancy! Impossible, but not illegal (due to laws!)  ","Jul 8, 2021"
"Biden Assures Nation He’ll Send $2,000 Stimulus as Soon as His Direct Deposit Hits",2505,"In a relatively unconvincing pledge, a visibly desperate President Biden insisted to the entire population of the United States that he’s “totally good” for the $2,000 stimulus that the Democrats had been promising, but just needs “a couple extra weeks to work out the cash flow situation.”   Biden promised that his reticence to send the relief checks had nothing to do with political will, and everything to do with the fact that he’s been between jobs since January 2017 and just needs a minute to breathe and bulk up his savings account.   “Like, on paper, sure, I make $400,000 a year,” Biden conceded to the general public. “But I don’t get my first paycheck until the 31st, and even that will be prorated because I didn’t work the full two weeks of the pay period. So I can probably get you the money by then, but it would probably be ideal for me to hold off until like mid-Feb, if that’s chill with you.”   Biden also apologized for his general lack of clear communication about the COVID relief package, citing the fact that his “personal life has been all over the place” thus far in 2021.   “I just moved to a new place, started a new gig, witnessed a violent insurrection in protest of my imminent ascent to power,” Biden listed while absentmindedly signing a pile of executive orders. “I’m really sorry for not following up, but I haven’t even replied to all my ‘congratulations on winning the election’ and ‘happy birthday’ emails—you should see my inbox.”   “Shit, speaking of, I gotta tell USPS to reroute my mail,” Biden realized before scribbling a note on his extensive to-do list.   Biden has touted $2,000 stimulus checks as one of many achievements he intends to complete before the end of his first 100 days in office. Other items include delivering the COVID-19 vaccine to 100 million Americans, passing a sweeping infrastructure package, and getting a guy from Spectrum to come down to the White House and reset the Wi-Fi because the outgoing Trump administration never shared the password.   “The country needs to heal, and I intend to work tirelessly to achieve that goal,” Biden declared confidently. “But also, no one’s told me how I can log into the White House Slack channel, and it feels like it’s probably pretty important that I get fully onboarded before I try to go around doing president stuff.”   At press time, Biden announced that expanding Obamacare to include a public option would have to wait until someone from HR gives him admin privileges on healthcare.gov.","Jan 25, 2021"
CDC Recommends People Who Pronounce It ‘Onvelope’ Be Vaccinated Last,2117,"With the Covid-19 vaccine on the horizon, many Americans are wondering where exactly they will fall in terms of the priority of vaccination. Many doubts and uncertainties linger, but the Centers for Disease Control and Prevention have brought some clarity to the issue with their recommendation that people who pronounce it “onvelope” be vaccinated last.   “So much thought has gone into determining who should be first to get the vaccine,” says CDC spokesperson Elena Rabal. “Of course you’ve got your essential workers, your immunocompromised, your super old. But there’s still that nagging question of who should be absolutely dead last, and that’s where we landed on those who insist on calling envelopes ‘onvelopes’.”   “Really if it were up to us, and this is on the record — this is a press conference, so maybe that’s obvious, but I just want to be super clear — we would say people who pronounce it ‘onvelope’ should never get the vaccine,” Rabal adds. “I mean, ‘onvelope’, what is that? Is it Canadian? Are you British? Either way, everyone gets to get it I guess so we say give it to them last.”   While the Center is firm and unequivocal in their stance, some are taking issue with their recommendation.     “This just seems highly arbitrary and astonishingly judgmental,” says a small business owner, Thea Rudolph. “How can you determine someone’s right to potentially life-saving preventative healthcare by the way they pronounce a word?”   She clearly pronounces it ‘onvelope’, but even putting that aside, the CDC claims their reasoning is more complex and thoughtful than this admonishment would suggest.   “We’re not trying to deprive people of the vaccine simply because we think the way they say envelope is weird and annoying and bad,” says Rabal. “That would be absurd. Rather, we’ve made an intuition-based determination that people who say ‘onvelope’ are more likely to have antisocial personalities, so we’re not eager to get them vaccinated and back in the mix in society, for everyone’s sake.”   “It’s not a perfect system,” Rabal adds. “But, you know, this is the United States after all.”","Dec 9, 2020"
CDC Panel of Experts Will Determine Vaccine Priority Based on Results of Beauty Pageant,2539,"In response to optimistic safety data from phase 3 vaccine clinical trials, the CDC is allocating the initial limited batches of vaccines to Americans to whom they deem to be queens of the big beauty pageant happening later this month.   Priority for the Covid-19 vaccine will be based on the results of the infamous personality, intelligence, talent, and swimsuit competition.   Many are debating which target demographics are the most susceptible and should receive the resource-limited vaccine first. However, the CDC has assured the public that they can trust an advisory panel of independent public health experts and pageant host Steve Harvey.   Pfizer and Moderna, the two leading pharmaceutical companies in late-stage clinical trials, have estimated they will have enough vaccines to more than 22.5 million Americans who demonstrate poise, grace, the ability to answer questions, and the figure to look amazing in bikinis.     “We want to make sure that, right away, the vaccine goes to empowered Americans who feel confident and know their self-worth,” shared CDC Director Robert R. Redfield. “There are 21 million healthcare workers and 3 million people living in long-term care facilities where 39% of covid-related deaths have occurred, so truly, may the best girls win.”   Regardless, the CDC can only provide recommendations, as priority groups are state-level decisions. Each state has the right to determine rules of local competitions, including age range, pageant questions, and whether the contestant attire judged will be gowns, bathing suits, or sportswear.   These competitions are typically multi-tiered, as regional competitions feeding into national pageants for the required second dose.   “The problem with women is they get so damn catty!” shared host Steve Harvey about the vaccine scarcity.   Many believe the vaccine should be given to a mix of essential workers, with a focus on Black and Hispanic people, who both represent a majority of this group and, as a whole, have been hurt disproportionately by the pandemic. They are even further disadvantaged by the pressure and out-of-pocket costs to conform to conventionally white beauty standards and being objectified by the very people who let them down throughout this whole pandemic.   When reached for comment, Dr. Redfield encouraged everyone to prepare accordingly and envision themselves on stage, imagining how empowered they would feel to be a Beauty Queen, wear a tiara, and win adaptive immunity to a devastating virus they so rightfully earned.","Dec 2, 2020"
"Pandemic ‘Stigmatizing’, Reports the Pale and Fucked-Up Looking   ",2052,"While the Coronavirus has raised public awareness of systemic inequality in access to healthcare, one disproportionately affected group has gone largely ignored. For the pale and fucked-up looking, fear of COVID-19 has been deeply stigmatizing, sources report.   “Ashen skin, under-eye bags, and general sweatiness is my reality 365 days a year,” says Elle Mitchell. “Now, I’m looked at with fear and disgust. Mothers pull their children away from me on the street. It isn’t right.”   “I’m not sick,” Mitchells adds. “These are just my genes. And maybe also my lifestyle, but not in a way that’s contagious.”   Other generally sickly individuals echo her sentiment.   “The increasingly large scope of maladies that fall under the ‘COVID symptoms’ umbrella has had a really negative impact on me,” says Rhea Murray. “Headache, fatigue, sore muscles? Practically anything that’s wrong with you could be COVID, and there’s always something wrong with me.”   “You know that co-worker who basically has a cold from October to May?” adds Murray. “I am that co-worker. I’m pale, I’m tired, I’m always sniffling, and I’m not going anywhere.”   For all its difficulty, this period of increased adversity has brought members of the community together and led many to find their voice in the empowering protection of company.     “This pandemic is a terrible thing for a number of reasons, at least three or four that I could think of off the top of my head,” says Ronnette Lee. “And we need to do everything we can to stop it, but before we do that, we do need to address its toll on the fucked-up looking population, and we’re ready to demand that.”   “In the past, people would ask me if I was okay at random times, or suggest that I get more sun,” Lee says. “Now they just avoid me altogether. Actually, that part’s sort of better, but in general it’s still not fair.”   Their message to the public is clear: don’t let fear override your ability to see humanity.   “I’m a person with feelings, and I don’t have COVID,” says Mitchell. “I’m just kind of gross.”","Oct 15, 2020"
