Title,Len,Content
Republicans Claim Victory in Passing Healthcare Reform,2950,"WASHINGTON — In an apparent about-face, members of the Republican party are not only embracing the recently passed healthcare reform legislation as their own, but insisting its success stems from two minor provisions GOP leaders insisted be stricken from the bill on a technicality. The minor provisions, dealing with Pell grants for low-income college students, were deemed to be improperly included in the so-called “fix-it” bill after being brought to the attention of the parliamentarian by Senate Republicans, and were subsequently deleted. Although the bill passed both houses of Congress without a single Republican vote, Senate Minority Leader Mitch McConnell claimed victory at a fundraiser last night. “With the deletion of these two wayward provisions,” he declared, “we at last have affordable health care for all Americans.” House Minority Leader John Boehner expressed his dismay at the way Democrats are “trying to take credit” for the job the Senate Republicans did in finding the errant provisions. “Will we let the Democrats claim victory, when it was the Republicans who reshaped the legislation with the discovery of this technicality?” asked Boehner. “Hell No!” In a CNN interview, RNC Chairman Michael Steele told Larry King that the deletion of the two provisions is “the result of Republican ideas and conservative values.” He predicted Democrats will have a “tough time” in the upcoming midterms elections “once the remaining, properly included provisions of this historic Republican health care package kick in and sick people are getting healthy.” In a letter on his website McConnell explained to constituents who are suffering with life threatening conditions, that their health insurance companies can no longer drop them due to the “historic Republican deletions of two minor provisions, which led to the passage of major health care reform in this country.” McConnell said that were it not for the Republicans, the Democrats would have let the legislation pass with the two minor provisions still intact. President Obama, he noted, had no problem in keeping the provisions in the bill, even though they did not pass parliamentary muster. “The Obama administration is a failed presidency,” added Boehner. “I believe that’s the last black president we’ll see for several centuries.” Confused Tea Party members have gathered in Washington D.C. to figure out what position to take. “We’re basically against the legislation — I think,” said one member, “but, I suppose we’ll be giving this whole issue another look.” Violence against elected officials has died down, as the nation’s vandals wrestle with determining which party deserves bricks hurled through the windows of its field offices. “With health care reform under our belt,” McConnell told reporters, “the GOP looks forward to devising more innovative ways to take credit for not passing legislation to meet the challenges facing future generations of Americans.”"
Man Wearing Tea Kettle on Head Opposes Healthcare Reform,2150,"WASHINGTON – A man wearing a teakettle on his head stated his opposition to President Obama’s healthcare reform legislation Saturday during a “Tea Party” protest held at the nation’s capitol. Theodore “Moe” Hammond of Thousand Oaks, California said he dreamed up the idea on his own –- without input from his friends or neighbors — of fastening a tea kettle to his head. “I figured if enough Americans could see a tea kettle on my head,” explained Hammond, “it would force the liberals to drop their plan for government run healthcare.” Although some have been quick to write-off Hammond as an idiot wearing a tea-kettle on his head, prominent scholars on both sides of the political spectrum are taking note. Former Alaska Governor Sarah Palin called the tea kettle-head man a “true American,” and Rush Limbaugh encouraged listeners of his conservative talk radio show to call themselves “Kettleheads.” Newt Gingrich, former Speaker of the House of Representatives, advised Congress that it should “pay attention to the man brewing tea on his head.”   Professor Robert Kolander of Tulane University, an advisor to the Obama administration, agreed. “The man with the tea kettle on his head has a remarkably astute understanding of the issues,” said the Nobel Prize-winning economist. “All the economic models and mathematical projections to date pale in comparison to his declaration that ‘Ain’t no government of mine gonna mess with my sicknesses.’” Another man with a frying pan handle stuck up his rectum hoped to reinforce the message.  “We don’t want none of that Obama-care,” said the handle-man, flapping the pan against his upper thighs for emphasis. “It’s a communist program to brainwash us into helping the sick and poor.” The Obama administration was thrown for a loop by the protestors. “We were hoping to pass healthcare legislation before anyone had a chance to attach kitchenware to their bodies,” said Chief of Staff Rahm Emanuel. “The frying pan dangling from that guy’s ass would have been bad enough, but knowing that tea kettle on top of that other guy’s head will be seen by millions of Americans – that’s a total game changer.”"
GOP Alternative to Obamacare: Insurance by Skin Color,997,"WASHINGTON (TheSkunk.org) – Conservative think tank The Heritage Foundation proposed on Monday a system of healthcare that would base insurance rates on the color of a person’s skin.  Heritage CEO Jim DeMint described the program as “the perfect antidote to Obamacare. “ “Very simply, the nearer your skin color is to God’s preferred Lilly White,” said DeMint, “the less you will pay for health insurance.” Users who log onto the website will be directed to a color chart, where they can tick off the color that most closely resembles their own skin and the skins of their family members. “This is not s racist program,” declared DeMint, “because everyone uses exactly the same skin color chart, regardless of the color of their skin.” DeMint said his organization is designing a mobile app that will allow consumers to get an immediate insurance quote by scanning their skin with their smart phones. Speaker John Boehner is expected to introduce the legislation to the full House early next week."
Romney Begins Construction on His Presidential Library One Week Before Election,1626,"BOSTON (TheSkunk.org) — Mitt Romney today broke ground on what he said will be the country’s largest presidential library. “This gleaming institute of knowledge and history will house all the records of my two terms as President of the United States,” explained the former Governor of Massachusetts, “like how I saved the U.S. auto industry, passed universal healthcare reform and added enough schooners to the navy to surpass our fleet in World War I.” According to Romney, all major components of the 195-story edifice will be fabricated by companies with roots in the United States. “The air conditioner, for example, will be manufactured by a firm in Beijing that used to be in Toledo.” Romney said the library will offer a comprehensive look at his presidency, including an entire wing dedicated to “my landslide victory in the 2012 election.” A statement from the Obama campaign called the announcement “a publicity stunt carried out by a desperate candidate.” Romney refuted the accusation. “President Obama has been in office four years and hasn’t even started his presidential library,” he stated.  “That’s not the kind of leadership the American people need.” Plans for expansion are already on the table. “By the time I leave office, there will be over six-hundred Mitt Romney Presidential Libraries across the United States and in select countries around the world,” he said. “And that will create another 12 million new jobs.” When asked about the wisdom of building a presidential library before the election has taken place, Romney shrugged. “If doesn’t work out,” he added, “I could always sell it to Hillary.”"
Romney Campaign Hiring Liars,2050,"BOSTON (TheSkunk.org) — Mitt Romney is looking for a few good liars. According to its website, the Romney for President campaign is hiring staffers to create outlandish stories and preposterous allegations about President Obama, and then disseminate them through word-of-mouth and the blogosphere. “We’re accepting applications from recent college graduates and those ready to graduate in the Spring,” said Thomas McCreary, human relations director for the campaign. “Although we prefer a background in journalism, anyone who can fabricate a good, solid untruth will be considered.” McCreary said the campaign is looking for creative, out-of-the-box thinkers. “If an aspiring liar comes in and tells me Obama is a Muslim, I show him out the door, immediately,” he said. “ We want fresh, new and exciting falsehoods. Tell me Obama is a transsexual Muslim, who wants to paint the White House pink and spread sharia law, and now you’ve got my attention.” The positions, as listed on Romney’s website, have titles such as Business Analyst, Content Coordinator, Copywriter, Designer, Interactive Designer, and Political Content Coordinator, “but essentially,” according to McCreary, “their only job description is to mislead the public by figuring out new and interesting ways to blame the President for 9/11 or to claim that citizens under the new healthcare law will be secretly implanted with genital warts.” As an example, McCreary referenced his most recent hire, a senior from Liberty University who continually tweeted and re-tweeted “Obama eats his own feces,” until Fox News picked up on the story. “That young man represents the future of America,” noted McCreary. “He has the courage to spread misinformation, and the determination to make it stick.” “Everyone working for the campaign must undergo a lie-detector test,” he added, “and if they pass – if they keep telling the truth about everything — we say ‘no thank you,’ and kick them out the door.” McCreary encourages job-seeking liars to apply for the Romney campaign positions online .  "
Bachmann Blames Apple CEO's Death on Obama's 'Jobs Killing' Policies,802,"WASHINGTON — GOP presidential candidate Michele Bachmann told reporters today she believes the death of Apple founder and CEO Steve Jobs is the sad consequence of President Obama’s “Jobs Killing” policies. Bachmann accused Obama of lacking the leadership necessary to “keep Jobs thriving in this economy.” “When you look at the administration’s ‘Jobs-Killing Healthcare Legislation,’ ‘Jobs-Killing Taxation Schemes,’ and ‘Jobs-Killing Trade Strategies,'” said the Minnesota congresswoman, “it becomes clear that Mr. Jobs was directly targeted by this president.” Bachmann praised the late Silicon Valley leader as epitomizing the very meaning of the word “Jobs.” “I’ve been saying for three years that we will lose Jobs during the Obama administration,” she added, “and, sadly, I’ve been proven right.”"
Boehner Blames Japan Quake on Obama Tax Policy,2485,"WASHINGTON (TheSkunk.org) – Calling it another example of why he believes it is bad for the economy to raise taxes during a recession, Speaker John Boehner laid blame for the recent 8.9 earthquake off the coast of Japan at the failed policies of the Obama administration. Boehner said the “Obamaquake” — and the subsequent “Tsobamanami” that inundated the island nation – only make it tougher for U.S. businesses to hire American workers and will ulimately do nothing to reduce the unemployment rate. “Japan is one of our closest allies,” lamented Boehner, tears welling up in his eyes, “and allowing an earthquake of this magnitude to wreak havoc on those wonderful, dear people will not produce a single job in our own country. It’s a misguided energy policy; we should be drilling our way out of this.” The Speaker contended that under George Bush, natural disasters were limited to evil countries only, reminding reporters that under the leadership of a Republican president, there were no tsunamis in France or England or Canada. “If this devastating earth movement doesn’t illustrate why it’s important to lower taxes on the super-rich, I don’t know what does,” he noted. “The Republicans have a plan for this.  We want to lower corporate tax rates, eliminate unions, prevent women from having an abortion, throw away healthcare for millions of uninsured Americans, bring back prayer in public schools, convert the Jews and make it impossible to sue financial institutions, even in cases of rape or incest.” Boehner warned that America can no longer afford Obama’s dangerous government takeover of the government that led to the seismic catastrophe in Japan. “It’s about personal responsibility, smaller government and fewer shifts in the earth’s techtonic plates.” “When the American people compare our plan to the destruction caused by Obamaquake, I’m sure they will regret electing a black man with a dubious past as their president — even if they believe he wasn’t born in Kenya and isn’t a Muslim, as he contends — and agree to do away with the minimum wage and public education.  Americans are getting tired of the same old rhetoric coming from the White House, and I’m sure they will enthusaistically support a new president who will put the interests of huge coporations above their own — someone who doesn’t create earthquakes, but knows how to profit from them.” Boehner believes a majority of the public is on his side. “This president just doesn’t’ get it,” he added."
"Bachmann, Tea Party to Assist Egyptian Protesters",1741,"WASHINGTON (TheSkunk.org) — Representative Michelle Bachmann (R-MN) is leading a contingent of Tea Party activists on a trip to Cairo to offer their expertise to the hundreds of thousands of Egyptian citizens who have been rallying against their government for over a week. Once on the ground, the Tea Partiers are planning to help the protesters paint signs, devise catchy chants, and determine which of their despotic Egyptian leaders are Nazis and which are Communists. “In our wildest imaginations, we never dreamed the Tea Party movement would spread worldwide,” said Bachmann, who recently gave voice to the extreme conservative organization in her response to President Obama’s State of the Union address. “The Egyptian people do not want their government offering affordable healthcare for the sick or providing financial assistance for their unemployed fellow citizens any more than their American counterparts,” stated Bachmann. “Their dreams of living with smaller government, as well as the elimination of entitlement programs and Jews, are the same as ours.” The Minnesota congresswoman noted other similarities between the United States and the 5000-year-old Middle-east republic. “Both of our countries flourished under slavery.” Bachmann appeared Tuesday on Al Jezeera television, where she asserted that Hosni Mubarak is not really Egyptian and was actually born in Tel-Avi. “We encourage our Egyptian brothers and sisters to demand President Mubarak show his birth certificate,” she said, “and to start home-schooling their children.” Bachmann and the Tea Partiers will touch down at Cairo International Airport on Sunday. “We chose Sunday,” she explained, “so we can attend a church service with our new Egyptian friends.”"
Senator Wants Nation’s Jobless to be His Servants,1770,"WASHINGTON — After blocking passage of a jobless benefits bill, Senator Jim Bunning (R-KY) announced today he will compensate the nation’s unemployed by offering them non-paid positions as his personal servants. “They should consider it an internship,” said Bunning. “They will learn the inner workings of my life — where I keep the toilet paper, for instance, or how I clip my toenails — while gaining valuable, real-world job experience.” Bunning said that listing his name on a resume will impress prospective employers. “When a company learns that a jobseeker has worked for me as a man-servant or clerical-maid, they will enthusiastically hire that individual.” Bunning told reporters the tasks required of his servants will include washing his car, shredding incriminating documents and performing oral sex on him from the other side of a quarter-inch sheet of plywood, through which a half-inch hole has been drilled. In exchange, Bunning said all his servants will receive one meal a day and “a piece of land where they can go to sleep.” Because the servants will not be receiving paychecks, Bunning said he is under no obligation to offer employer-provided healthcare. “Once their services are no longer needed, we take them out back, shoot them in the head, and put them in the compost pile.” He called it a “win-win-win” situation that demonstrates his commitment to the environment. Bunning criticized the Obama administration for throwing billions of dollars into a futile stimulus package instead of going with the “Bunning Plan,” which he contends will actually produce results. “The President’s Recovery Act hasn’t created a single job,” he noted. “Yet I have single-handedly given every unemployed person in this country an opportunity to suck my dick.”"
Kanye West hired by Republicans to heckle President,1505,"WASHINGTON — The Republican National Committee has hired Kanye West to interrupt President Obama’s speeches on healthcare, according to RNC Chairman Michael Steele.  “We thought we scored a touchdown for our ‘distract and deter’ policy with [Congressman Joe] Wilson,” said Steele, “but after watching Kanye’s embarrassing outburst at the Video Music Awards, we knew he was our man.” Steele praised the hip-hop star for his “total lack of inhibitions,” calling him a role model for the conservative movement. “We need more people like Kanye, who are eager to inject foolishness and impropriety into the healthcare debate.” West is scheduled to attend all of Obama’s upcoming speeches related to heathcare reform, and has been instructed to snatch the microphone away from the President at the “inappropriate time of his choosing,” using it to mumble accolades about the Republicans’ “alternative plan.” “Although we don’t really have an ‘alternative plan,’” admitted Steele, “we told Kanye to just make one up.” West seems pleased with his new gig. “Although I voted for Obama, myself,” he said, “I’m honored to have been chosen to f**k up his speeches and s**t like that.” West looks forward to making a complete ass of himself when Obama speaks before the Nurses Association later in the week, telling reporters that while nurses perform an “important service for our country,” his friend Beyoncé would have “done a better job than any of them” had she chosen to become a nurse instead of an entertainer."
