Title,Len,Content
JAPANESE PM DRINKS WATER FROM FUKUSHIMA NUCLEAR PLANT TO REASSURE WORLD THAT RADIATION IS ‘SAFE AND TASTY’,1077,"The Japanese Prime Minister has been on the defensive since it was revealed that Japan will release over one million tonnes of treated radioactive water from the tsunami-ravaged Fukushima nuclear plant into the sea. Environmentalist organizations worldwide, as well as concerned citizens of Japan and neighboring countries, have criticized the move yet PM Yoshihide Suga has remained inflexible on the question. The World Health Organization has warned that the melted uranium fuel rods release tritium, a radioactive isotope of hydrogen that can raise cancer risks, and allege accumulated doses over time could damage DNA. “I have been drinking this water for days now and I feel great. Who are you going to believe? A bunch of bureaucrats at the World Health Organization or your Prime Minister?” Yoshihide Suga added while denying the allegations. One Japanese water bottling company in a bid to seize the hype generated by the radioactive water has said that it has landed an exclusive deal with the Fukushima plant and will offer bottled radioactive water as soon as July."
"PORN STAR CLAIMS ‘DAILY FACIAL CUM SHOTS’ CAN REDUCE SPREAD OF COVID-19, OFFERS BETTER PROTECTION THAN MASKS",958,"Yelena Vokstroykya, an actress in the adult entertainment industry that has an impressive 1,3 million followers on various social media outlets, claims daily facial cum shots are the reason she has not contracted the deadly virus. Vokstroykya based her testimony on an obscure Russian 2016 study which showed that most viruses cannot survive on dried semen. Vokstroykya’s claims that daily facial cum shots offer better protection than masks from COVID-19 have raised many eyebrows, but although she admits facing backlash from the scientific community, she sticks to her claim. “Many scientists don’t know anything about science. What I offer is a free cure that can save millions of lives. If scientists don’t believe in the truth, that is not my problem,” she added. Vokstroykya is also allegedly working on an upcoming line of semen-based skin products with the help of her boyfriend that she says should be available for purchase in the upcoming months."
WORLD HEALTH ORGANIZATION SAYS COVID-19 UNLIKELY TO HAVE LEAKED FROM CHINESE PENIS ENLARGEMENT FACILITY,934,"The Wuhan-based penis enlargement facility, the biggest in the country, made headlines in December of 2019 when several test subjects were declared COVID-19 positive. Yinjing Power International, a Chinese-based company specializing in penis enlargement solutions, has denied being the source of the coronavirus epidemic after openly admitting to the use of bat semen as an ingredient in their products. Health officials nationwide were alarmed last year after reports of YPI test subjects allegedly being injected intravenously with bat semen had developed symptoms similar to the coronavirus. “My toes, fingers, and penis become all blue. Hair grow on my back and eyelids. I hear voices of dead people,” one anonymous test subject recounted in horror, detailing several side effects. World Health Organization experts believe the coronavirus has spread from animal to human contact but have yet to discover the origins of the virus."
NEW ZEALAND FARMER JAILED AFTER SEXUALLY TRANSMITTING CORONAVIRUS TO FLOCK OF 400 SHEEP,1151,"Jeremiah Wilson, 37, alerted health authorities last week after being hospitalized for symptoms of the coronavirus and admitting to hospital staff to having sexual relations with his flock of 400 sheep but not his wife who has since tested negative to the coronavirus. Coronavirus has been known to spread to several species of animals but health officials have confirmed that sheep cannot contract the virus by other means than sexual transmission. When questioned by journalists if it was safe for farmers to resume such sexual activities with the animals after the pandemic, Health Ministry spokesman Jarod Wellshire was reassuring. “These practices have been ongoing for centuries and have never represented a health threat for the population until today,” Health Ministry spokesman Jarod Wellshire added. Last year, hundreds of thousands of sheep all over New Zealand were euthanized after being transmitted the virus through “unknown means” according to the Ministry of Health. Bestiality is illegal in New Zealand but is openly tolerated by police authorities in rural regions where such activities are culturally accepted according to experts."
500-POUND MAN SPREAD CORONAVIRUS TO 372 PASSENGERS AFTER WET FARTING IN AIRPLANE ON FLIGHT TO CANCUN,950,"Henry Collins, 42, was on a flight towards Cancun when he was unexpectedly hit by what he describes as “extreme diarrhea” which was later identified as COVID-19. Collins who already suffers from chronic flatulence due to his morbid obesity claims he had no control over his diarrhea which spread accidentally onto several passengers. Collins was rapidly helped by three flight attendants who had to wipe his body clean because he was unable to do so by himself before being secluded to the bathroom for several hours after the incident. “I’ve been to war-torn Iraq and Afghanistan. I’ve seen people blown up and shred to pieces. But I was not prepared for this,” one army veteran admitted to reporters, still visibly traumatized. After several passengers were diagnosed with post-traumatic stress disorder, American Airlines said it would offer psychological help free of charge to all of its passengers and flight attendants who attended the flight."
UTAH FAMILY CLAIMS 15-YEAR-OLD SON TURNED GAY AFTER 5G CELL PHONE TOWER WAS INSTALLED NEAR HOME,1064,"Thomas McGuire, 45, and his wife Caroll McGuire, 41, noticed that their son was “behaving abnormally” only weeks after a 5G cell tower was installed next to their home. The McGuire family say their son started listening to “queer music” such as David Bowie, Prince, and the Back Street Boys in the weeks following the apparition of the 5G tower as well as using make-up and dressing in an “effeminate way.” Conspiracy theorists believe 5G towers can have disruptive effects on human health but could also be used by companies and governments for mind control and mind reading. “I have never been a conspiracy nut, except maybe for that fake moon landing hoax and, of course, 911 being an inside job, but my son’s homosexual symptoms have been well documented by 5G experts all over the world,” the teenager’s father added. Although experts believe that the fears around 5G causing homosexual tendencies are grossly overblown, one 2019 French study did show that 5G radio frequencies did increase the online consumption of male pornography in several test subjects."
11-YEAR-OLD GIRL HOSPITALIZED AFTER KISSING HUNDREDS OF FROGS IN SEARCH OF PRINCE CHARMING,961,"Apparently, the young girl took the story of the frog prince too literally, believing she would eventually find her prince charming by kissing hundreds of frogs. In doing so, medical staff at Baptist Medical Center South explained that the young girl exposed herself to chemicals that reside in frogs and toads skins’, called bufotoxins, which led her to develop an extreme skin rash over several months. The girl’s symptoms have not only spread to her face but also to her tongue, throat, and trachea, heavily impacting breathing conditions according to medical staff. “The young woman described how she would ‘french kiss’ the animals by inserting her tongue fully inside the frog’s mouth, which could explain the inflammation in the trachea area,” Dr. Patterson added. In 2018, the Mexican government banned the traditional Aztec practice of licking frogs as a libido enhancer after a nationwide poll revealed that one in two Mexicans practiced frog-licking."
MORGUE EMPLOYEE CONTRACTED CORONAVIRUS AFTER SEX WITH INFECTED CORPSES,1060,"Damien Cole, 29, was forced to admit to Western Massachusetts Hospital staff that he indulged in sexual intercourse with several male and female corpses at his workplace after he complained suffering from a severe fever. Cole also admitted to partaking in oral and anal sex as well as unprotected genital sexual interactions with the deceased. Damien Cole’s girlfriend was also admitted to Western Massachusetts Hospital shortly after she tested positive to the coronavirus. “I was aware of his sexual activities at work but he kept arguing that sleeping with dead people isn’t technically like cheating” Cole’s girlfriend, Elisa Wood, 16, admitted to reporters when reached by phone. Damien Cole could face several criminal charges for negligence as he knowingly had sexual interactions with cadavers infected with the coronavirus and transmitted the disease to others. Cole should not face any charges for necrophilia according to legal experts as partaking in sexual intercourse with a dead body is a common and legal practice in the state of Massachusetts."
COVID-19 OUTBREAK AT LAS VEGAS STRIP CLUB AFTER STRIPPER SQUIRTED VAGINAL FLUIDS ONTO EIGHTEEN CLIENTS,988,"Helen “Bunny” Lagrande, 26, and eighteen clients of the Red Baron, a local Las Vegas strip club, have been hospitalized after a Friday night performance. Lagrande performs her squirting show 3 times a week but it appears that she lost control that night and accidentally sprayed several clients. One eyewitness also reported that the vaginal fluids spread onto several clients’ faces, eyes, and mouths, possibly facilitating the infection. “I was sitting in the front row and got the full blast of the squirt. Doctors said it went down my throat and directly into my lungs” one hospitalized client told reporters. The Red Baron administrators say they have now defined new sanitary protocols to prevent and direct vaginal fluids such as the use of a large straw and/or garden hose. Last week a similar event occurred in the area after six clients were infected with the coronavirus when a strip club dancer with diarrhea symptoms accidentally defecated onto several clients during a show."
OHIO MAN HAS MIRACULOUS RECOVERY AFTER CONTRACTING COVID-19 DURING SEX WITH INFECTED DOG,997,"James O’Keefe, 53, was volunteering at a local animal shelter when he contracted the coronavirus during an alleged sexual interaction with one of the animals. O’Keefe claims he was unaware at the time that domestic pets such as cats and dogs could transmit the virus and hopes to warn others not to walk in his footsteps. O’Keefe claims that he has been depressed for several years since his girlfriend left him in 2012 and that this led him to unleash his sexual fantasies on animals at the shelter. “If I can save only one life by sharing my story and help people restrain from having sex with their domestic pets at least until the pandemic is over, it will all have been worth it” O’Keefe added. Bestiality is not a crime in the state of Ohio and James O’Keefe does not face any criminal charges at the moment. All 230 animals at the animal shelter where James O’Keefe was a volunteer, and allegedly contracted the virus, have been euthanized for public safety have assured public authorities."
