Title,Source
COVID-19's Third Surge Is Breaking Health-Care Workers - The Atlantic,https://www.theatlantic.com/health/archive/2020/11/third-surge-breaking-healthcare-workers/617091/
You're Getting Too Much Healthcare - The Atlantic,https://www.theatlantic.com/health/archive/2013/12/youre-getting-too-much-healthcare/281896/
U.S. Healthcare: Most Expensive and Worst Performing - The Atlantic,https://www.theatlantic.com/health/archive/2014/06/us-healthcare-most-expensive-and-worst-performing/372828/
Here's a Map of the Countries That Provide Universal Health Care (America's Still Not on It) - The Atlantic,https://www.theatlantic.com/international/archive/2012/06/heres-a-map-of-the-countries-that-provide-universal-health-care-americas-still-not-on-it/259153/
Why Do Other Rich Nations Spend So Much Less on Healthcare? - The Atlantic,https://www.theatlantic.com/business/archive/2014/07/why-do-other-rich-nations-spend-so-much-less-on-healthcare/374576/
What If America Had Canada's Healthcare System? - The Atlantic,https://www.theatlantic.com/health/archive/2014/10/what-if-america-had-canadas-healthcare-system/381662/
What the U.S. Can Learn From Brazil's Healthcare Mess - The Atlantic,https://www.theatlantic.com/health/archive/2014/05/the-struggle-for-universal-healthcare/361854/
How American Health Care Killed My Father - The Atlantic,https://www.theatlantic.com/magazine/archive/2009/09/how-american-health-care-killed-my-father/307617/
Why I Had to Close My Preventive Healthcare Clinic - The Atlantic,https://www.theatlantic.com/health/archive/2014/01/why-i-had-to-close-my-preventive-healthcare-clinic/282929/
How Women's ‘Health-Care Gaslighting’ Went Mainstream - The Atlantic,https://www.theatlantic.com/family/archive/2018/08/womens-health-care-gaslighting/567149/
The States With the Worst Healthcare Systems - The Atlantic,https://www.theatlantic.com/health/archive/2014/05/the-states-with-the-worst-performing-healthcare-systems/361514/
Doctors’ #1 Source for Healthcare Information: Wikipedia - The Atlantic,https://www.theatlantic.com/health/archive/2014/03/doctors-1-source-for-healthcare-information-wikipedia/284206/
The Quiet Health-Care Revolution - The Atlantic,https://www.theatlantic.com/magazine/archive/2011/11/the-quiet-health-care-revolution/308667/
Universal Rural Health Care in China? Not So Fast - The Atlantic,https://www.theatlantic.com/china/archive/2013/09/universal-rural-health-care-in-china-not-so-fast/279429/
Liberals Are Wrong: Free Market Health Care Is Possible  - The Atlantic,https://www.theatlantic.com/business/archive/2012/03/liberals-are-wrong-free-market-health-care-is-possible/254648/
"Healthcare.gov: Code Developed by the People and for the People, Released Back to the People - The Atlantic",https://www.theatlantic.com/technology/archive/2013/06/healthcaregov-code-developed-by-the-people-and-for-the-people-released-back-to-the-people/277295/
"Healthcare, Meet Capitalism - The Atlantic",https://www.theatlantic.com/health/archive/2014/07/a-case-against-donating-to-hospitals/373637/
Health Care: The Biggest Issue of the 2018 Midterm Elections - The Atlantic,https://www.theatlantic.com/ideas/archive/2018/11/healthcare-midterm-elections-trump/574780/
The Secret Startup That Saved the Worst Website in America - The Atlantic,https://www.theatlantic.com/technology/archive/2015/07/the-secret-startup-saved-healthcare-gov-the-worst-website-in-america/397784/
What American Healthcare Can Learn From Germany - The Atlantic,https://www.theatlantic.com/health/archive/2014/04/what-american-healthcare-can-learn-from-germany/360133/
Why the U.S. Health-Care System Is So Bad - The Atlantic,https://www.theatlantic.com/health/archive/2018/06/the-3-reasons-the-us-healthcare-system-is-the-worst/563519/
Cities Are Eliminating the Healthcare Benefits Once Promised to Retirees - The Atlantic,https://www.theatlantic.com/business/archive/2014/10/cities-are-eliminating-the-healthcare-benefits-once-promised-to-retirees/381375/
Universal Health Care: Is It Constitutional? - The Atlantic,https://www.theatlantic.com/national/archive/2010/10/universal-health-care-is-it-constitutional/64679/
The Drug That Could Break American Health Care - The Atlantic,https://www.theatlantic.com/ideas/archive/2021/06/aduhelm-drug-alzheimers-cost-medicare/619169/
Newly Insured Americans Don’t Understand Basic Healthcare Terms - The Atlantic,https://www.theatlantic.com/health/archive/2014/01/newly-insured-americans-don-t-understand-basic-healthcare-terms/282914/
The 5 Percent: The Super-Users and Health-Care Spending - The Atlantic,https://www.theatlantic.com/health/archive/2017/06/fixing-the-5-percent/532077/
Extreme Health Care - The Atlantic,https://www.theatlantic.com/business/archive/2009/07/extreme-health-care/21001/
Evaluating Healthcare in America - The Atlantic,https://www.theatlantic.com/health/archive/2011/11/evaluating-healthcare-in-america/248769/
Struck by Turtle: Anticipating a New Healthcare-Billing System - The Atlantic,https://www.theatlantic.com/health/archive/2013/09/struck-by-turtle-anticipating-a-new-healthcare-billing-system/280083/
"Three Ways to Improve U.S. Healthcare, as Demonstrated in India - The Atlantic",https://www.theatlantic.com/health/archive/2013/12/three-ways-to-improve-us-healthcare-as-demonstrated-in-india/282032/
Can the Innovator Class Save Healthcare?,https://www.theatlantic.com/health/archive/2012/04/can-the-innovator-class-save-healthcare/255918/
Health Care Just Became the U.S.'s Largest Employer - The Atlantic,https://www.theatlantic.com/business/archive/2018/01/health-care-america-jobs/550079/
Health Care in the Time of Grey's Anatomy - The Atlantic,https://www.theatlantic.com/health/archive/2014/08/healthcare-in-the-time-of-greys-anatomy/379087/
Massive Open Online Healthcare - The Atlantic,https://www.theatlantic.com/health/archive/2013/07/massive-open-online-healthcare/277683/
The State-Level Future of Healthcare Reform - The Atlantic,https://www.theatlantic.com/politics/archive/2015/04/the-state-level-future-of-healthcare-reform/389769/
