Title,Len,Content
"Walgreens’ COVID-19 testing website left data unprotected, according to report",3074,"The personal information of potentially millions of Walgreens customers could be vulnerable, say security experts. According to reporting from Recode, the nation’s largest pharmacy failed to protect the personal data of customers who got a COVID-19 test at one of its locations nationwide—and that could make information including names, dates of birth, gender identities, phone numbers, addresses, and emails available to everyone from hackers to ad trackers. A spokesperson for Walgreens disputed the report, providing the following statement: “Protecting personal information of our customers and patients is always one of our highest priorities, which we take very seriously.  We have implemented a strong security program to protect our patient data. This article is not an accurate assessment of our security protections in place on our Covid-19 testing website."" The issues center around Walgreens’ COVID test registration system, which customers must use if they wish to be tested. Once patient information is entered, the system generates a 32-digit ID number associated with the patient. That ID number is included in the appointment request page—and anyone with the URL can access the page. Those pages remain active for at least six months, Recode reports. While the appointment pages themselves don’t list all of the personal information patients enter, that information is accessible via a browser’s developer tools panel. Also accessible is the name of the lab that performed the test, which could help others discover the results of your test. The pages are also loaded with ad tracking software, which could allow companies ranging from Akamai to Facebook to Google access to the information. A determined hacker could write a bot that could guess many of those ID numbers, scraping the information and using it to potentially hack other accounts or steal the patient’s identity. Experts note that randomly guessing a number, though, would be extremely challenging.

""Statistically, the probability of being able to access a patient record by randomly guessing equates to one in multiple trillions, since the system randomly generates a unique, 32-digit hexadecimal URL link,"" said a Walgreens spokesperson in a statement. ""We have multiple layers of security to mitigate the risk of unauthorized access to Covid testing data. We are not aware of any credible evidence of unauthorized access to patient data. We work with industry-leading cybersecurity experts to ensure that appropriate security is in place which regularly evolves to respond to changing threats. During the Covid-19 pandemic, our stores and pharmacies have provided safe, reliable testing to our communities across America.“ Walgreens has been a hub for COVID testing and vaccine dispersal. Barclays predicts the chain will administer about 12.5% of all U.S. vaccines. And that has presented the company with an opportunity to win over customers to its retail business, as well as future ventures.

Update, September 14, 2021: This article has been updated with a comment from Walgreens. "
Corporate directors face rapidly rising expectations,568,"This is the web version of CEO Daily, a daily newsletter of must-read insights from Fortune CEO Alan Murray. Sign up to get it delivered free to your inbox. Good morning. Most corporate directors I speak with these days say they face rapidly rising expectations. Overseeing succession, strategy and financial performance were the board’s traditional triad. But now, directors must master a host of new technology challenges as well as issues of corporate culture, talent, diversity and inclusion, climate and public trust. For them, stakeholder capitalism is tangible."
School vaccination drives face backlash from some parents and local officials,6366,"Fearing his parents wouldn’t approve of his decision to get a COVID-19 vaccine but needing their signature, Andrew signed up for the appointment in secret, and then sprang it on them at the last minute. They said no. Andrew cursed at his mother and father and called them idiots. Andrew’s dad grabbed him by the shirt collar. “He said, ‘You’re not getting this damn vaccine; you need to lower your voice. Watch your tone when you talk to me.’ It was, it was the first time my dad had ever done something like that—he grabbed my shirt and yelled in my face,” said Andrew, a 17-year-old student in Hoover, Alabama. In most states, minors need the consent of their parents in order to be vaccinated against COVID-19. Navigating family politics in cases of differing views has been a challenge for students and organizers of outreach campaigns, who have faced blowback for directly targeting young people. President Joe Biden has encouraged every school district to promote vaccines, including with on-site clinics, to protect students as they return to school amid a resurgence of the coronavirus. But several governments and school districts have taken more neutral stances in areas where skepticism of the vaccine remains prevalent. In Tennessee, the health department ended vaccination events and outreach aimed at minors following criticism of advertisements that featured children and included slogans like “Give COVID-19 vaccines a shot.” Republican lawmakers accused the health department of “peer pressuring” children to get the vaccine and criticized a top official who sent a memo to vaccine providers explaining that they could legally waive parental consent under Tennessee law. Nationwide, half of people ages 12-17 have been vaccinated. That age group has been eligible for the Pfizer vaccine since May on an emergency use authorization. Trials are underway for younger children. Full approval for the drug was granted by federal safety regulators recently for people 16 and older. Last week, the Los Angeles Unified School District school board voted to mandate vaccines for students 12 and older. In Molalla, Oregon, the mayor pressured a high school to cancel a vaccine drive on campus this semester, citing a $50 gift card incentive he equated with bribery. Many who called for an end to the vaccine drive expressed opposition to the vaccines, although Mayor Scott Keyser said he’s not against them. Misinformation surrounding in-school vaccination efforts has also eroded trust between parents and school districts across the country. School officials in Kettering, Ohio, received death threats in August after TikTok videos baselessly claimed the suburban Dayton district was vaccinating children without parental consent. There was no truth to the claims—they came out before the school year began, and spring vaccine clinics required parents to be present—but they caused “huge hysteria” in the community nonetheless, according to Kettering City Schools superintendent Scott Inskeep. “Our families really are struggling with both information and disinformation,” Inskeep said. “It’s like a match being put to a gasoline fire. When it starts it’s hard to put out.” In a total of eight states, all in the Southeast and Pacific Northwest, providers can waive parental consent requirements—Washington, Oregon, Idaho, Arkansas, Tennessee, North Carolina, South Carolina, and Alabama, according to a May review by the Kaiser Family Foundation. In some areas, there have been efforts to make it easier for kids to get vaccinated. State legislators in New York and New Jersey introduced laws that would allow teens to consent to vaccines without parental consent, but they were never passed. D.C. passed its law and is being sued by an anti-vaccine group. In New Mexico, health officials remade consent forms so that parents could sign them and send them with their kids, instead of having to show up in person. Elsewhere, some officials have tried to give parents more say over vaccinations for teenagers. In May, officials in two Oregon counties barred health officials from giving vaccines to kids without parental consent. Yamhill County Commissioner Lindsay Berschauer and the mother of three teenagers defended the move saying, “Our children are not the property of the State of Oregon.” But the counties backed down after state health officials issued a legal opinion affirming consent rights for children 15 and older. Berschauer continues to advocate against vaccine incentives for teens, calling the programs “peer pressure.” On paper, Alabama’s law is one of the more liberal, allowing minors like Andrew to get the vaccine on their own. In practice, that’s nearly impossible. The Alabama Department of Public Health requires parental consent as a matter of policy, and so do major pharmacies. The day after the argument with his parents, Andrew’s father took him to the pharmacy and signed, without saying a word. Andrew’s father confirmed his son's account but declined to be interviewed. Andrew asked that his last name not be used out of fear of further upsetting his parents. Pediatricians in some cases try to facilitate conversations between children and parents and promote the COVID-19 vaccine. But it doesn't always work, even with parents who have accepted their pediatrician's recommendation on other vaccines, including for HPV and the flu. “They look at me like I’m suggesting that they feed their childhood poison when I’m recommending a COVID vaccine,” said doctor Katrina Skinner, President of the Alabama Chapter of the American Academy of Pediatrics. Andrew's Hoover High School does not promote COVID-19 vaccinations on its website or social media channels, and there’s no indication the school will host a vaccine clinic. School officials did not respond to calls and emails requesting comment. Alabama state health officials have been encouraging the vaccines among young people with a contest on the social media app TikTok that awarded $250 for the best video promoting COVID-19 vaccinations. One of Andrew's schoolmates, Rotimi Kukoyi, 17, was one of four contest winners. He shared the video with his 18,000 followers, built over two years by making jokes. “I showed the CDC explaining how the vaccine is safe, and how it’s effective, and then I linked resources for people to sign up to get the vaccine,” Rotimi said."
"As workers stay at home due to COVID, downtown businesses adjust to a new reality",7261,"Downtown businesses in the U.S. and abroad once took for granted that nearby offices would provide a steady clientele looking for breakfast, lunch, everyday goods and services and last-minute gifts. As the resilient coronavirus keeps offices closed and workers at home, some are adapting while others are trying to hang on. Some businesses are already gone. The survivors have taken steps such as boosting online sales or changing their hours, staffing levels and what they offer customers. Others are relying more on residential traffic. Many business owners had looked forward to a return toward normalcy this month as offices reopened. But now that many companies have postponed plans to bring workers back, due to surging COVID-19 cases, downtown businesses are reckoning with the fact that adjustments made on the fly may become permanent. In downtown Detroit, Mike Frank’s cleaning business was running out of money and, it seemed, out of time. Frank started Clifford Street Cleaners eight years ago. Pre-pandemic, monthly revenue was about $11,000, but by last December, when many downtown offices had to close, revenue had dropped to $1,800, Frank said. Frank had to borrow money from his wife to pay the bills. “It got down to, I was almost ready to go out of business.” Instead of shutting down, Frank adapted. He converted part of his store into a small market with toothpaste, laundry detergent, shampoo, bottled water, soft drinks and other essentials. He also delivered clean laundry and goods from the store. Eventually, some foot traffic returned. With the combination of retail sales and dry cleaning, revenue is back up to about $4,100 per month, he said. That’s enough to keep him afloat, and the figure is improving each month. In Lower Manhattan, 224 businesses closed their doors in 2020 and 2021, according to the Alliance for Downtown New York. About 100 have opened. “There’s no question, it’s hard for business districts like ours, we miss our workers,” said Jessica Lappin, president of the Alliance for Downtown New York. “Nobody misses them more than local businesses.” Lappin predicts office workers will come back, but it might be two or three days a week, on different days or in shifts. “Just in the way we had to adjust so dramatically to being at home all the time, there is an adjustment to coming back,” she said. A block from Wall Street, Blue Park Kitchen used to have lines out the door each weekday as office workers waited to buy one of the grain bowls Kelly Fitzpatrick served as a healthy lunch option. “Things are completely different,” she said. Online orders now account for 65% of the business—although they are less profitable because the online apps take a cut. Higher-margin catering orders remain non-existent and Blue Park has reduced its staff by nine workers. “At our peak in July 2021 (before the Delta variant surge), we had about 65% of peak pre-COVID business,” Fitzpatrick said. Fitzpatrick has seen more offices reopen and hopes more companies return in October, before the slower holiday months of November and December. Nearby, Aankit Malhotra took over Indian restaurant Benares with his brother in 2019. When the pandemic hit, overnight, their core banking clientele vanished. No one came in for the $13 three-course lunch special the restaurant was known for. Previously, lunch accounted for 95% of Benares’ business. Now, Benares has about 10 lunch orders a day, down from 100. But locals, grateful that the restaurant kept its pre-pandemic hours of 10:30 a.m. to 11 p.m. every day, are keeping the brothers afloat. Business is back to around 70% of pre-pandemic levels, helped by delivery and dinner meals. The clientele has changed from workers to younger people and families from nearby Battery Park City. “It’s nice to see not just corporate people downtown. It’s becoming more of a family-oriented place.” Jorge Guzman, assistant professor of business management at Columbia University, said the shift of economic activity away from downtowns is likely to last. There has been a boom in entrepreneurship in non-downtown New York areas like Jamaica, Queens, and the South Bronx. “Downtowns are not going to die, exactly. It’s not like Midtown’s going anywhere. But it’s going to be a little bit more of a mix, more residential and mixed-use concepts.” Across the Atlantic in London, office workers have been slowly trickling back to their desks since the government lifted COVID-19 lockdown restrictions on July 19. The U.K. saw a peak of Delta cases in July, but the numbers fell sharply in about two weeks. Recently, however, cases have been climbing again. The number of commuters is nowhere near pre-pandemic levels, making it tough for small businesses in Central London’s financial district to survive. “It was amazing, it was good, it was busy before the pandemic,” said Rado Asatrian, who has worked as a barber at the Man-oj hair salon in the financial district for six years. Before COVID-19 , he usually had 10 to 15 customers a day, but now it’s down to three or four. “Now, it’s just so empty,” said Asatrian. He said he is considering moving to a busier location, switching careers, or moving abroad. In some downtowns, while the workers are still remote, the tourists are back and providing a boost to businesses. In Atlanta, Kwan’s Deli and Korean Food is doing just about as much summertime business as it did before the pandemic, said Andrew Song, whose family owns the restaurant. At the height of the pandemic, Kwan’s had lost about 80% of its business, reduced its hours and cut staff. But the deli has bounced back thanks to tourists from the Georgia Aquarium and events at a nearby convention hall. Still, the Delta variant surge is creating uncertainty about the fall. Song said he has heard that some businesses have relocated permanently or downsized. “It’s sort of hard to imagine what it will look like with office regulars not returning or being more remote,” he said. In Nashville, Lyle Richardson, chief operating officer for restaurant operator A. Marshall Hospitality, said he has seen the city’s restaurant industry ravaged by the coronavirus epidemic. He sits on the board of the Tennessee Hospitality Association trade group and estimates that hundreds of restaurants have had to close. Those who stayed open made adjustments. Richardson stopped serving lunch at one restaurant, Deacon’s New South, to focus on dinner after office workers went remote. But he kept his other restaurant, Puckett’s Grocery & Restaurant, open from 7 a.m to 11 p.m. to attract the tourists flocking back to the city. “The normalcy we called pre-COVID, that no longer exists,” he said. “We have to be prepared, on our toes, to adapt.” Back in Detroit, business at Cannelle by Matt Knio, a downtown bakery and sandwich shop, has rebounded above 2019 levels after a precipitous drop-off early in the pandemic. Baseball and football crowds are back, and outdoor dining and takeout remain popular. If businesses are subject to more restrictions when the weather gets colder, Knio believes he can rely on the lessons learned so far in the pandemic to get by. “I think we know our way around now, and how to deal with it,” he said. “We’ll be able to do takeout and curbside pickup.”"
"Most people don’t need COVID vaccine boosters yet, scientists say",2789,"COVID-19 vaccines work so well that most people don’t yet need a booster, an all-star panel of scientists from around the world said in a review that’s likely to fuel the debate over whether to use them.  Governments would be better served to focus on immunizing the unvaccinated and to wait for more data on which boosters, and at what doses, would be most effective, the authors, who included two prominent U.S. Food and Drug Administration experts, argued in the medical journal The Lancet. They based their assessment on a wide range of real-world observational studies as well as data from clinical trials before the vaccines were approved. “None of the studies has provided credible evidence of substantially declining protection against severe disease,” the authors wrote. There could also be additional side-effect risks if boosters are introduced too soon or too broadly, they said.  The review comes as most countries with ample vaccine supplies debate whether to allocate doses for booster shots to prop up immunity and potentially help stop the spread of the more infectious Delta variant. The U.S. plans to roll out booster shots starting Sept. 20, though the plan still needs sign-off from the FDA and the Centers for Disease Control and Prevention. Among the scientists behind the conclusions were Marion Gruber, who leads the FDA’s Office of Vaccines Research and Review, and her deputy Philip Krause. Both have said they would step down later this year. Gruber and Krause were two of a group of FDA staff who last year pushed back against pressure by the Trump administration to speed up the authorization of the COVID vaccines, according to a person familiar with the matter. The World Health Organization’s Soumya Swaminathan, Ana-Maria Henao-Restrepo and Mike Ryan also worked on the review. The WHO has pushed against broad use of boosters, saying it would make better public-health sense to focus on immunizing those who haven’t gotten any shots yet—whether because of anti-vaccine sentiment in countries with ample reserves, or because they live in places with little access to shots.  “Even if boosting were eventually shown to decrease the medium-term risk of serious disease, current vaccine supplies could save more lives if used in previously unvaccinated populations,” the authors wrote.  Across the observational studies done so far, vaccination has been an average of 95% effective against severe disease, including against more infectious variants such as Delta, and more than 80% effective at preventing any infection, the review found. Even in countries with high vaccination rates, it’s unvaccinated people that are driving transmission of the virus—and who are at highest risk of becoming very ill, the study found. —With assistance from Drew Armstrong."
Why climate action is about becoming more competitive,357,"This is the web version of CEO Daily, a daily newsletter of must-read insights from Fortune CEO Alan Murray. Sign up to get it delivered free to your inbox. Good morning. A few CEO Daily readers have chided me recently for devoting so much space to climate issues.  But I really do believe this has become one of—if not the—defining business issue of 2021. "
The U.K. terminates its COVID vaccine contract with Valneva—wiping out almost half its market cap,2431,"The U.K. government has canceled its order of 100 million doses of the late-stage COVID-19 vaccine from France-based biotech firm Valneva—leading company shares to plummet by 45%. The U.K. government said it had terminated the contract because Valneva was in breach of its obligations under the deal—a claim Valneva “strenuously” denies. The deal was worth up to €1.4 billion ($1.65 billion) with the vaccine set to be manufactured in Scotland. Deliveries were expected to start in 2022. Shares in Valneva fell more than 40% in early Paris trading, hitting a low of €11 before recouping some of the losses. The Valneva vaccine differentiates itself from the vaccines currently on the market by stimulating a reaction to the inactivated whole COVID-19 virus, rather than just targeting the spike protein, a process that some scientists say should offer protection against more variants.  This old-school vaccine design of taking a killed sample of the disease and using it to stimulate an immune response means the Valneva shot could complement existing vaccines and be used as a booster shot—an attractive feature that has helped Valvena quadruple its stock price over the past year. It is not clear what pushed the U.K. government to serve a notice of termination, but in previous warnings, Valneva warned of a “substantial risk” to exporting the vaccine between the EU and the U.K. owing to supply chain issues. The vaccine is currently still in late-stage trials with the results expected in the fourth quarter of this year. The laboratory noted at the end of August that based on Phase I and Phase II trials, it hoped to have a vaccine that is more than 80% effective. U.K. approval is slated for late next year. “Valneva has worked tirelessly, and to its best efforts, on the collaboration with HMG including investing significant resources and effort to respond to HMG’s requests for variant-derived vaccines,” the company said in a statement. Back in April, talks between Valneva and the European Commission also broke down because, the EU executive said, the company failed to meet “a certain set of conditions.” Valneva’s prioritization of the U.K.’s order was reportedly a factor. There was a subsequent resurrection of the talks in late June, suggesting the EU no longer saw this as an obstacle, but Valneva never secured an EU purchase agreement. It has been negotiating vaccine contracts on a country-by-country basis."
Southeast Asian countries realize they can no longer afford their strict COVID control measures,5705,"Even as they struggle with one of the world’s worst COVID-19 outbreaks, nations across Southeast Asia are slowly realizing that they can no longer afford the economy-crippling restrictions needed to squash it. On the factory floors of Vietnam and Malaysia, in the barbershops of Manila or office towers of Singapore, regulators are pushing forward with plans to reopen, seeking to balance containing the virus with keeping people and money moving. That’s leading to a range of experiments including military-delivered food, sequestered workers, micro-lockdowns and vaccinated-only access to restaurants and offices. In contrast to Europe and the U.S., which have already moved down the reopening path, the region’s low vaccination rates leave it among the world’s most vulnerable to the delta variant. But with state finances stretched by previous rounds of stimulus and dwindling monetary policy firepower, lockdowns are becoming less tenable by the day.   “It’s a tricky balance between lives and livelihoods,” said Krystal Tan, Australia & New Zealand Banking Group Ltd. economist, noting that even Singapore has struggled with infection spikes despite having a world-leading vaccination rate. The risks of stop-start re-openings are higher in the rest of the region, where coverage is considerably lower, Tan said. Southeast Asia’s factory shutdowns have rippled across the world to create supply chain hiccups, with automakers including Toyota Motor Corp. slashing production and clothing retailer Abercrombie & Fitch Co. warning the situation is “out of control.” The daily death rate in many Southeast Asian countries has surpassed the global average, helping push them to bottom spots of the Bloomberg’s COVID Resilience Ranking.  Yet officials are increasingly worried about what it means economically if restrictions linger too long despite slow inoculations. Malaysia cut its 2021 growth forecast in half to 3%-4% as daily cases hit records. Thailand’s hoped-for rebound on a critical tourism revival is swiftly vanishing.  Even where the outlook appears impressive—Vietnam is set to grow 6% this year and Singapore officials see theirs as high as 7%—there’s increasing pressure to address global supply-chain blockages and to avoid dampening foreign investor appetite for the dynamic region. According to Oversea-Chinese Banking Corp. economist Wellian Wiranto, Southeast Asian nations are being worn down both by the economic costs from successive rounds of lockdowns and an increasing sense of exhaustion among their populations as the crisis drags on. “Any hope of a broad border reopening that can facilitate trade and tourism flow across various Asean countries is going to remain a distant pipe dream,” Wiranto said. When it comes to impacts on global supply chains, the stakes have been among the highest in Vietnam, where increasingly stringent lockdowns have exacted a high cost for manufacturers and exporters while failing to halt delta’s spread. The country’s trade ministry warned this month that it risks losing overseas customers because of tough restrictions that have shuttered factories. The European Chamber of Commerce in Vietnam estimated that 18% of its members have relocated part of their production to other countries to ensure their supply chains are protected, with more expected to follow.  Patience among the public is wearing thin across the region, especially as they’ve battled the virus for longer than most of the world. In Malaysia, the social angst helped force regime change after extended lockdowns fueled job losses but failed to reduce cases. Street protests against the Thai government that predate COVID have evolved into pandemic-related rallies. The plight of the working poor in Vietnam—away from promising middle-class jobs for multinational companies—is increasing pressure on the government to re-open. In Singapore and the Philippines, businesses are becoming more vocal about difficulties in long-term planning due to the lack of certainty around government policies. As a result, there is now a growing shift in Southeast Asia to treat COVID-19 as endemic, with the likes of Malaysia, Indonesia and Thailand emulating Singapore’s strategy to learn to “live with the virus.” Indonesia, the region’s biggest economy, is focused on the long game. Ministers are attempting to cement rules like a years-long mask mandate rather than implementing on-and-off mobility curbs. They’re also rolling out “road maps” for specific areas like offices and schools in order to outline more permanent rules in the new normal. Reporting the number of daily cases is now becoming less important than their severity. This is especially true for the two most-vaccinated in Southeast Asia—Singapore, which ranks among the world’s best above 80%, and Malaysia, with about half the population fully inoculated. In place of national or regional lockdowns, the Philippines is looking to apply mobility curbs in more targeted zones—down to the street or even house. Vietnam, too, is testing this strategy, with Hanoi instituting travel checkpoints as officials vary restrictions based on virus risk in different areas of the city. Only those with vaccine cards can enter malls and places of worship in Jakarta, or head to the cinemas in Malaysia. Restaurants in Singapore are required to check the vacciation status of diners. In Manila, officials are considering “vaccine bubbles” for workplaces and public transport. While this strategy may reduce the damage to the broader economy, the risk is that an unequal distribution of vaccines—in Malaysia, for instance, to economically vital states rather than poorer areas—may unfairly disadvantage lower-income residents. "
"Prepare for a rough few months of COVID-19, according to these scientists",8691,"For anyone hoping to see light at the end of the COVID-19 tunnel over the next three to six months, scientists have some bad news: Brace for more of what we’ve already been through.  Outbreaks will close schools and cancel classes. Vaccinated nursing home residents will face renewed fears of infection. Workers will weigh the danger of returning to the office as hospitals are overwhelmed, once again. Almost everyone will be either infected or vaccinated before the pandemic ends, experts agree. Maybe both. An unlucky few will contract the virus more than once. The race between the waves of transmission that lead to new variants and the battle to get the globe inoculated won’t be over until the coronavirus has touched all of us.  “I see these continued surges occurring throughout the world,” said Michael Osterholm, director of the Center for Infectious Disease Research and Policy at the University of Minnesota in Minneapolis, and an adviser to U.S. President Joe Biden. “Then it will drop, potentially somewhat precipitously,” he said. “And then I think we very easily could see another surge in the fall and winter” of this year, he added.  With billions of people around the world yet to be vaccinated and little chance now of eliminating the virus, we can expect more outbreaks in classrooms, on public transport and in workplaces over the coming months, as economies push ahead with reopening. Even as immunization rates rise, there will always be people who are vulnerable to the virus: Newborn babies, people who can’t or won’t get inoculated, and those who get vaccinated but suffer breakthrough infections as their protection levels ebb.  The next few months will be rough. One key danger is if a vaccine-resistant variant develops, although it is not the only risk ahead. In the coming months, Bloomberg will explore the pandemic’s long-term impact on economies and markets, the pharmaceutical industry, travel and more. “We’re going to see hills and valleys, at least for the next several years as we get more vaccine out. That’s going to help. But the challenge is going to be: How big will the hills and valleys be, in terms of their distance?” Osterholm said. “We don’t know. But I can just tell you, this is a coronavirus forest fire that will not stop until it finds all the human wood that it can burn.” The five well-documented influenza pandemics of the past 130 years offer some blueprint for how COVID might play out, according to Lone Simonsen, an epidemiologist and professor of population health sciences at Roskilde University in Denmark. She is an expert on the ebb and flow of such events. While the longest global flu outbreak lasted five years, they mostly consisted of two to four waves of infection over an average of two or three years, she said. COVID is already shaping up to be among the more severe pandemics, as its second year concludes with the world in the middle of a third wave—and no end in sight.  It’s possible that the virus known as SARS-CoV-2 won’t follow the path set by the pandemics of the past. After all, it is a different, novel and potentially more transmissible pathogen. And with a death toll of more than 4.6 million people so far, it’s already more than twice as deadly as any outbreak since the 1918 Spanish flu. Despite brutal initial waves and relatively high vaccination rates, countries including the U.S., U.K., Russia and Israel are flirting with record numbers of cases. Immunization is helping to moderate incidences of severe cases and deaths, but surging infections mean the virus is reaching the young and others who remain unvaccinated, leading to rising rates of serious disease in those groups. Nations where vaccination has been sparse—including Malaysia, Mexico, Iran and Australia—are in the midst of their biggest outbreaks yet, fueled by the contagious delta strain. With the virus still spreading out of control in vast swathes of the planet, another novel variant could quite feasibly emerge. History shows the commonly held belief that viruses automatically get milder over time—to avoid completely wiping out their host population—is wrong, according to Simonsen. Although new mutations aren’t always more severe than their predecessors, “pandemics can in fact get more deadly during the pandemic period, as the virus is adapting to its new host,” she said. Early in the COVID outbreak, there was good reason to hope that vaccines would provide long-term protection, much like childhood shots that stop diseases such as polio.  Coronaviruses have a “proof-reading” mechanism that fixes the in-born errors caused when the virus replicates, reducing the likelihood of variants emerging when the virus is transmitted from one person to another.  The number of global cases has been so vast, however, that mutations are occurring anyway. “With the pandemic, we have this enormous force of infection,” said Kanta Subbarao, director of the WHO Collaborating Center for Reference and Research on Influenza at the Peter Doherty Institute for Infection and Immunity in Melbourne. “That has counterbalanced the ability of the virus to proof-read.” As a result, COVID could be like the flu, requiring regular vaccine top-ups to remain effective as the virus evolves.  Some researchers say SARS-CoV-2 is poised to become completely resistant to the first generation of vaccines. A study from Japan, which has yet to be published or peer-reviewed, suggests that potentially dangerous mutations in the delta variant are already being picked up in a global database used to track such developments. Reports of current strains breaking through vaccinations or triggering higher fatality rates have not held up to rigorous scrutiny thus far. “This is a scenario we hope won’t happen,” Simonsen said. “My God, we would have to do it all again.” Other even grimmer possibilities for the coming months include the emergence of a novel influenza virus or another coronavirus making the leap from animals into humans. “As long as there are animal reservoirs of coronavirus there is still the possibility that another zoonotic coronavirus could emerge in the future,” Subbarao said. “There is that in the background, the risk of still dealing with this one when another one emerges.” What seems clear is that the pandemic will not be over in six months. Experts generally agree that the current outbreak will be tamed once most people—perhaps 90% to 95% of the global population—have a degree of immunity thanks to immunization or previous infection.  The key element should be vaccination, they say. “Without vaccination, one is like a sitting duck, because the virus will spread widely and find most everybody this autumn and winter,” said Simonsen.  More than 5.66 billion doses of vaccine have been administered around the world, according to Bloomberg’s vaccine tracker. But the success of rollouts in some regions, such as the European Union, North America and China, masks the failure in others. Most countries in Africa have only given enough vaccine to cover less than 5% of their populations with a two-dose shot. India has administered enough to cover only about 26%.  The pandemic will end at different times in different places, just as previous outbreaks have, said Erica Charters, associate professor of the history of medicine at Oxford University and the coordinator of a project on how epidemics end. Governments will have to decide how much of the disease they are comfortable living with, she said. Approaches vary. While some countries are still shooting for zero COVID cases, the world is unlikely to eradicate the virus completely. Nations like Denmark and Singapore, which have managed to keep cases relatively contained, are already moving toward a post-pandemic future with fewer safety restrictions. Others, such as the U.S. and U.K., are opening up even as infection numbers near records. Meanwhile, China, Hong Kong and New Zealand have vowed to keep vigilantly working to eliminate the virus locally. As a result, they are likely to be among the last places to leave behind the disruption wrought by walling out the pandemic. “The end process is not going to be uniform,” Charters said. The pandemic “is a biological phenomenon, but it’s also a political and social phenomenon.”  “Even now we have different approaches to it.”  It’s likely to be messy, leaving a lasting legacy for years to come. Until then, most of us will need to brace for many more months in the pandemic’s grip.  “We have to approach it with our eyes wide open and with a great deal of humility,” Osterholm said. “Anybody that thinks we're going to be over this in the next few days or a few months is sorely mistaken.”"
Delta used this ‘negative incentive’ strategy to get employees vaccinated,664,"Delta found a novel way to fight Delta. At a briefing Thursday sponsored by the Infectious Diseases Society of America, SVP and chief health officer at Delta Air Lines Dr. Henry Ting spoke about the company’s approach to encouraging employees to get vaccinated. He described Delta’s multipronged approach as “a marathon.” And while President Joe Biden’s rules for large employers are set to go into effect in the coming weeks, mandating either vaccinations or weekly testing for some 80 million private sector workers, employers may want to take a page from Delta’s book when it comes to nudging, educating, and ultimately persuading their workers to get on board."
