Title,Publishing Date,Source
"Walgreens’ COVID-19 testing website left data unprotected, according to report","SEPTEMBER 14, 2021",https://fortune.com/2021/09/14/walgreens-covid-19-test-personal-data-at-risk/
Corporate directors face rapidly rising expectations,"SEPTEMBER 14, 2021",https://fortune.com/2021/09/14/corporate-directors-face-rapidly-rising-expectations-stakeholder-capitalism-ceo-daily-hubert-joly-charles-phillips-robin-washington/
School vaccination drives face backlash from some parents and local officials,"SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/school-covid-vaccine-drives-face-backlash-parents-officials-students/
"As workers stay at home due to COVID, downtown businesses adjust to a new reality","SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/downtown-businesses-covid-cases-remote-workers-offices/
"Most people don’t need COVID vaccine boosters yet, scientists say","SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/most-people-dont-need-covid-vaccine-boosters-yet-scientists-say/
Why climate action is about becoming more competitive,"SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/why-climate-action-is-about-becoming-more-competitive-ceo-daily/
The U.K. terminates its COVID vaccine contract with Valneva—wiping out almost half its market cap,"SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/uk-terminates-covid-vaccine-contract-valneva-wiping-out-market-cap/
Southeast Asian countries realize they can no longer afford their strict COVID control measures,"SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/covid-southeast-asia-cases-response-lockdown-singapore-malaysia-thailand-vietnam/
"Prepare for a rough few months of COVID-19, according to these scientists","SEPTEMBER 13, 2021",https://fortune.com/2021/09/13/covid-future-next-six-months-vaccines-variants-outbreaks/
Delta used this ‘negative incentive’ strategy to get employees vaccinated,"SEPTEMBER 10, 2021",https://fortune.com/2021/09/10/delta-getting-employees-vaccinated-covid-vaccinations-airlines/
The FDA is rapidly reviewing COVID vaccines for children under 12,"SEPTEMBER 10, 2021",https://fortune.com/2021/09/10/fda-rapidly-reviews-covid-19-vaccine-children-under-12/
"Its COVID-19 vaccine bogged down in trials, Sanofi to manufacture BioNTech/Pfizer doses","SEPTEMBER 10, 2021",https://fortune.com/2021/09/10/sanofi-biontech-mrna-covid-vaccine-frankfurt/
India’s Kerala state was a COVID-19 success story. Now the ‘Kerala model’ appears to be faltering,"SEPTEMBER 10, 2021",https://fortune.com/2021/09/10/kerala-model-covid-response-india-epicenter-delta-cases-outbreak/
"As Cisco joins the net-zero party, how do we move from pledge to practice?","SEPTEMBER 10, 2021",https://fortune.com/2021/09/10/cisco-net-zero-2021-climate-inflection-ceo-daily/
"As Cisco joins the net-zero party, how do we move from pledge to practice?","SEPTEMBER 10, 2021",https://fortune.com/2021/09/10/cisco-net-zero-2021-climate-inflection-ceo-daily/
"20 years after 9/11, first responders are still sick, dying, and underpaid","SEPTEMBER 10, 2021",https://fortune.com/2021/09/09/9-11-anniversary-20-years-first-responders-emts/
"Vaccine mandates pick up steam, but few employers say they’ll fire violators","SEPTEMBER 10, 2021",https://fortune.com/2021/09/09/vaccine-mandates-pick-up-steam-but-few-employers-say-theyll-fire-violators/
FDA delays decision on whether Juul can remain on the market,"SEPTEMBER 10, 2021",https://fortune.com/2021/09/09/fda-delays-decision-e-cigarette-giant-juul/
Microsoft postpones return-to-office plans indefinitely as Delta variant surges,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/microsoft-postpones-october-return-to-office-plans-delta-variant-surge/
White House unveils plan to lower prescription drug prices,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/health-care-biden-lower-prescription-drug-prices-big-pharma-american-medicine/
Biden toughens up on vaccine mandate for federal workers,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/biden-signs-executive-order-federal-workers-covid-19-vaccine/
The rationales for and against a third dose of the COVID-19 vaccine,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/covid-19-vaccine-booster-third-dose-pfizer-moderna/
United reports big success getting unvaccinated workers to take COVID jab,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/united-success-unvaccinated-workers-covid-jab-mandate-deadline/
What Seventh Generation co-founder Jeffrey Hollender wants to see under stakeholder capitalism,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/what-seventh-heaven-co-founder-jeffrey-hollander-wants-to-see-under-stakeholder-capitalism/
Singapore’s COVID reports will now focus on hospitalizations as community cases hit record levels,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/09/singapore-covid-hospitalized-cases-community-vaccine-rate/
Parkinson’s disease has no approved treatment. Scientists want to use lab grown mini-brains to change that,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/08/parkinsons-disease-lab-grown-mini-brains-treatments-drug-development/
COVID deaths are up 34%. See the states where ICU beds are in short supply,"SEPTEMBER 9, 2021",https://fortune.com/2021/09/08/covid-deaths-us-state-by-state-data-update/
"This city has over 24,000 COVID cases in its schools—and others are catching up","SEPTEMBER 9, 2021",https://fortune.com/2021/09/08/covid-cases-schools-delta-variant-atlanta-texas-dallas-houston-los-angeles-nyc/
Florida judge says schools can continue to impose mask mandates,"SEPTEMBER 8, 2021",https://fortune.com/2021/09/08/florida-judge-upholds-ruling-mask-mandates-appeals-case-update/
