Title,Source
Idaho begins rationing health care as Covid surge crushes hospitals,https://www.nbcnews.com/news/us-news/idaho-begins-rationing-health-care-covid-surge-crushes-hospitals-n1278670
How two Americans fared with the German health care system,https://www.nbcnews.com/health/health-news/germany-s-health-care-system-model-u-s-n1024491
"Healthcare News: Health Insurance, Health Studies & Treatments - NBC News",https://www.nbcnews.com/health/health-care
"Only 6 able to sign up on healthcare.gov's first day, documents show",https://www.nbcnews.com/politics/politics-news/only-6-able-sign-healthcare-govs-first-day-documents-show-flna8c11509571
Why is health care so expensive in the United States?,https://www.today.com/tmrw/why-healthcare-so-expensive-united-states-t192119
Biden administration invests $50 million in HealthCare.gov ad campaign,https://www.nbcnews.com/politics/white-house/biden-administration-invests-50-million-healthcare-gov-ad-campaign-n1262644
Covid rescue package offers help for health insurance. Here's how to get the most benefit,https://www.nbcnews.com/health/health-care/covid-rescue-package-offers-help-health-insurance-here-s-how-n1261776
Whole Foods CEO John Mackey: The 'best solution' is to not need health care and for Americans to change how they eat and live,https://www.today.com/health/whole-foods-ceo-john-mackey-implies-healthy-eating-best-solution-t205086
"Healthcare Way Behind on Data Security, Cyber Firm Says",https://www.nbcnews.com/tech/tech-news/healthcare-way-behind-data-security-cyber-firm-says-n462326
North Dakota allows Covid-positive healthcare workers to stay on job; nurses warn it's 'irresponsible',https://www.nbcnews.com/news/us-news/north-dakota-lets-healthcare-workers-covid-stay-job-record-surge-n1247487
14 high-paying in-demand health-care jobs you can get without an MD or PhD,https://www.nbcnews.com/better/lifestyle/14-high-paying-demand-health-care-jobs-you-can-get-ncna1004846
Trump promises vote on GOP health care plan — after the election,https://www.nbcnews.com/politics/donald-trump/trump-says-gop-healthcare-plan-still-works-won-t-be-n989911
Medical groups urge mandatory vaccinations for all health care workers,https://www.nbcnews.com/news/us-news/leading-medical-groups-urge-mandatory-vaccination-all-healthcare-workers-n1275009
"She called out health care misinfo on TikTok. Then, the trolls found her.",https://www.nbcnews.com/news/us-news/she-called-out-health-care-misinfo-tiktok-then-trolls-found-n1265011
Why is U.S. health care so expensive?,https://www.nbcnews.com/health/health-news/why-health-care-eats-more-your-paycheck-every-year-n678051
Obama to meet with tech executives to discuss HealthCare.gov,https://www.nbcnews.com/healthmain/obama-meet-tech-executives-discuss-healthcare-gov-2d11756675
Syntel Named a Leader in Healthcare IT Services,https://www.nbcnews.com/id/wbna43463010
More hospitals hit by ransomware as feds warn about cyberattacks,https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292
Do you know who owns your hospital?,https://www.nbcnews.com/health/health-care/private-equity-firms-now-control-many-hospitals-ers-nursing-homes-n1203161
GOP health care plan could mean millions lose their work-based coverage,https://www.nbcnews.com/business/consumer/employer-backed-insurance-could-take-huge-hit-gop-healthcare-plan-n734951
"SinoFresh Healthcare Announces the Acquisition of SRS International, Inc.",https://www.nbcnews.com/id/wbna40549630
"Healthcare.gov will work smoothly by end of November, government pledges",https://www.nbcnews.com/healthmain/healthcare-gov-will-work-smoothly-end-november-government-pledges-8c11466184
Racial bias found in widely used health care algorithm,https://www.nbcnews.com/news/nbcblk/racial-bias-found-widely-used-health-care-algorithm-n1076436
More hospitals hit by ransomware as feds warn about cyberattacks,https://www.nbcnews.com/tech/tech-news/more-hospitals-hit-ransomware-feds-warn-about-cyberattacks-n1245292
This Company Lets You Shop Around for Healthcare Procedures,https://www.nbcnews.com/business/consumer/company-lets-you-shop-around-healthcare-procedures-n533301
Did the feds fix HealthCare.gov? How we’ll know,https://www.nbcnews.com/healthmain/did-feds-fix-healthcare-gov-how-well-know-2d11664080
