Title,Publishing Date,Source
"The Struggle to Vaccinate Springfield, Missouri","August 6, 2021",https://www.newyorker.com/news/us-journal/the-struggle-to-vaccinate-springfield-missouri
The Immense Relief of Health-Care Workers Receiving the COVID-19 Vaccine,"December 21, 2020",https://www.newyorker.com/news/letter-from-the-uk/the-immense-relief-of-health-care-workers-receiving-the-vaccine
America Is Running Out of Nurses,"December 15, 2020",https://www.newyorker.com/science/medical-dispatch/america-is-running-out-of-nurses
"American Tragedy and Comedy, Streaming on YouTube","July 27, 2020",https://www.newyorker.com/magazine/2020/08/03/american-tragedy-and-comedy-streaming-on-youtube
The Death of Hahnemann Hospital,"May 31, 2021",https://www.newyorker.com/magazine/2021/06/07/the-death-of-hahnemann-hospital
The Republican War on Voting,"March 18, 2021",https://www.newyorker.com/news/daily-comment/the-republican-war-on-voting
The F.D.A.’s Extraordinary Approval of a Questionable Treatment for Alzheimer’s,"June 14, 2021",https://www.newyorker.com/news/daily-comment/the-fdas-extraordinary-approval-of-a-questionable-treatment-for-alzheimers
Britain’s Vaccine Program Brings Joy and Chauvinism,"December 8, 2020",https://www.newyorker.com/news/letter-from-the-uk/britains-vaccine-program-brings-joy-and-chauvinism
Have You Already Had a Breakthrough COVID Infection?,"August 22, 2021",https://www.newyorker.com/science/medical-dispatch/have-you-already-had-a-breakthrough-covid-infection
The Delta Variant Is a Grave Danger to the Unvaccinated,"June 23, 2021",https://www.newyorker.com/science/medical-dispatch/the-delta-variant-is-a-grave-danger-to-the-unvaccinated
India’s Crisis Marks a New Phase in the Pandemic,"May 13, 2021",https://www.newyorker.com/science/medical-dispatch/indias-crisis-marks-a-new-phase-in-the-pandemic
A Blue-State Thanksgiving Menu,"November 25, 2020",https://www.newyorker.com/news/daily-comment/a-blue-state-thanksgiving-menu
We’ve Had Great Success Extending Life. What About Ending It?,"May 10, 2021",https://www.newyorker.com/magazine/2021/05/17/weve-had-great-success-extending-life-what-about-ending-it
Does Tech Need a New Narrative?,"June 15, 2021",https://www.newyorker.com/news/letter-from-silicon-valley/does-tech-need-a-new-narrative
The Biggest Challenge Facing Joe Biden’s New Economic Team,"December 1, 2020",https://www.newyorker.com/news/our-columnists/the-biggest-challenge-facing-joe-bidens-new-economic-team
Mike Pence’s Trumpian Makeover at the Vice-Presidential Debate,"October 8, 2020",https://www.newyorker.com/news/letter-from-trumps-washington/mike-pences-trumpian-makeover-at-the-vice-presidential-debate
Biden’s Pandemic Plan Might Just Work,"January 27, 2021",https://www.newyorker.com/science/medical-dispatch/joe-bidens-pandemic-plan-might-actually-work
A Fight to Expose the Hidden Human Costs of Incarceration,"August 16, 2021",https://www.newyorker.com/magazine/2021/08/23/a-fight-to-expose-the-hidden-human-costs-of-incarceration
Deciding Who Should Be Vaccinated First,"January 11, 2021",https://www.newyorker.com/news/q-and-a/deciding-who-should-be-vaccinated-first
Black America Has Reason to Question Authorities,"January 10, 2021",https://www.newyorker.com/news/our-columnists/black-america-has-reason-to-question-authorities
The Fight for Fifteen at an Orlando McDonald’s,"February 15, 2021",https://www.newyorker.com/news/us-journal/the-fight-for-fifteen-at-an-orlando-mcdonalds
