Title,Publishing Date,Source
HealthCare.gov probe finds flaws,07/30/14,https://www.politico.com/story/2014/07/healthcaregov-probe-rollout-flaws-109546
HealthCare.gov: The relaunch,11/10/14,https://www.politico.com/story/2014/11/obamacare-enrollment-2015-112715
Real HealthCare.gov test coming — Supreme Court's Obamacare contraception cases — Young people buying into ACA?,12/02/13,https://www.politico.com/tipsheets/politico-pulse/2013/12/real-healthcaregov-test-coming-supreme-courts-obamacare-contraception-cases-young-people-buying-into-aca-212543
"POLITICO Playbook, presented by JPMorgan Chase & Co. -- 'EXPEDITED BID PROCESS' left only four choices to build Healthcare.gov: 'doomed from start' -- BACKLASH BUILDS over 'sticker shock'",11/04/13,https://www.politico.com/tipsheets/playbook/2013/11/politico-playbook-presented-by-jpmorgan-chase-co-expedited-bid-process-left-only-four-choices-to-build-healthcaregov-doomed-from-start-backlash-builds-over-sticker-shock-212543
"Behind the curtain, troubles persist in HealthCare.gov",02/17/15,https://www.politico.com/story/2015/02/healthcare-gov-troubles-115276
Microsoft exec to be picked for HealthCare.gov,12/17/13,https://www.politico.com/story/2013/12/kurt-delbene-jeff-zients-obamacare-101237
"HealthCare.gov enrolled 27,000 in October -- Tech administration officials hint fix is further off",11/14/13,https://www.politico.com/tipsheets/politico-pulse/2013/11/healthcaregov-enrolled-27-000-in-october-tech-administration-officials-hint-fix-is-further-off-212543
"Hillary, confrontational on healthcare",09/16/07,https://www.politico.com/blogs/ben-smith/2007/09/hillary-confrontational-on-healthcare-003155
Healthcare.done: ACA open enrollment comes to an end in 39 states,12/15/17,https://www.politico.com/newsletters/politico-pulse/2017/12/15/healthcaredone-aca-open-enrollment-comes-to-an-end-in-39-states-053561
"Healthcare.Stop: What Trump's decision to nix ACA ads, outreach may mean",01/27/17,https://www.politico.com/tipsheets/politico-pulse/2017/01/healthcarestop-what-trumps-decision-to-nix-aca-ads-outreach-may-mean-218442
Just 5 days to go for HealthCare.gov open enrollment,12/11/17,https://www.politico.com/newsletters/politico-pulse/2017/12/11/just-5-days-to-go-for-healthcaregov-open-enrollment-046615
"One-day enrollment extension up, deadline today – Obama signs up for Obamacare – Traffic heavy on HealthCare.gov",12/24/13,https://www.politico.com/tipsheets/politico-pulse/2013/12/one-day-enrollment-extension-up-deadline-today-obama-signs-up-for-obamacare-traffic-heavy-on-healthcaregov-212543
Obamacare by the numbers – A Heartbleed warning for HealthCare.gov – Clinton considered 'if you like your plan' promise,04/21/14,https://www.politico.com/tipsheets/politico-pulse/2014/04/obamacare-by-the-numbers-a-heartbleed-warning-for-healthcaregov-clinton-considered-if-you-like-your-plan-promise-212543
Running healthcare,02/03/09,https://www.politico.com/blogs/ben-smith/2009/02/running-healthcare-015838
Pro Report: Tuesday is primary day in six states — Nominee gives bottom line on HealthCare.gov IT costs — Credit Suisse charged,05/19/14,https://www.politico.com/tipsheets/pro-report/2014/05/pro-report-tuesday-is-primary-day-in-six-states-nominee-gives-bottom-line-on-healthcaregov-it-costs-credit-suisse-charged-212543
HealthCare.gov has new enrollment glitch — Uninsured rate drops into single digits — States ask SCOTUS to take birth control case,08/12/15,https://www.politico.com/tipsheets/politico-pulse/2015/08/healthcaregov-has-new-enrollment-glitch-uninsured-rate-drops-into-single-digits-states-ask-scotus-to-take-birth-control-case-212543
Lawmakers to join origination oral arguments — HealthCare.gov CEO hedges on exchange transitions,11/18/14,https://www.politico.com/tipsheets/politico-pulse/2014/11/lawmakers-to-join-origination-oral-arguments-healthcaregov-ceo-hedges-on-exchange-transitions-212543
What the new HealthCare.gov numbers are (and aren't) telling us,12/22/16,https://www.politico.com/tipsheets/politico-pulse/2016/12/what-the-new-healthcaregov-numbers-are-and-arent-telling-us-218002
Obamacare's next traps - Staff changes coming? - White's successor named - New spokesman for HealthCare.gov,11/18/13,https://www.politico.com/tipsheets/politico-pulse/2013/11/obamacares-next-traps-staff-changes-coming-whites-successor-named-new-spokesman-for-healthcaregov-212543
