Title,Len,Content
Taliban fire in air to scatter hundreds of protesters in Kabul,5504,"Sept 7 (Reuters) - Taliban gunmen fired in the air on Tuesday to scatter protesters in the Afghan capital Kabul, witnesses said, as video showed scores scurrying to escape volleys of gunfire. Hundreds of men and women shouting slogans such as ""Long live the resistance"" and ""Death to Pakistan"" marched in the streets to protest against the Taliban takeover. Neighbouring Pakistan has deep ties with the Taliban and has been accused of assisting the Islamist group's return to power - charges it denies. ""The Islamic government is shooting at our poor people,"" one panic-stricken woman on the street says over sounds of gunfire in a video clip shown on Iranian television news. There were no immediate reports of injuries, however. The Taliban's rapid advance across Afghanistan as U.S. forces pulled out last month triggered a scramble to leave by people fearing reprisals. U.S.-led foreign forces evacuated about 124,000 foreigners and at-risk Afghans, but tens of thousands were left behind. Secretary of State Antony Blinken said the United States was in contact with about 100 Americans who were still in Afghanistan. About 1,000 people, including Americans, have been stuck in the northern city of Mazar-i-Sharif for days awaiting clearance for charter flights to leave, an organiser told Reuters, blaming the delay on the U.S. State Department. Blinken, holding talks in Qatar, a key interlocutor with the Taliban, said the problem was one of documents. ""My understanding is that the Taliban have not denied exit to anyone holding a valid document, but they have said those without valid documents, at this point, can't leave,"" he told reporters. read more ""Because all of these people are grouped together, that's meant that flights have not been allowed to go ... We are not aware of anyone being held on an aircraft, or any hostage-like situation."" AIRPORT RESTART At the same news conference, Qatari Foreign Minister Sheikh Mohammed bin Abdulrahman Al Thani said no deal had yet been reached with the Taliban on how Qatar and its partner Turkey could get Kabul airport running again. ""We hope in the next few days we can get to a level where the airport is up and running for passengers and for humanitarian aid as well,"" he said. Turkey says it wants to provide security inside the airport to protect any Turkish staff and safeguard operations, but that the Taliban have insisted no foreign forces can be present. read more On Monday, the Islamist militants claimed victory in the Panjshir valley, the last province holding out against it, and promised to name a government soon. A woman chants from inside of a car during the anti-Pakistan protest in Kabul, Afghanistan, September 7, 2021. WANA (West Asia News Agency) via REUTERS Pictures on social media showed Taliban members standing in front of the Panjshir governor's compound after days of fighting with the National Resistance Front of Afghanistan (NRFA), commanded by Panjshiri leader Ahmad Massoud. Massoud denied that his force, consisting of remnants of the Afghan army as well as local militia fighters, was beaten. ""We are in Panjshir and our resistance will continue,"" he tweeted. He said he was safe but did not say where. The Taliban have repeatedly sought to reassure Afghans and foreign countries that they will not return to the brutality of their last reign two decades ago, marked by violent public punishments and the barring of women and girls from public life. But more than three weeks after seizing Kabul, they have yet to set out their plans. Asked whether Washington would recognise the Taliban, U.S. President Joe Biden told reporters at the White House on Monday: ""That’s a long way off."" STUDENTS SEGREGATED Teachers and students at universities in Afghanistan's largest cities - Kabul, Kandahar and Herat - told Reuters that female students were being segregated in class with curtains, taught separately or limited to some campus areas. ""Putting up curtains is not acceptable,"" Anjila, a 21-year-old female student at Kabul University, said by telephone, adding that women had sat apart from males in classrooms before the Taliban took over, but without barriers. read more ""I really felt terrible when I entered the class ... We are gradually going back to 20 years ago."" The conflict in Afghanistan, coupled with drought and coronavirus, has left 18 million people - almost half the population - in need of humanitarian aid, the International Federation of Red Cross and Red Crescent Societies (IFRC) said. It said tens of thousands of families had headed for relief camps in urban areas, but found they had neither food nor income. read more ""Basic services in Afghanistan are collapsing and food and other lifesaving aid is about to run out,"" Jens Laerke, spokesperson for the U.N. Office for the Coordination of Humanitarian Affairs (OCHA), told a news conference in Geneva, urging more aid ahead of an international donor conference on Sept. 13. read more The World Health Organisation is liaising with Qatar on deliveries of urgently needed medical supplies, WHO regional emergency director Rick Brennan said. Drought and war have forced about 5.5 million Afghans to flee their homes, including more than 550,000 newly displaced in 2021, the International Organization for Migration says. Western powers say they are prepared to send humanitarian aid, but that broader economic engagement depends on the shape and actions of the Taliban government. Our Standards: The Thomson Reuters Trust Principles."
UK PM Johnson raises taxes to tackle health and social care crisis,4880,"LONDON, Sept 7 (Reuters) - British Prime Minister Boris Johnson set out plans on Tuesday to raise taxes on workers, employers and some investors to try to fix a health and social care funding crisis, angering some in his governing party by breaking an election promise. After spending huge amounts of money to fight the COVID-19 pandemic, Johnson is returning to an election pledge to address Britain's creaking social care system, where costs are projected to double as the population ages over the next two decades. He also moved to try to tackle a backlog in Britain's health system, which has seen millions waiting months for treatment from the state-run National Health Service, after resources were refocused to deal with COVID-19. ""It would be wrong for me to say that we can pay for this recovery without taking the difficult but responsible decisions about how we finance it,"" Johnson told parliament. ""It would be irresponsible to meet the costs from higher borrowing and higher debt,"" he said, outlining increases that broke a promise made in his Conservative Party's 2019 manifesto not to raise such levies to fund social care. British politicians have tried for years to find a way to pay for social care, though successive Conservative and Labour prime ministers have ducked the issue because they feared it would anger voters and their own parties. Ignoring disquiet in his party, Johnson outlined what he described as a new health and social care levy that will see the rate of National Insurance payroll taxes paid by both workers and employers rise by 1.25 percentage points, with the same increase also applied to the tax on shareholder dividends. read more He said the increases would raise 36 billion pounds ($50 billion) over three years. The pound fell against the euro and dollar after the announced measures, which the Institute for Fiscal Studies said would increase Britain's tax burden to 35% of GDP - a peacetime record. Johnson has tried to cool anger within his party, which has for decades positioned itself as a defender of low taxes, over the hikes, which some lawmakers fear could lose them support at an election due in 2024. Parliament will debate the measures further on Wednesday. MANIFESTO BREAKING Johnson explained that elderly Britons would no longer face crippling care costs that have forced many to sell their homes, and said he could not have predicted the coronavirus pandemic which has further stretched services. ""You can't fix health and social care without long-term reform. The plan I'm setting out today will fix all of those problems together,"" he said, to jeers and laughter from opposition Labour Party lawmakers. ""I accept that this breaks a manifesto commitment which is not something I do lightly, but a global pandemic was in no one's manifesto."" Shortly afterwards, his work and pensions minister, Therese Coffey, said Britain would not raise state retirement pensions in line with earnings next year, breaking another election commitment to maintain the so-called ""triple lock"". read more Labour leader Keir Starmer was quick to pounce on Conservative fears. ""This is a tax rise that breaks a promise that the prime minister made at the last election ... Read my lips, the Tories (Conservatives) can never again claim to be the party of low tax,"" Starmer said. Some British businesses said the rise in national insurance would only compound damage done to firms by the pandemic. read more ""This rise will impact the wider economic recovery by landing significant costs on firms when they are already facing a raft of new cost pressures and dampen the entrepreneurial spirit needed to drive the recovery,"" said Suren  Thiru, head of economics at the British Chambers of Commerce. Trade body Make UK said the move might put jobs at risk just as pandemic job support programmes end. ""Putting a tax on jobs and workers at a time when Government is pulling the furlough scheme is ill-timed as well as illogical,"" its chief executive Stephen Phipson said. Like many Western leaders, Johnson is facing demands to spend more on welfare even though government borrowing has ballooned to 14.2% of economic output - a level last seen at the end of World War Two. For Johnson, who helped win the 2016 Brexit vote and then as prime minister presided over Britain's exit from the European Union, fixing social care for the elderly and disabled ""once and for all"" offers a possible way to broaden his domestic legacy. In 2019, Johnson said he had a social care plan. Two years later, his proposals are a gamble. Critics say Johnson is expanding state spending again without any clear reform of the way social care is administered, and that the rise in National Insurance payments will disproportionately hit the young people and lower paid workers. read more ($1 = 0.7261 pounds) Our Standards: The Thomson Reuters Trust Principles."
World's top three Christian leaders in climate appeal ahead of U.N. summit,2885,"VATICAN CITY, Sept 7 (Reuters) - The world's three main Christian leaders issued an unprecedented joint appeal to members of their Churches to ""listen to the cry of the earth"" and back action to stem the effects of climate change. In ""A Joint Message for the Protection of Creation,"" Pope Francis, Archbishop of Canterbury Justin Welby and Orthodox Ecumenical Patriarch Bartholomew asked Christians to pray that world leaders at the United Nations Climate Change Conference (COP26) in Glasgow in November make courageous choices. ""We call on everyone, whatever their belief or world view, to endeavour to listen to the cry of the earth and of people who are poor, examining their behaviour and pledging meaningful sacrifices for the sake of the earth which God has given us,"" the message said. Francis heads the 1.3 billion-member Roman Catholic Church, Bartholomew is the spiritual leader of the world's some 220 million Orthodox Christians and Welby is the senior bishop of the worldwide Anglican Communion, which has about 85 million members. All three have been very active in environmental affairs and concur that climate change and global warming is at least partially caused by human activities such as the use of fossil fuels. ""We stand before a harsh justice: biodiversity loss, environmental degradation and climate change are the inevitable consequences of our actions, since we have greedily consumed more of the earth’s resources than the planet can endure,"" the message said. It said recent extreme weather events, natural disasters, floods, fires, droughts and rising sea levels have shown that ""climate change is not only a future challenge, but an immediate and urgent matter of survival."" Europe had its warmest summer on record this year, though only by a small margin over two previous highest temperatures for June-August, European Union scientists said earlier on Tuesday, and green groups have called for the COP26 conference to be postponed. read more Typically delegates from more than 190 countries attend the annual talks, yet with many countries grappling with COVID-19 and poorer nations struggling to access vaccines, it should be delayed, the Climate Action Network (CAN) said. Scotland's bishops have said Pope Francis, who underwent intestinal surgery in July, will take part in the Glasgow conference, health permitting. read more A spokeswoman for Welby said he would attend. Bartholomew's office did not immediately respond to an email about his plans. On Oct. 4, the Vatican will host a major gathering of world religious leaders and scientists to take a common stand to raise the stakes ahead of the Glasgow conference. Called ""Faith and Science: Towards COP26,"" is being organised by Britain and Italy. It will bring together some 40 leaders from the world's major religions and 10 scientists. Our Standards: The Thomson Reuters Trust Principles."
Canada's Trudeau hit by gravel on campaign trail dogged by anti-vax hecklers,2831,"OTTAWA, Sept 6 (Reuters) - Canadian Liberal Prime Minister Justin Trudeau was hit by a handful of gravel on Monday, television images show, as he made his way to his campaign bus past a crowd shouting their opposition to COVID-19 vaccines. A CTV camera captured what looks to be white gravel hitting Trudeau and one of his bodyguards as he walked toward his campaign bus in London, Ontario. The Liberals canceled an event late last month because of safety concerns linked to anti-vax protesters. Trudeau played down the incident on his plane later, saying he may have been hit on the shoulder, and once he had pumpkin seeds thrown at him, according to a video posted on Twitter by Global News TV reporter Abigail Bimman. Earlier on Monday, Trudeau assailed Conservative leader Erin O'Toole's opposition to vaccine mandates, including for his own candidates, and called the hecklers ""angry mobs"" of anti-vaxxers. ""Erin O'Toole is at least taking some of his cues from (the anti-vax crowd),"" Trudeau said. Around 74% of eligible Canadians are fully vaccinated, but a fourth wave of the coronavirus pandemic is currently building, mostly among the unvaccinated. Trudeau, 49, also criticised O'Toole on Monday for waffling on gun control as the campaign enters its final stretch ahead of the Sept. 20 election, with the Liberals and Conservatives running virtually neck-and-neck in the polls. O'Toole on Sunday scrapped a campaign promise to eliminate a ban on some assault weapons, a sensitive issue in Canada after several mass shootings in recent years. Trudeau sought to capitalize on his opponent's shift with just two weeks left to reverse his fortunes. read more O'Toole ""will say anything to try and get elected,"" Trudeau told supporters at a campaign event in southern Ontario, Canada's most populous province. ""That's not leadership. That's not integrity."" Speaking in Ottawa, O'Toole refused to say how many of his candidates had not been inoculated. He has said those who are not vaccinated must be tested daily. ""Our approach, with respect to vaccinations, is we try and encourage and inform and work with people, but we will respect their personal health decisions,"" O'Toole said. Liberal strategists have said the crucial period of the campaign starts after Labor Day, because Canadians have been more focused until now on their summer vacations than the election. There are two debates this week, one in French and one in English, the only occasions left in which all the candidates will face one another on national television ahead of the vote. A rolling Nanos Research survey of 1,200 people for CTV on Monday put the Liberals at 34.1% and the Conservatives at 32%, a reversal from a day earlier, when Liberals were at 33.4% compared with 34.9% for Conservatives. Our Standards: The Thomson Reuters Trust Principles."
UK employers say Johnson's tax hike will cost jobs,2337,"LONDON, Sept 7 (Reuters) - British business organisations criticised Prime Minister Boris Johnson's plans to increase taxes to pay for health and social care reform, saying they added to the burden on firms struggling due to the COVID-19 pandemic and would cost jobs. Johnson set out plans on Tuesday to raise taxes on workers, employers and some investors. read more The announcement received a cool reception from businesses, who were asked to pay a 1.25 percentage-point increase to a payroll tax known as National Insurance (NI). ""Businesses strongly oppose a rise in national insurance contributions as it will be a drag anchor on jobs growth at an absolutely crucial time,"" Suren  Thiru, Head of Economics at the British Chambers of Commerce, said. ""This rise will impact the wider economic recovery by landing significant costs on firms when they are already facing a raft of new cost pressures and dampen the entrepreneurial spirit needed to drive the recovery."" But the government said it was right that businesses should make a contribution given that they benefit from the health and social care system via their employees. Big businesses would bear the largest burden of the tax rise, Johnson said. A government document published alongside the announcement said 70% of the money raised from businesses will come from the largest 1% of companies and around 40% of businesses would not be affected at all by the levy. ""Those earning more pay more and larger businesses also contribute,"" Sunak said on Twitter. The tax increases also included a 1.25 percentage point rise in dividend tax rates which stands to affect business owners and investors who rely on dividend income. Manufacturers' group Make UK said the measures would hinder Britain's recovery from its worst economic slump in more than 300 years in 2020. ""Economic history tells us that job cuts are most likely when the economy starts to open again after a downturn because firms need the capital to reset,"" said Chief Executive Stephen Phipson. ""After witnessing large-scale redundancies at the height of the pandemic and the plug being pulled on the furlough scheme, government should be putting in place measures to protect jobs and incentivise recruitment. An increase to NI would have the opposite effect"". Our Standards: The Thomson Reuters Trust Principles."
Sweden to remove most remaining pandemic restrictions this month,1809,"STOCKHOLM, Sept 7 (Reuters) - Sweden will push ahead with easing COVID-19 restrictions at the end of this month, removing most curbs and limits on public venues such as restaurants, theatres and stadiums, the government said on Tuesday. With most adults vaccinated, Sweden has gradually eased some restrictions during a summer lull in the pandemic. While it has seen infections mount in recent weeks amid the rapid spread of the more contagious Delta variant, deaths from the disease have remained low. Sweden has been an outlier in aspects of its handling of the disease, shunning hard lockdowns throughout the pandemic and relying heavily on voluntary recommendations regarding issues such as social distancing and hygiene. However, public gatherings such as concerts, sporting events and venues such as bars and restaurants have operated under tight crowd limits, curbs that are now set to be removed on Sept. 29, along with a recommendation to work from home. ""The important message is that we now take further steps in the return to normal everyday life,"" Health and Social Affairs Minister Lena Hallengren told a news conference. ""Our view has all the time been that restrictions should be lifted as soon as possible."" Hallengren said the government was also looking into the possible use of vaccination certificates for some activities, though it hoped these would not be necessary to impose in a country with a long history of high vaccination rates. About 70% of Swedes aged 16 and above are fully vaccinated. Sweden has suffered many times more COVID-19 deaths per capita than its Nordic neighbours, which opted for tighter curbs during the initial waves of the pandemic, but less than many larger European countries that employed hard lockdowns. Our Standards: The Thomson Reuters Trust Principles."
Factbox: Global big banks plot back-to-office plans as vaccines roll out,5516,"Sept 7 (Reuters) - The biggest banks in the world plan to reopen their offices, emboldened by aggressive vaccination drives and falling COVID-19 cases in major financial hubs, after sending most employees home early last year to help stem the spread of the coronavirus. The COVID-19 Delta variant's spread is prompting some firms to rethink their back-to-office plans, but many of Wall Street's biggest banks are sticking to their decision to bring back employees. Here is the state of play with back-to-office plans in various regions: UNITED STATES Wells Fargo & Co (WFC.N) The bank has pushed back its U.S. return-to-office date to Oct. 18. read more Goldman Sachs Group Inc (GS.N) The bank planned to bring U.S. employees back to the office by mid-June. read more JPMorgan Chase & Co (JPM.N) The largest U.S. bank has brought back employees in the United States to the office on a rotational basis from July. [USN:L4N2MK3UL][USN:L4N2MY3GD] Citigroup Inc (C.N) The bank expects vaccinated employees in New York, Chicago, Boston, Philadelphia and D.C. to start working from office for at least two days a week starting Sept. 13. For other corporate offices across the United States, Citi will continue to monitor data. read more Morgan Stanley (MS.N) The bank's chief executive officer, James Gorman, said if most employees are not back to work at the bank's Manhattan headquarters in September, he will be ""very disappointed"". read more Gorman said his bank's policy will vary by location, noting the firm's 2,000 employees in India will not return to offices this year. Bank of America Corp (BAC.N) The bank will only allow vaccinated staff to return to its offices in early September, while encouraging other employees to get inoculated. UNITED KINGDOM Barclays (BARC.L) CEO Jes Staley has said the bank will adopt a hybrid working model and will reduce its real estate footprint but maintain its main offices in London and New York. HSBC Holdings (HSBA.L) HSBC has adopted a new hybrid working model, with a 10% reduction in its global real estate footprint since the start of 2020. HSBC has said it plans to cut its global office footprint by around 40%. The lender moved 1,200 call center staff in Britain to permanent home working contracts, Reuters reported in April, going further than some rivals in cementing changes to working patterns. read more Lloyds Banking Group (LLOY.L) Britain's biggest domestic bank expects there will be three ways of working - at home, in the office, or a combination of the two - from October. The lender has said it plans to cut 20% of its office space over two years. read more Standard Chartered (STAN.L) StanChart said it will make permanent the flexible working arrangements introduced during the pandemic, and that it could cut a third of its office space in the next three to four years. read more Nine of the bank's markets, including the UK, have been on flexible working contracts for a few months. NatWest (NWG.L) CEO Alison Rose has said the bank is likely to adopt a hybrid working model, but has stressed offices will remain important as a place to bring people together to collaborate. The bank will adopt its new ways of working over the summer, with the majority of staff in England and Wales expected to be back in the office from September, dependent on government and public health advice, a spokesperson said. GERMANY Deutsche Bank (DBKGn.DE) Deutsche Bank in London had plans to bring more staff back from June 21, assuming the city's lockdown restrictions were loosened, according to a person with knowledge of the matter. Germany's largest lender has also told its U.S. investment bankers that it expects them to resume working from office no later than Labor Day, according to a memo seen by Reuters. The bank earlier said it was following a regional approach to the pandemic and return to the office issues, reflecting the different situations in individual countries. SWITZERLAND Credit Suisse (CSGN.S) Credit Suisse in July 2020 launched a global program evaluating various work-from-home options. It has been monitoring and adapting work arrangements since launching work-from-home globally in March 2020, taking into account local guidelines. UBS (UBSG.S) UBS Chairman Axel Weber in May said flexibility would remain part of work arrangements at Switzerland's biggest bank going forward, where roles allow. Return-to-office plans vary from region to region, in accordance with local government guidelines. CANADA Bank of Canada The central bank will allow most of its staff to remotely clock in as much as half of their working hours once public health guidelines allow it to fully reopen offices, a spokesperson said. read more The bank expects to bring back many employees after summer, but it does not see conditions returning to normal until 2022, according to a Bloomberg News report. https://bloom.bg/3kL8Dj2 Royal Bank of Canada (RY.TO) The country's largest lender, is exploring a flexible and hybrid work arrangement to bring its employees back to the office, Chief Executive Officer David McKay said. Canadian Imperial Bank of Commerce (CM.TO) CIBC plans to begin a phased return to office starting this fall for employees who have been working remotely. For a small number of staff, the move back could start in September, while for others, returns will be staggered from October into the first quarter of next year, a spokesperson said. Source: Company statements, memo, sources Our Standards: The Thomson Reuters Trust Principles."
"Squeaking, hairless and pink: twin giant pandas born at Madrid Zoo",1089,"MADRID, Sept 6 (Reuters) - Twin giant panda cubs were born at Madrid's zoo on Monday in a boost to conservation efforts for the vulnerable species, whose numbers have been rebounding thanks to an international captive breeding programme. The pair, whose sex is yet to be determined, are the fifth and sixth cubs of Madrid's female panda Hua Zui Ba and her partner Bing Xing, the zoo said. After four hours of labour, the first cub was born around 8:30 a.m., while the second followed four hours later in what the zoo described as a ""peaceful"" birth. Two technicians from China's Chengdu panda breeding base will assist local veterinarians in checking the health of the pink, hairless newborns, who will be totally dependent on their mother for the first four months of their life. In July, Chinese conservationists announced they no longer considered pandas to be an endangered species, upgrading their status a notch to vulnerable. The International Union for Conservation of Nature made a similar change to its classification in 2016. Our Standards: The Thomson Reuters Trust Principles."
Planned Parenthood wins restraining order against Texas anti-abortion group,2170,"Sept 3 (Reuters) - A Texas judge on Friday temporarily barred an anti-abortion group from suing Planned Parenthood to enforce a near-total ban on abortion in the state, handing the nation's largest abortion provider a small victory in the bitter legal fight. Travis County District Judge Maya Guerra Gamble granted Planned Parenthood a temporary restraining order against the anti-abortion group, Texas Right to Life, blocking the group and its allies from using an unusual mechanism of the Texas law that enables private citizens to sue anyone who provides or ""aids or abets"" an abortion after six weeks. The law took effect early on Wednesday in Texas after the U.S. Supreme Court did not act on abortion rights groups' request to block it. That suggests Supreme Court justices are closer than ever to overturning Roe v. Wade, the 1973 decision under which abortion rights have been protected. Guerra Gamble said in her three-page written order that allowing the so-called private enforcement mechanism to go forward while Planned Parenthood took further legal action would cause ""probable, irreparable and imminent injury"" that could not be cured later. The unusual enforcement mechanism gives the civil enforcement power to any party in or out of Texas who chooses to sue, while preventing government officials from enforcing the ban. The Travis County restraining order does not bar others from using the law against Planned Parenthood or other abortion providers in Texas. A hearing on a possible further injunction was set for Sept. 13. Helene Krasnoff, Planned Parenthood Federation of America's vice president for public policy litigation and law, expressed relief ""that the Travis County district court has acted quickly to grant this restraining order against Texas Right to Life and anyone working with them as deputized enforcers of this draconian law."" ""But make no mistake: this is not enough relief for Texas,"" she said. Elizabeth Graham, a Texas Right to Life vice president, said in a statement that her group ""will never back down from protecting pregnant women and preborn children from abortion.” Our Standards: The Thomson Reuters Trust Principles."
What you need to know about the coronavirus right now,3468,"Sept 7 (Reuters) - Here's what you need to know about the coronavirus right now: Indonesia records its lowest rate of positive tests Indonesia's daily coronavirus positivity rate dropped below the World Health Organization's benchmark standard of 5% this week for the first time, an indicator the country's devastating second wave could be easing. The positivity rate, or the proportion of people who test positive, peaked at 33.4% in July when Indonesia became Asia's coronavirus epicentre, driven by the highly contagious Delta variant. On Monday that rate fell to 4.57%, the lowest since March 2020, when Indonesia's first cases were reported, according to independent data initiative, Kawal COVID-19. read more Vaccination rates surge in Sydney's hard-hit suburbs Daily infections in Sydney fell for a third straight day on Tuesday but still lingered near record levels as the outbreak spurred a spike in vaccination rates in the hard-hit western suburbs of Australia's largest city. Officials have promised residents in Sydney, the epicenter of Australia's worst coronavirus flare-up, more freedom once vaccinations reach first 70%, then 80%, as a lockdown now into its eleventh week fails to quash the Delta variant. ""Don't be left behind when we start opening up. When we open up at 70% double dose, it will be only for those who are vaccinated,"" New South Wales state Premier Gladys Berejiklian said. read more Hong Kong to reopen China border for some residents Hong Kong leader Carrie Lam said on Tuesday that some residents from China and the former Portuguese colony of Macau will be allowed to enter the city without undergoing quarantine from Sept. 15, relaxing strict border restrictions. Speaking at her weekly press conference, Lam said the government would let up to a total of 2,000 residents from both places enter the financial hub each day, subject to certain requirements such as a negative COVID-19 test prior to arrival. Visitors would have to undergo 14 days of quarantine on return to the mainland or Macau. read more Reopen schools or disaster looms, experts tell Indian authorities Many top Indian epidemiolgists and social scientists are urging authorities to reopen in-person school classes for all age groups, saying the benefits outweigh the risks especially as poor rural children are missing out on online education. The recommendation comes as experts say another COVID-19 wave in India this year could be far less deadly, because a dramatic rise in cases in April and May means a majority of the population have been infected already, while more than half of its adults have been at least partly vaccinated. India last month approved its first COVID-19 shot for people under 18, though as of now only adults are being immunised. read more Get vaccine or please quit, Zimbabwe tells government workers Government workers in Zimbabwe who do not want to be vaccinated against COVID-19 should resign, its justice minister said on Tuesday. The southern African nation has so far vaccinated 2.7 million people, against a target of inoculating two-thirds of its 15 million population by the end of the year. President Emmerson Mnangagwa's government says it has paid for 12 million doses from China. Ziyambi Ziyambi said while Zimbabweans would not be forced to get vaccinated, those in the public service had a responsibility to protect the public by getting COVID-19 shots. read more Our Standards: The Thomson Reuters Trust Principles."
