Title,Len,Content
Pandemic lessons: 'We need to look beyond clinical silos to value-based medicine',6611,"By Dr K Ellangovan
Healthcare services have never been a subject of intense debates and deliberations as seen now than any time in the recent past.

Covid-19 shook human conscience, deranged economies, disrupted life and exposed inadequacies in our healthcare system.
Millions have perished across the globe, perhaps in the worst pandemic of the century. Is it just that we were caught unprepared? Or are there fundamental issues in scaling up our healthcare services at short notice?

The reasons may be both. Our healthcare system just lacked the required resilience to withstand the virus onslaught. Human resources worked overtime, almost to the stage of collapse.
The supply chain broke down exposing serious glitches in the industry-hospital supply lines.
Countries across the globe suffered more or less, due to the mismatch of the healthcare system’s capacity with overwhelming patient turnout.
We have learnt lessons, bitter ones. There is an overwhelming demand for a relook at our healthcare system to understand its ability to manage pandemic situations.
The issues of scalability, accessibility and vulnerability are the focal points in the discussions.
When public health initiatives fail at the periphery, hospital load increases.
The pressure varies according to the disease load in the population and the transmission rate of the infection. A large turnout of patients deranges the care service in hospitals.
Our views on hospitals vary with experiences we undergo. Sometimes, we are happy with the services we received and yet, at times we criticize them, due to adverse outcomes.
Suspicion creeps into the doctor-patient relationship primarily due to huge asymmetry of information between them.
Hospitals and doctors are increasingly facing compensation suits and criminal cases, and this has altered the doctor-patient equation leading to a drastic change in the way treatment is administered in many hospitals.
Doctors resort to ‘defensive practice’, often ordering unnecessary investigations which ultimately inflates bills.
Any attempt to enforce accountability has met with resistance.
Doctors defend their actions and resent external scrutiny. Hospitals with a good process of care seldom face such situations.
Excellence in healthcare should address quality, cost and access---the three fundamental issues in healthcare.
Although public hospitals are deemed to deliver free service and medicines, in reality they do not. The need to use private diagnostic services and buy medicines on prescriptions creates a financial barrier in public hospitals for the poor.
The resistance to prescribe generic drugs adds up to medicine costs, and so do inappropriate use of antibiotics and the tendency to use newer branded molecules.
Unregulated pricing structure in private hospitals, in any case, has been a huge barrier for accessing services by the poor.
Physicians argue that the appropriateness of care process constitutes quality. Therefore, quality cannot be assessed by patients, who are not in a position to evaluate the services as interested parties and further, due to the lack of subject knowledge.
On the other side, patients contend that their experience is subsumed in the quality of services.
Therefore, clinical outcomes combined with patient experience should define the quality of services. Thus, there is no common ground as to what constitutes quality in healthcare.
So, most healthcare providers in the developed economies have embraced the practice of ‘evidence-based medicine’.
The clinical decisions are based on the evidence adduced through investigations and therefore are expected to be appropriate.
Indeed, in a way this was mandated by the private payer of service to standardize the care process, eliminate medical errors and regulate the outflow of funds.
Evidence-based medicine reiterates the physicians’ point of view in equating quality with the appropriateness of care but lacked the patients’ perspectives.
Therefore, of late, the concept of evidence-based medicine is increasingly replaced by ‘value-based medicine’.
It is essentially about the value that is created to the patients, in the course of the treatment process, and encompasses appropriateness of care, patient experience and the cost incurred for that experience.
It reflects the physicians’ and the patients’ perspectives. The need to embrace this approach became a necessity as part of achieving a patient's endorsement, an element that brings in a fair degree of accountability.
Accountability is generally low in publicly-funded institutions. Even in private clinics where service is met through out-of-pocket expenditures, owing to poor regulations there is a wide variation in the quality of service.
However, building too much accountability is seen to drive the cost upwards, as demonstrated in some developed economies.
Only if all hospitals develop a system approach to standardize the care process, define outcomes, measure the outcome, and publish them, not only will the credibility of the institution improve but even the resultant accumulation of new knowledge will certainly add to the quality of care.
If the patients’ experience is factored in, the service rendered will be valued by the patient community, leading to high levels of acceptance. Is it quite relevant to understand to what extent the delivery of services in publicly-funded hospitals match the expectations of the patients, the government, and the payer?
The answer to this question is dissatisfying and incites arguments and counter arguments. Indeed, most of us believe that public hospitals provide very basic healthcare service.
In the context of comorbidities forming the majority of caseloads in the population, an integrated medical service designed around the medical conditions is required. However, ground realities establish that healthcare services are provided from the ‘clinical silos’ created in the individual departments. Indeed, the care process is also fragmented and there is no process of care defined across the service departments.
The counter argument to this narrative is that these hospitals are perpetually overloaded and physician services are over-stretched.
This raises questions of whether there exists a need to design services in these hospitals around the medical conditions.
Whether it will create greater focus on developing expertise on specific illness is something that the policy makers have to ponder over.
(The writer is a senior bureaucrat. The article is a summary of his recent book, “Creating Value in Health Care: Towards improving clinical & patient outcomes”)
"
Nashik ZP health staff under stress as NHM issue continues,1744,"Nashik: The healthcare workers in Nashik Zilla Parishad are feeling the strain of staff crunch as the stalemate over re-engaging the contractual workers under the National Health Mission continues.
As many as 706 employees were relieved by the ZP on August 1 on the instructions of the state government as the Centre had stopped financial support for payment of their salaries under the NHM.

After these contractual employees were relieved from the services, swab collection in the rural areas dropped significantly. The swab collection of around 7,000 a day has dropped to 4,000 a day. “These employees who were recruited exclusively for treating covid patients through the NHM have been relieved. The regular staff facing is problems in providing services to some extent. We are sure the government will find a way out soon,” said Rahul Hadpe of District Health Mission.
It may be noted that district guardian minister Chhagan Bhujbal pointed out that the staff should be hired immediately but the things have not changed.

District collector Suraj Madhare said that the administration was trying to figure out the way to foot the salary bill of around Rs 1.5 crore for all the employees through the district planning committee and the state disaster response fund.
“We have written to the state government seeking directions on the issue. We are hopeful that a solution will work out before the third wave of Covid hits us,” said Mandhare. The staff has also been trained in handling various equipment, including ventilators and oxygen apparatus besides other technical things. “They are an asset to us. These people have been trained to handle emergencies, ventilators and oxygen systems, along with pediatric care,” another officer said.
"
"BCCI to facilitate 30,000 RT-PCR tests during IPL 2nd phase, medical staff to stay in same bubble",2383,"DUBAI: The BCCI, along with its medical service provider VPS Healthcare, will facilitate the conduct of over 30,000 RT-PCR tests on all IPL players, support staff and other stakeholders during the remaining 31 games of the cash-rich league in the UAE.
In fact, the Dubai-based health care company is also in charge of emergency treatment of players, sports medicine experts and even air ambulance support during the tournament that starts on September 19.

To avoid players moving out of the IPL bio-bubble for any kind of medical emergency, the nursing and medical staff will be accommodated in the same hotel bio-bubbles.
The rescheduled IPL will have RT-PCR testing every third day, instead of every fifth day during the last edition in the UAE.

It is learnt that to cater to the needs of the players and other participants of the IPL, it has set up a 100-member multidisciplinary team for sports medicine and COVID-19 management.
Two medical teams comprising doctors, nurses, paramedics and laboratory technicians will be assigned to each stadium for every match.
Ahead of the arrival of the players, VPS Healthcare completed testing for over 750 hotel staff across 14 hotels in Dubai and Abu Dhabi.
On August 13, it started testing the players of the Mumbai Indians and Chennai Super Kings teams. With the updated protocol requiring players and officials to get tested once every three days, the healthcare provider anticipates over 30,000 PCR tests this year.
It has the capacity to conduct 2,000 PCR tests for the IPL each day, with a turnaround time of 6-8 hours. Moreover, to ensure secure bio-bubbles, nurses and other medical staff are accommodated in the same 14 hotels as the players till the end of the tournament.
Dr. Shajir Gaffar, CEO of VPS Healthcare (Dubai and Northern Emirates), said, ""Our team is completely equipped to take care of the medical needs of the IPL participants.
""The UAE has a good strike rate in seamlessly conducting high-profile sports events during the pandemic. Even in these challenging times, the country is setting new benchmarks in expertly managing international sporting tournaments through its state-of-the art stadiums, watertight measures, and well-trained personnel.
""With the second leg of the IPL and ICC T20 World Cup happening back-to-back, the UAE can solidify its pioneering position as a safe global sporting destination.""
"
BCCI reappoints NRI-led healthcare group as medical partner for IPL matches,3217,"With the rescheduled Indian Premier League (IPL) matches set to be held between September 19 and October 15 in the United Arab Emirates, the Board of Control for Cricket in India (BCCI) has renewed its association with VPS Healthcare; one of the largest healthcare providers in the country, founded by Dr Shamsheer Vayalil, a non-resident Indian from Kerala.
For the second consecutive year, the UAE-based group will be the healthcare partner for the IPL tournament, monitoring Covid-19 RT-PCR testing. The tournament will take place over 31 matches across Abu Dhabi, Sharjah, and Dubai with an updated testing protocol requiring more COVID19 tests than last year. Each player will have to undergo testing once in three days with the first test at the airport and then testing on 2,4,6 days in the week. This will be followed by testing on every third day until the tournament ends. Last year, the protocol was the first test at the airport and then testing on 3,5,7 days in the first week. Then testing was required every five days until the tournament was over.

To ensure a safe IPL experience, VPS Healthcare has made elaborate arrangements in all its hospitals across the Emirates, according to a press release from the company. As the official medical partner, the group will be responsible for providing a broad range of services including emergency medical services, sports medicine support, musculoskeletal imaging, specialist teleconsultation, doctor-on-call, and ambulance/air ambulance support. To cater to the needs of the players and other participants of the IPL, it has set up a 100-member multidisciplinary team for sports medicine and Covid-19 management. Two medical teams comprising doctors, nurses, paramedics and lab technicians will be assigned to each stadium for every match.
""Last year, during the IPL 2020 tournament, we conducted around 44,000 COVID19 tests successfully having worked with the players and other BCCI stakeholders. This year too, our team is committed to following the strictest standard operating procedure to ensure a safe environment with the staff at the hotels and our own staff following the same protocol as the IPL players and as part of the same bio-bubble. We have successfully provided these services for other big sporting events too and have been following the best standard operating procedures globally,"" Dr Shajir Gaffar, CEO of VPS Healthcare (Dubai and Northern Emirates), told Timesofindia.com.

He added that the UAE has a good strike rate in seamlessly conducting high-profile sports events during the pandemic, with the second leg of the IPL and ICC T20 World Cup scheduled back-to-back. ""The UAE is in a pioneering position as a safe global sporting destination with the highest standards of following protocols, testing and contact tracing being implemented. Besides, 90% of the population in the UAE is fully vaccinated.""
During the 2020 IPL season, VPS Healthcare handled 80 hospital visits and facilitated the treatment of 156 injuries across its hospitals. The group also offered Covid-related services for other international sporting events including the UAE Cycling Tour, AFC Champions League group stage matches, T10, UFK, and UAE Warriors.
"
Every fourth eligible person in Delhi is now fully vaccinated; North West district leads chart,2990,"NEW DELHI: With Covid vaccination picking up pace in the city, the number of people getting the second dose and completing the inoculation cycle is rapidly going up. More than 41 lakh of the approximate 1.5 crore eligible population in Delhi, or every fourth eligible citizen, is now fully vaccinated.
Till 6pm on Monday, 1,42,66,435 vaccine doses had been administered in Delhi, including 1,01,49,595 as first dose and 41,16,840 as second. This means that 67.7% of all eligible Delhiites have received at least one jab, while 27.4% are now fully vaccinated.



As with the overall vaccination programme, it is once again the youth leading those getting the second dose. Although the approximately 92 lakh individuals in the 18-44 age bracket were the last to become eligible for inoculation from May 3, they have already received more than 81 lakh, or nearly 57%, of the vaccine doses administered till 6pm on Monday.

The age breakup of vaccine doses administered till Sunday, shows 58 lakh people in the 18-44 age group have received at least one jab, with more than 12.5 lakh having got both. In comparison, the individuals aged 45 years or above and who have received at least one dose number nearly 35.3 lakh, including 22.4 lakh who are now fully vaccinated. This is apart from the 2.2 lakh healthcare workers and 3.5 lakh frontline workers who have received both the doses.
As the government vaccination sites are closed on Sundays, only 2,291 first dose and 6,062 second ones were administered. In the latter group, 5,036 were in the 18-44 age bracket and 971 were aged 45 and above, apart from 55 healthcare and frontline workers.
In a similar way, Saturday saw 16,007 individuals aged 45 years and above receiving the second dose, while those in the 18-44 category far outnumbered them at 47,256. Friday saw 12,977 of the former and 32,710 of the latter being administered the second dose, while the figures for Thursday were, respectively, 14,351 and 30,883.
When comparing the total number of doses administered, those aged 60 years and above account for 21,68,684, which is 15.2% of all vaccines administered in Delhi till date. Those in the 45-59 years category have received 39,78,473 doses, which is nearly 27.8% of all doses administered.
The youth has been the wheel of the vaccination drive in Delhi, in spite of not only becoming eligible later but the inoculation drive for this age group being halted a few times in May and June due to vaccine shortage and when people eligible for their second vaccine dose were given the priority.
Taking the total numbers into account, North-West district has administered the highest number of both the first (12,31,105) and second doses (4,77,474) among the 11 districts of the capital. It is followed by South West (4,69,849) and West (4,66,685) districts when it comes to citizens who are now fully vaccinated. In contrast, North-East district logged the least number of second doses of vaccine being administered at 2,04,977.
"
High courts were bastions of ensuring justice during Covid-19: Supreme Court,1603,"NEW DELHI: The Supreme Court on Monday while dismissing an appeal by the Manipur government, observed that High Courts were bastions of ensuring that justice was dispensed during the Covid-19 pandemic.
The court said this while dismissing an appeal filed by the Manipur government challenging the high court's order directing the state to frame exhaustive rules for combating Covid-19.

A Bench of Justices DY Chandrachud, Vikram Nath and Hima Kohli also remarked on the pathetic condition of quarantine centres maintained by the State.
Dismissing the appeal of the Manipur government, the Bench said that the high court was absolutely justified in passing the directions.

""Our high courts were bastions of ensuring that justice was done during the Covid-19 pandemic... Your standard quarantine centres were pathetic. There were no separate washrooms for male and female. Healthcare workers did not change the beddings regularly. The high court has passed a calibrated order. We are not going to give you a character certificate,"" said the apex court.
The Manipur government had approached the top court challenging the Manipur high court's July 16, 2020 order which had directed the State government to constitute a committee of experts that may advise the government as to the course of action that may be adopted to prevent the spread of Covid-19, after holding regular deliberations with all the stakeholders.
The high court had observed that even though the state government had been trying its best level to contain the pandemic, there was no information regarding the same in the public domain.
"
"PM Modi to interact with healthcare workers, Covid-19 vaccine beneficiaries in Himachal today",1202,"NEW DELHI: Prime Minister Narendra Modi on Monday would interact with healthcare workers and beneficiaries of the Covid-19 vaccination program in Himachal Pradesh at 11am through video conferencing.
""Himachal Pradesh has set a benchmark in the fight against Covid-19 by giving the first dose of vaccine to all eligible people. Will have the privilege of interacting with many such beneficiaries and health workers of the state through video conferencing tomorrow at 11 am,"" informed PM Modi in a tweet in Hindi.



Himachal Pradesh has successfully covered its entire eligible population with the first dose of Covid-19 vaccination, the Prime Minister's Office said.

The efforts by the state included geographical prioritization to focus on difficult terrains, initiatives to ensure mass awareness, and door to door visits by ASHA workers, among others, informed an official release by the Prime Minister's office.
The state gave special attention to women, the elderly, divyangjans, industrial workers, daily wagers etc and undertook special campaigns like ""Suraksha ki Yukti-Corona se Mukti"" to attain this milestone.
Himachal Pradesh chief minister Jai Ram Thakur will be present during the event.
"
Healthcare worker contracts Covid,652,"Ludhiana: A healthcare worker tested positive for Covid-19 in the district on Sunday.
With no death reported on the day, the district’s toll tally stands at 2,097 and that of outsiders here is 1,049.

Civil surgeon Dr Kiran Ahluwalia said to date, 23,21,472 persons have been tested. A patient from outside Ludhiana, too, tested positive here.
The local health department officials said the district’s case count is 87,483 and that of outsiders here is 11,661.

So far, 85,363 patients have recovered, which constitutes 97.58% of the total cases.
There are 23 active cases. On Sunday, the number of samples taken was 8,957.
No person is on ventilator.
"
West Bengal: Floating hospital takes digital healthcare to Sunderbans,1008,"KOLKATA: Sunderbans got a floating digital health clinic on Saturday, supported by a software developed in association with Johan Hopkins University and loaded with affordable diagnostic devices developed by IIT-Kharagpur and IIT-Guwahati. The clinic also has doctors and other healthcare professionals aboard the motorized boat clinic that travels across islands to provide healthcare services.
An initiative of the Foundation for Innovations in Health (FIH), two land e-health clinics at Gosaba and Maipith are also a part of the project titled ‘Uday: Choukathe Daktar’, with grants from Ficci.
“We, at Ficci, are proud to support the initiative,” said Ficci deputy secretary general Nirankar Saxena.
FIH will also set up a training center for youths in allied medical sciences in the mangrove. “We have already established 27 such digital health clinics in different districts. This time, we have set foot on the mangrove island,” said Satadal Saha who started FIH along with fellow doctor GR Vijaykumar.
"
All healthcare staff in Lucknow given at least 1 shot,2109,"LUCKNOW: Eight months since the start of the mass immunisation campaign in January, the health department in Lucknow has now been able to inoculate almost the entire healthcare community with at least a shot of the vaccine, while 78% have been fully vaccinated.
The target was to fully vaccinate all healthcare workers in Lucknow by March this year. There are about 79,000 healthcare workers in various government and private medical facilities. Of these 40% are women.


TIMESVIEW

Healthcare workers have been at the forefront of the fight against Covid pandemic. They have a dual responsibility of protecting themselves and the public. For this, they need to set an example for the general public by getting themselves fully vaccinated and follow covid appropriate behaviour.





The vaccination of the healthcare staff started on January 16.
However, according to data available at the chief medical officer’s office, till date, 78,509 (99.3%) have received at least a vaccine shot.
A further break-up shows that 62,267 (78.8%) have completed the two-dose course, while around 16,242 beneficiaries have taken a dose and are waiting for the gap period to end to take the second. CMO spokesperson Yogesh Raghuvanshi said that almost all the healthcare workers have been vaccinated and most of those still left are ineligible because of certain health issues.
The delay in vaccination of healthcare workers was caused because many employees of private hospitals did not register themselves initially. Later, new recruitments and those transferred to Lucknow from other districts were added. The final count reached 79,000 in July.
Experts opined that the health department should push the drive further and inoculate healthcare workers waiting for a second dose as early as possible.
Former head of the Indian Institute of Medical Sciences-BHU, Prof Anil Kumar Gulati, said, “Full vaccination will provide healthcare workers protection while tackling the probable third Covid-19 wave.” However, he added, healthcare workers will have to continue to follow Covid protocols even after being fully vaccinated.
"
