Title,Publishing Date,Source
Pandemic lessons: 'We need to look beyond clinical silos to value-based medicine',11 SEP  2021,https://timesofindia.indiatimes.com/city/kochi/pandemic-lessons-we-need-to-look-beyond-clinical-silos-to-value-based-medicine/articleshow/86110002.cms
Nashik ZP health staff under stress as NHM issue continues,9 SEP  2021,https://timesofindia.indiatimes.com/city/nashik/nashik-zp-health-staff-under-stress-as-nhm-issue-continues/articleshow/86045279.cms
"BCCI to facilitate 30,000 RT-PCR tests during IPL 2nd phase, medical staff to stay in same bubble",8 SEP  2021,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/bcci-to-facilitate-30000-rt-pcr-tests-during-ipl-2nd-phase-medical-staff-to-stay-in-same-bubble/articleshow/86037140.cms
BCCI reappoints NRI-led healthcare group as medical partner for IPL matches,8 SEP  2021,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/bcci-reappoints-nri-led-healthcare-group-as-medical-partner-for-ipl-matches/articleshow/86036777.cms
Every fourth eligible person in Delhi is now fully vaccinated; North West district leads chart,7 SEP  2021,https://timesofindia.indiatimes.com/city/delhi/every-fourth-eligible-person-in-delhi-is-now-fully-vaxxed-north-west-district-leads-chart/articleshow/85989719.cms
High courts were bastions of ensuring justice during Covid-19: Supreme Court,6 SEP  2021,https://timesofindia.indiatimes.com/india/high-courts-were-bastions-of-ensuring-justice-during-covid-19-supreme-court/articleshow/85979563.cms
"PM Modi to interact with healthcare workers, Covid-19 vaccine beneficiaries in Himachal today",6 SEP  2021,https://timesofindia.indiatimes.com/india/pm-modi-to-interact-with-healthcare-workers-covid-19-vaccine-beneficiaries-in-himachal-today/articleshow/85965740.cms
Healthcare worker contracts Covid,6 SEP  2021,https://timesofindia.indiatimes.com/city/ludhiana/healthcare-worker-contracts-covid/articleshow/85957505.cms
West Bengal: Floating hospital takes digital healthcare to Sunderbans,5 SEP  2021,https://timesofindia.indiatimes.com/city/kolkata/floating-hosp-takes-digital-healthcare-to-sunderbans/articleshow/85933989.cms
All healthcare staff in Lucknow given at least 1 shot,4 SEP  2021,https://timesofindia.indiatimes.com/city/lucknow/all-healthcare-staff-in-city-given-at-least-1-shot/articleshow/85912976.cms
Many healthcare and frontline workers have not gone for 2nd dose,4 SEP  2021,https://timesofindia.indiatimes.com/city/ludhiana/many-healthcare-and-frontline-workers-have-not-gone-for-2nd-dose/articleshow/85908590.cms
Maharashtra: Healthcare staff vax volume low,3 SEP  2021,https://timesofindia.indiatimes.com/city/mumbai/mumbai-healthcare-staff-vax-volume-low/articleshow/85881388.cms
"More than 90% frontline workers, 80% healthcare staffers got first jab in PMR",3 SEP  2021,https://timesofindia.indiatimes.com/city/pune/more-than-90-frontline-workers-80-healthcare-staffers-got-first-jab-in-pmr/articleshow/85880348.cms
Andhra Pradesh: Man dies after taking Covid vaccine in Krishna district,2 SEP  2021,https://timesofindia.indiatimes.com/city/vijayawada/andhra-pradesh-man-dies-after-taking-covid-vaccine-in-krishna-district/articleshow/85855058.cms
1 in 5 healthcare workers yet to receive second Covid vaccine shot,2 SEP  2021,https://timesofindia.indiatimes.com/india/1-in-5-healthcare-workers-yet-to-receive-second-covid-vaccine-shot/articleshow/85851568.cms
Breakthrough Covid-19 infections found in 25% healthcare staff: Study,31 AUG  2021,https://timesofindia.indiatimes.com/india/breakthrough-covid-19-infections-found-in-25-healthcare-staff-study/articleshow/85798255.cms
"Soothe Healthcare raises Rs 100 crore led by Gulf Islamic Investments, Incred",31 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/soothe-healthcare-raises-rs-100-crore-led-by-gulf-islamic-investments-incred/articleshow/85778881.cms
Village health centres hit by lack of officers to run them,28 AUG  2021,https://timesofindia.indiatimes.com/city/noida/village-health-centres-hit-by-lack-of-officers-to-run-them/articleshow/85712643.cms
Covid concerns loom as Maharashtra festival season starts on Monday,29 AUG  2021,https://timesofindia.indiatimes.com/city/mumbai/covid-concerns-loom-as-maharashtra-festival-season-starts-on-mon/articleshow/85726128.cms
‘Nagpur close to being all-round medical hub’,29 AUG  2021,https://timesofindia.indiatimes.com/city/nagpur/nagpur-close-to-being-all-round-medical-hub/articleshow/85724321.cms
"Reopen schools in Delhi but tread with caution, say experts",28 AUG  2021,https://timesofindia.indiatimes.com/india/reopen-schools-in-delhi-but-tread-with-caution-say-experts/articleshow/85710191.cms
"Reopen schools in Delhi but tread with caution, say experts",28 AUG  2021,https://timesofindia.indiatimes.com/home/education/news/reopen-schools-in-delhi-but-tread-with-caution-say-experts/articleshow/85709945.cms
Maharashtra: ‘Healthcare in rural hospitals suffered due to manpower shortage in pandemic’,28 AUG  2021,https://timesofindia.indiatimes.com/city/mumbai/healthcare-in-rural-hosps-suffered-due-to-manpower-shortage-in-pandemic/articleshow/85696248.cms
"Those who have ‘packet milk’ won’t find gold in it, says Bengal BJP chief Dilip Ghosh",28 AUG  2021,https://timesofindia.indiatimes.com/city/kolkata/those-who-have-packet-milk-wont-find-gold-in-it-dilip/articleshow/85702892.cms
"No rest till all eligible persons get vaccinated, says President Ram Nath Kovind",27 AUG  2021,https://timesofindia.indiatimes.com/city/lucknow/no-rest-till-all-eligible-persons-get-vaccinated-says-president-ram-nath-kovind/articleshow/85691675.cms
Attacks on healthcare workers: Kerala HC orders govt to act swiftly,27 AUG  2021,https://timesofindia.indiatimes.com/city/kochi/attacks-on-healthcare-workers-kerala-hc-orders-govt-to-act-swiftly/articleshow/85689106.cms
Why Kerala failed to flatten the curve: Experts cite multiple factors,27 AUG  2021,https://timesofindia.indiatimes.com/city/kochi/experts-cite-multiple-factors-for-covid-19-surge-in-kerala/articleshow/85675285.cms
Half of India’s adults have now got at least one dose of vaccine,27 AUG  2021,https://timesofindia.indiatimes.com/india/half-of-indias-adults-have-now-got-at-least-one-dose-of-vaccine/articleshow/85672694.cms
Udupi: Mission Hospital selected to train Covid warriors,26 AUG  2021,https://timesofindia.indiatimes.com/city/mysuru/udupi-mission-hospital-selected-to-train-covid-warriors/articleshow/85656956.cms
Fullife Healthcare partners with Parry Nutraceuticals,26 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/fullife-healthcare-partners-with-parry-nutraceuticals/articleshow/85651457.cms
‘New appointment policy will strengthen healthcare facilities’,26 AUG  2021,https://timesofindia.indiatimes.com/city/ranchi/new-appointment-policy-will-strengthen-healthcare-facilities/articleshow/85639563.cms
Experts favour booster for healthcare workers,26 AUG  2021,https://timesofindia.indiatimes.com/city/pune/experts-favour-booster-for-healthcare-workers/articleshow/85639173.cms
Private companies back health-tech start-ups amidst pandemic,25 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/private-companies-back-health-tech-start-ups-amidst-pandemic/articleshow/85634152.cms
Children from SOS Children’s Villages of India send rakhis to doctors,22 AUG  2021,https://timesofindia.indiatimes.com/life-style/spotlight/children-from-sos-childrens-villages-of-india-send-rakhis-to-doctors/articleshow/85533380.cms
Delhi: Brother donates kidney to elder sister,22 AUG  2021,https://timesofindia.indiatimes.com/city/delhi/bro-donates-kidney-to-elder-sister/articleshow/85526229.cms
"Goa: 122 new Covid infections, 111 recover",22 AUG  2021,https://timesofindia.indiatimes.com/city/goa/122-new-covid-infections-111-recover/articleshow/85525908.cms
‘ZyCoV-D vax could be 2-dose regimen in future’,22 AUG  2021,https://timesofindia.indiatimes.com/city/goa/zycov-d-vax-could-be-2-dose-regimen-in-future/articleshow/85525897.cms
Philippines' Duterte orders payment of healthcare workers' benefits,21 AUG  2021,https://timesofindia.indiatimes.com/world/rest-of-world/philippines-duterte-orders-payment-of-healthcare-workers-benefits/articleshow/85508432.cms
Girijashankar Sundaresan’s Independence Day single is a tribute to healthcare workers,21 AUG  2021,https://timesofindia.indiatimes.com/entertainment/tamil/music/girijashankar-sundaresans-independence-day-single-is-a-tribute-to-healthcare-workers/articleshow/85506540.cms
"BITS, Hyderabad launches new mental healthcare centre",20 AUG  2021,https://timesofindia.indiatimes.com/home/education/news/bits-hyderabad-launches-new-mental-healthcare-center/articleshow/85489385.cms
Government panel recommends emergency use authorisation to Zydus Cadila's 3-dose Covid vaccine,20 AUG  2021,https://timesofindia.indiatimes.com/india/government-panel-recommends-emergency-use-authorisation-to-zydus-cadilas-3-dose-covid-vaccine/articleshow/85486582.cms
"Karnataka: Girls in govt schools, colleges to get free sanitary napkins",20 AUG  2021,https://timesofindia.indiatimes.com/city/bengaluru/girls-in-govt-schools-colleges-to-get-free-sanitary-napkins/articleshow/85469317.cms
Mamata to hold review meeting on healthcare every 15 days,19 AUG  2021,https://timesofindia.indiatimes.com/india/mamata-to-hold-review-meeting-on-healthcare-every-15-days/articleshow/85466286.cms
Putting Tech in MedTech - R&D is the Backbone of Innovation in Healthcare,19 AUG  2021,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/putting-tech-in-medtech-rd-is-the-backbone-of-innovation-in-healthcare/articleshow/85451824.cms
"In Mysuru, most Covid patients breathed their last at hospitals",18 AUG  2021,https://timesofindia.indiatimes.com/city/mysuru/in-mysuru-most-covid-patients-breathed-their-last-at-hospitals/articleshow/85436313.cms
"Covid-19: With no beds, hospitals ship patients to far-off cities",19 AUG  2021,https://timesofindia.indiatimes.com/world/us/covid-19-with-no-beds-hospitals-ship-patients-to-far-off-cities/articleshow/85447354.cms
Healthcare sector growth boosts work opportunities,19 AUG  2021,https://timesofindia.indiatimes.com/city/pune/healthcare-sector-growth-boosts-work-opportunities/articleshow/85439078.cms
"Quality education, health taking Delhi on US growth path: Minister Satyendar Jain",18 AUG  2021,https://timesofindia.indiatimes.com/city/delhi/quality-edu-health-taking-delhi-on-us-growth-path/articleshow/85442095.cms
Puducherry logs 60 fresh Covid-19 cases,18 AUG  2021,https://timesofindia.indiatimes.com/city/puducherry/puducherry-logs-60-fresh-covid-19-cases/articleshow/85423623.cms
Jaipur: J.K .Lon & mahila hospitals get host of healthcare facilities,18 AUG  2021,https://timesofindia.indiatimes.com/city/jaipur/jaipur-j-k-lon-mahila-hospitals-get-host-of-healthcare-facilities/articleshow/85421601.cms
Single vax shot doesn’t offer much protection against Covid-19: Delhi study,18 AUG  2021,https://timesofindia.indiatimes.com/city/delhi/single-vax-shot-doesnt-offer-much-protection-against-covid-19-study/articleshow/85418589.cms
Single Covid-19 vaccine shot offers virtually no shield: Hospital study,18 AUG  2021,https://timesofindia.indiatimes.com/india/1-covid-19-vaccine-shot-offers-virtually-no-shield-hospital-study/articleshow/85417496.cms
Covid-19: Navi Mumbai to administer only second dose of Covaxin on Tuesday,17 AUG  2021,https://timesofindia.indiatimes.com/city/navi-mumbai/covid-19-navi-mumbai-to-administer-only-second-dose-of-covaxin-on-tuesday/articleshow/85391055.cms
New York orders all healthcare workers to get Covid-19 vaccine,16 AUG  2021,https://timesofindia.indiatimes.com/world/us/new-york-orders-all-healthcare-workers-to-get-covid-19-vaccine/articleshow/85375180.cms
GeBBS Healthcare acquires Aviacode Medical Coding,13 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/gebbs-healthcare-acquires-aviacode-medical-coding/articleshow/85309593.cms
Mobile vax drive in rural areas in Trichy,11 AUG  2021,https://timesofindia.indiatimes.com/city/trichy/mobile-vax-drive-in-rural-areas-in-trichy/articleshow/85222334.cms
States that had a grip on Covid now seeing a crush of cases,13 AUG  2021,https://timesofindia.indiatimes.com/world/us/states-that-had-a-grip-on-covid-now-seeing-a-crush-of-cases/articleshow/85288666.cms
How to avoid an eye infection this monsoon,12 AUG  2021,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/how-to-avoid-an-eye-infection-this-monsoon/articleshow/85267283.cms
Odisha's Covid helpline number flooded with prank calls,12 AUG  2021,https://timesofindia.indiatimes.com/city/bhubaneswar/odishas-covid-helpline-number-flooded-with-prank-calls/articleshow/85265559.cms
Bhagalpur to get trauma centre,12 AUG  2021,https://timesofindia.indiatimes.com/city/patna/bhagalpur-to-get-trauma-centre/articleshow/85251678.cms
Karnataka medical practitioners keen on booster doses,12 AUG  2021,https://timesofindia.indiatimes.com/city/bengaluru/karnataka-medical-practitioners-keen-on-booster-doses/articleshow/85261093.cms
Odisha Covid-19 helpline number flooded with prank calls,11 AUG  2021,https://timesofindia.indiatimes.com/city/bhubaneswar/odisha-covid-19-helpline-number-flooded-with-prank-calls/articleshow/85250646.cms
Hinduja arm sells healthcare business to PE Baring for $1.2bn,11 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/hinduja-arm-sells-healthcare-business-to-pe-baring-for-1-2bn/articleshow/85229003.cms
HGS to sell healthcare business to PE firm Baring for $1.2 billion,10 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/hgs-to-sell-healthcare-business-to-pe-firm-baring-for-1-2-billion/articleshow/85205398.cms
Puducherry sees 63 fresh Covid cases,10 AUG  2021,https://timesofindia.indiatimes.com/city/puducherry/puducherry-sees-63-fresh-covid-cases/articleshow/85199078.cms
"Pune: Vaccine exchange plan lets private hospitals lend excess stock, get fresh doses in return",10 AUG  2021,https://timesofindia.indiatimes.com/city/pune/vax-exchange-plan-lets-pvt-hosps-lend-excess-stock-get-fresh-doses-in-return/articleshow/85193028.cms
Tokyo Olympics 2020: Gulf-based Indian businessman announces Rs 1 Crore award to PR Sreejesh,9 AUG  2021,https://timesofindia.indiatimes.com/sports/tokyo-olympics/india-in-tokyo/tokyo-olympics-2020-gulf-based-indian-businessman-announces-rs-1-crore-award-to-pr-sreejesh/articleshow/85173143.cms
NRI entrepreneur Dr. Shamsheer Vayalil announces 1 crore reward for hockey star Sreejesh,9 AUG  2021,https://timesofindia.indiatimes.com/nri/middle-east-news/nri-entrepreneur-dr-shamsheer-vayalil-announces-1-crore-reward-for-hockey-star-sreejesh/articleshow/85171637.cms
"6 months on, Karnataka yet to fully jab healthcare and frontline staff",9 AUG  2021,https://timesofindia.indiatimes.com/city/bengaluru/6-months-on-ktaka-yet-to-fully-jab-healthcare-and-frontline-staff/articleshow/85166079.cms
Only 1 Covid +ve case in district after 15 months,8 AUG  2021,https://timesofindia.indiatimes.com/city/nagpur/only-1-covid-ve-case-in-dist-after-15-months/articleshow/85138911.cms
"Healthcare devices under Rs 1,000: Save up to 70% on bp monitors, glucometers & more during Amazon sale",7 AUG  2021,https://timesofindia.indiatimes.com/most-searched-products/todays-deals/amazon/healthcare-devices-under-rs-1000-save-up-to-70-on-bp-monitors-glucometers-more-during-amazon-sale/articleshow/85123609.cms
Mumbai: List of Covid-19 vaccination centres operational on Saturday,7 AUG  2021,https://timesofindia.indiatimes.com/city/mumbai/mumbai-list-of-covid-19-vaccination-centres-operational-on-saturday/articleshow/85119724.cms
Tamil Nadu chief minister M K Stalin launches health scheme in 8 districts,6 AUG  2021,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-chief-minister-m-k-stalin-launches-health-scheme-in-8-districts/articleshow/85090501.cms
"Mumbai: List of civic, state-run vaccination centres administering Covaxin, Covishield on Friday",6 AUG  2021,https://timesofindia.indiatimes.com/city/mumbai/mumbai-list-of-civic-state-run-vaccination-centres-administering-covaxin-covishield-on-friday/articleshow/85088768.cms
Ahmedabad: 30% jabbed healthcare staff lose protection after 3 months,6 AUG  2021,https://timesofindia.indiatimes.com/city/ahmedabad/ahmedabad-30-jabbed-healthcare-staff-lose-protection-after-3-months/articleshow/85088485.cms
A 90-fold increase for city’s healthcare infra in 85 years,6 AUG  2021,https://timesofindia.indiatimes.com/city/lucknow/a-90-fold-increase-for-citys-healthcare-infra-in-85-years/articleshow/85085630.cms
UAE-based Indian entrepreneur helps rebuild health centre in Kerala,6 AUG  2021,https://timesofindia.indiatimes.com/nri/middle-east-news/uae-based-indian-entrepreneur-helps-rebuild-health-centre-in-kerala/articleshow/85085631.cms
"In Florida hospitals, 'there are only so many beds'",5 AUG  2021,https://timesofindia.indiatimes.com/world/us/in-florida-hospitals-there-are-only-so-many-beds/articleshow/85080111.cms
Soothe Healthcare secures ₹ 130 crore Series C funding from leading PE fund A91 Partners,5 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/soothe-healthcare-secures-130-crore-series-c-funding-from-leading-pe-fund-a91-partners/articleshow/85069723.cms
"Gurugram: Vaccination data of 12k health, frontline staff missing",5 AUG  2021,https://timesofindia.indiatimes.com/city/gurgaon/vaccination-data-of-12k-health-frontline-staff-missing/articleshow/85054038.cms
"Mumbai: List of Covid-19 vaccine centres administering Covaxin, Covishield on Thursday",5 AUG  2021,https://timesofindia.indiatimes.com/city/mumbai/mumbai-list-of-covid-19-vaccine-centres-administering-covaxin-covishield-on-thursday/articleshow/85057557.cms
"How CIMS is proving to be a trusted destination for right, ethical and quality healthcare in heart and vascular disease",4 AUG  2021,https://timesofindia.indiatimes.com/spotlight/how-cims-is-proving-to-be-a-trusted-destination-for-right-ethical-and-quality-healthcare-in-heart-and-vascular-disease/articleshow/84790916.cms
Thousands of lives lost due to China's Covid cover-up: US Republican report,2 AUG  2021,https://timesofindia.indiatimes.com/world/china/thousands-of-lives-lost-due-to-chinas-covid-cover-up-us-republican-report/articleshow/84974649.cms
ITC’s Life Sciences and Technology Centre bags top ranks in patent filings in India,2 AUG  2021,https://timesofindia.indiatimes.com/business/india-business/itcs-life-sciences-and-technology-centre-bags-top-ranks-in-patent-filings-in-india/articleshow/84974570.cms
"HC seeks Delhi govt's reply on a plea concerning mental health of students in schools, colleges",2 AUG  2021,https://timesofindia.indiatimes.com/home/education/news/hc-seeks-delhi-govts-reply-on-a-plea-concerning-mental-health-of-students-in-schools-colleges/articleshow/84974496.cms
